organism	gene	uniprot	is_eukaryote	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental	n_contested_cat_mf	contested_cat_mf
human	DTL	Q9NZJ0	1	730	4	EM;X-ray	3.05	0.627	13	12	10	35	1	0	
human	EIF5A	P63241	1	154	4	EM;X-ray	2.50	1.000	23	6	18	47	1	0	
human	FBXO22	Q8NEZ5	1	403	4	EM	3.20	1.000	6	0	4	10	1	0	
human	GAS6	Q14393	1	678	4	X-ray	2.20	0.617	11	49	6	66	1	0	
human	GET1	O00258	1	174	4	EM;X-ray	2.80	1.000	31	6	4	41	1	0	
human	GET3	O43681	1	348	4	EM;X-ray	2.80	1.000	48	3	11	62	1	0	
human	GET4	Q7L5D6	1	327	4	EM;X-ray	1.80	1.000	23	8	8	39	1	0	
human	GLRX3	O76003	1	335	4	NMR;X-ray	1.55	0.373	130	4	1	135	1	0	
human	IL15	P40933	1	162	4	X-ray	1.85	0.704	5	9	3	17	1	0	
human	IL23R	Q5VWK5	1	629	4	EM;X-ray	2.80	0.525	7	11	4	22	1	0	
human	ILF3	Q12906	1	894	4	NMR;X-ray	1.72	0.089	27	4	12	43	1	0	
human	MAML1	Q92585	1	1016	4	X-ray	2.14	0.061	19	7	6	32	1	0	
human	MCTS1	Q9ULC4	1	181	4	X-ray	1.70	1.000	9	6	4	19	1	0	
human	NAA40	Q86UY6	1	237	4	X-ray	1.43	0.861	4	0	4	8	1	1	GO:0016747|acyltransferase activity, transferring groups other than amino-acyl groups|MARK_AS_OVER_ANNOTATED
human	PEX14	O75381	1	377	4	NMR		0.172	39	13	15	67	1	0	
human	PICK1	Q9NRD5	1	415	4	X-ray	1.12	0.253	347	2	5	354	1	0	
human	PLD3	Q8IV08	1	490	4	EM;X-ray	1.51	1.000	6	1	10	17	1	1	GO:0004630|D-type glycerophospholipase activity|REMOVE
human	PTGES3	Q15185	1	160	4	EM;X-ray	2.49	1.000	37	8	5	50	1	0	
human	RIMBP2	O15034	1	1052	4	NMR		0.111	0	0	0	0	0	0	
human	SAMD8	Q96LT4	1	415	4	EM	3.29	1.000	0	2	3	5	1	1	GO:0033188|sphingomyelin synthase activity|REMOVE
human	SDHA	P31040	1	664	4	EM;X-ray	1.44	1.000	21	3	5	29	1	0	
human	SLC7A11	Q9UPY5	1	501	4	EM	3.40	1.000	18	20	6	44	1	0	
human	SPARC	P09486	1	303	4	X-ray	2.00	0.772	7	4	13	24	1	0	
human	STC2	O76061	1	302	4	EM	3.06	1.000	3	2	3	8	1	0	
human	TRAPPC3	O43617	1	180	4	X-ray	1.55	1.000	28	0	1	29	1	0	
human	UFD1	Q92890	1	307	4	NMR;X-ray	1.55	0.596	15	6	6	27	1	1	GO:0004843|cysteine-type deubiquitinase activity|REMOVE
human	UQCRC1	P31930	1	480	4	EM	2.96	1.000	35	0	4	39	1	0	
human	UQCRFS1	P47985	1	274	4	EM	2.96	1.000	5	2	4	11	1	0	
human	WIPF1	O43516	1	503	4	NMR;X-ray	2.60	0.064	42	0	0	42	1	0	
mouse	Ifi204	P0DOV2	1	619	4	X-ray	1.58	0.653	4	6	2	12	1	0	
mouse	Sox2	P48432	1	319	4	X-ray	2.50	0.251	50	71	31	152	1	0	
mouse	Tuba1a	P68369	1	451	4	EM;X-ray	2.48	1.000	12	48	12	72	1	0	
rat	Echs1	P14604	1	290	4	X-ray	2.10	0.900	2	1	0	3	1	0	
rat	Hspa8	P63018	1	646	4	NMR;X-ray	3.45	0.841	18	41	74	133	1	1	GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
rat	St13	P50503	1	368	4	X-ray	1.10	0.465	13	2	3	18	1	0	
worm	lgg-1	Q09490	1	123	4	X-ray	1.60	1.000	5	16	11	32	1	0	
yeast	GCN5	Q03330	1	439	4	X-ray	1.87	0.572	105	6	8	119	1	2	GO:0061733|protein-lysine-acetyltransferase activity|REMOVE;GO:0061733|protein-lysine-acetyltransferase activity|REMOVE
yeast	KAR2	P16474	1	682	4	X-ray	1.80	0.563	21	9	2	32	1	0	
yeast	SSA1	P10591	1	642	4	NMR;X-ray	2.00	0.269	195	14	8	217	1	0	
9POAL	rbcL	P0C512	1	477	3	X-ray	1.35	1.000	0	0	0	0	0	0	
ACET2	P10477	P10477	0	814	3	X-ray	1.80	0.413	3	3	0	6	1	0	
ACET2	P10478	P10478	0	837	3	X-ray	1.40	0.415	2	0	0	2	1	1	GO:0033905|xylan endo-1,3-beta-xylosidase activity|REMOVE
ACET2	celA	A3DC29	0	477	3	X-ray	0.94	0.761	0	0	0	0	0	0	
ARATH	ABI1	P49597	1	434	3	X-ray	1.88	0.733	93	10	1	104	1	0	
ARATH	ARF5	P93024	1	902	3	X-ray	2.15	0.432	24	9	0	33	1	0	
ARATH	BZR1	Q8S307	1	336	3	X-ray	1.90	0.250	36	6	2	44	1	0	
ARATH	CHL1	Q05085	1	590	3	X-ray	3.25	1.000	3	6	1	10	1	0	
ARATH	COI1	O04197	1	592	3	X-ray	2.80	1.000	0	17	1	18	1	0	
ARATH	CRY1	Q43125	1	681	3	X-ray	1.39	0.747	22	60	7	89	1	1	GO:0003904|deoxyribodipyrimidine photo-lyase activity|REMOVE
ARATH	DCL1	Q9SP32	1	1909	3	EM;NMR	4.60	1.000	13	10	3	26	1	0	
ARATH	SEP3	O22456	1	251	3	X-ray	2.10	0.414	36	7	2	45	1	0	
BPT4	25	P09425	0	132	3	EM;X-ray	2.47	1.000	0	0	1	1	1	0	
BPT4	53	P16011	0	196	3	EM	3.80	1.000	0	0	1	1	1	0	
BPT4	7	P19061	0	1032	3	EM	3.80	1.000	0	0	1	1	1	0	
BPT4	dda	P32270	0	439	3	X-ray	3.30	1.000	4	0	0	4	1	0	
BPT4	t	P06808	0	218	3	X-ray	1.65	0.752	0	0	0	0	0	0	
DANRE	hs6st3b	A0MGZ7	1	419	3	X-ray	1.95	0.766	4	0	0	4	1	0	
DANRE	tdp2	Q5XJA0	1	369	3	X-ray	1.62	0.696	2	10	0	12	1	0	
DANRE	urad	A1L259	1	174	3	X-ray	1.80	1.000	1	0	0	1	1	0	
ECOLI	HdeA	P0AES9	0	110	3	NMR;X-ray	2.00	0.809	6	2	1	9	1	0	
ECOLX	mcr2	A0A1C3NEV1	0	538	3	X-ray	1.12	0.602	0	0	0	0	0	0	
METEA	mxaF	P16027	0	626	3	X-ray	1.20	0.957	0	0	0	0	0	0	
METEA	mxaI	P14775	0	96	3	X-ray	1.20	0.771	0	0	0	0	0	3	GO:0004022|alcohol dehydrogenase (NAD+) activity|REMOVE;GO:0016491|oxidoreductase activity|REMOVE;GO:0052933|alcohol dehydrogenase (cytochrome c(L)) activity|REMOVE
MOOTH	acsD	Q07341	0	323	3	X-ray	2.38	1.000	3	1	0	4	1	0	
PENCH	aatA	P15802	1	357	3	X-ray	1.64	1.000	1	2	1	4	1	0	
PSEPK	hmgA	Q88E47	0	433	3	X-ray	1.70	1.000	4	3	1	8	1	0	
PSEPK	murU	Q88QT2	0	223	3	X-ray	1.70	1.000	5	2	0	7	1	1	GO:0016779|nucleotidyltransferase activity|MARK_AS_OVER_ANNOTATED
PSEPK	nicC	Q88FY2	0	382	3	X-ray	1.51	1.000	2	1	0	3	1	2	GO:0004497|monooxygenase activity|MARK_AS_OVER_ANNOTATED;GO:0004497|monooxygenase activity|MARK_AS_OVER_ANNOTATED
PSEPK	nicX	Q88FY1	0	350	3	X-ray	2.00	1.000	1	1	0	2	1	0	
human	AATF	Q9NY61	1	560	3	EM;X-ray	1.74	1.000	23	1	8	32	1	0	
human	ABCE1	P61221	1	599	3	EM	3.00	1.000	14	5	6	25	1	0	
human	AHR	P35869	1	848	3	EM;X-ray	2.76	0.515	33	17	16	66	1	0	
human	API5	Q9BZZ5	1	524	3	X-ray	2.50	1.000	6	1	3	10	1	0	
human	ARL8A	Q96BM9	1	186	3	X-ray	1.70	0.973	16	0	6	22	1	0	
human	ARL8B	Q9NVJ2	1	186	3	X-ray	1.65	0.909	19	20	19	58	1	0	
human	BCAP31	P51572	1	246	3	X-ray	2.10	0.268	24	6	10	40	1	0	
human	BICC1	Q9H694	1	974	3	X-ray	1.75	0.086	1	1	0	2	1	0	
human	CACNB2	Q08289	1	660	3	EM	3.30	0.939	10	5	2	17	1	0	
human	CACYBP	Q9HB71	1	228	3	NMR;X-ray	1.20	0.500	29	0	4	33	1	0	
human	CALCA	P01258	1	141	3	EM;NMR	2.70	0.227	9	9	1	19	1	0	
human	CHMP1A	Q9HD42	1	196	3	NMR;X-ray	1.91	0.087	45	22	16	83	1	1	GO:0008237|metallopeptidase activity|REMOVE
human	CYB5R4	Q7L1T6	1	521	3	X-ray	1.25	0.687	4	2	2	8	1	2	GO:0016491|oxidoreductase activity|MARK_AS_OVER_ANNOTATED;GO:0016174|NAD(P)H oxidase H2O2-forming activity|REMOVE
human	CYC1	P08574	1	325	3	EM	3.40	0.742	6	0	6	12	1	0	
human	EIF2D	P41214	1	584	3	EM;X-ray	1.40	1.000	1	3	2	6	1	0	
human	ERLEC1	Q96DZ1	1	483	3	EM	3.30	1.000	7	1	2	10	1	0	
human	ERP29	P30040	1	261	3	X-ray	2.10	0.874	16	4	3	23	1	0	
human	FBXO5	Q9UKT4	1	447	3	EM;NMR	2.90	1.000	21	18	4	43	1	0	
human	GATA3	P23771	1	443	3	X-ray	1.60	0.251	38	41	7	86	1	0	
human	GIGYF2	Q6Y7W6	1	1299	3	X-ray	1.23	0.055	26	8	9	43	1	0	
human	GPR101	Q96P66	1	508	3	EM	2.89	1.000	19	0	1	20	1	0	
human	GRPEL1	Q9HAV7	1	217	3	EM	2.96	0.733	9	0	3	12	1	0	
human	GTPBP6	O43824	1	516	3	EM	2.60	1.000	1	1	1	3	1	0	
human	HADHB	P55084	1	474	3	EM;X-ray	3.60	1.000	10	1	7	18	1	2	GO:0003857|(3S)-3-hydroxyacyl-CoA dehydrogenase (NAD+) activity|REMOVE;GO:0004300|enoyl-CoA hydratase activity|REMOVE
human	HYPK	Q9NX55	1	121	3	EM;X-ray	3.15	1.000	14	2	6	22	1	0	
human	IBA57	Q5T440	1	356	3	X-ray	1.55	0.916	5	0	3	8	1	0	
human	IL21	Q9HBE4	1	162	3	NMR;X-ray	2.80	0.821	2	10	1	13	1	0	
human	IL36RN	Q9UBH0	1	155	3	X-ray	1.55	0.923	17	4	0	21	1	0	
human	NAA25	Q14CX7	1	972	3	EM	3.14	1.000	2	0	3	5	1	0	
human	PDCD5	O14737	1	125	3	NMR		0.888	11	7	6	24	1	0	
human	PEX13	Q92968	1	403	3	X-ray	1.80	0.246	8	4	11	23	1	0	
human	PPP3CB	P16298	1	524	3	X-ray	2.23	1.000	19	11	5	35	1	0	
human	RFXANK	O14593	1	260	3	X-ray	1.57	0.658	15	2	3	20	1	0	
human	SLC14A1	Q13336	1	389	3	EM;X-ray	2.40	1.000	5	1	4	10	1	0	
human	SPG11	Q96JI7	1	2443	3	EM	3.26	1.000	26	8	10	44	1	0	
human	TRAPPC4	Q9Y296	1	219	3	NMR;X-ray	2.40	1.000	2	2	2	6	1	0	
human	UBAP1	Q9NZ09	1	502	3	NMR;X-ray	1.65	0.227	2	1	6	9	1	0	
human	UPF3B	Q9BZI7	1	483	3	X-ray	1.95	0.253	37	3	7	47	1	0	
human	USP21	Q9UK80	1	565	3	X-ray	2.59	0.655	15	1	4	20	1	0	
human	VPS4A	Q9UN37	1	437	3	NMR		0.192	47	28	24	99	1	0	
mouse	Gapdh	P16858	1	333	3	X-ray	2.00	1.000	10	6	21	37	1	0	
rat	Cyb5r3	P20070	1	301	3	X-ray	1.80	0.890	12	0	4	16	1	0	
rat	Pfkfb4	P25114	1	469	3	X-ray	2.00	1.000	2	0	1	3	1	0	
worm	lgg-2	Q23536	1	130	3	X-ray	1.80	0.923	3	5	2	10	1	0	
worm	osm-3	P46873	1	699	3	X-ray	1.90	0.516	2	18	9	29	1	0	
yeast	CAF1	P39008	1	433	3	X-ray	2.30	0.665	36	6	4	46	1	0	
yeast	DOT1	Q04089	1	582	3	EM;X-ray	2.20	0.730	8	17	1	26	1	2	GO:0008168|methyltransferase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
yeast	LSM1	P47017	1	172	3	X-ray	2.30	0.849	49	3	9	61	1	0	
yeast	PAP2	P53632	1	584	3	NMR;X-ray	2.40	0.550	37	40	7	84	1	0	
yeast	PDI1	P17967	1	522	3	EM;X-ray	2.40	1.000	12	7	3	22	1	0	
yeast	SQT1	P35184	1	431	3	X-ray	1.60	1.000	17	2	2	21	1	0	
yeast	TOR1	P35169	1	2470	3	NMR		0.013	23	18	12	53	1	0	
yeast	YDJ1	P25491	1	409	3	NMR;X-ray	2.07	0.606	24	10	5	39	1	0	
ACET2	P71143	P71143	0	631	2	X-ray	1.80	0.276	0	0	0	0	0	0	
ACET2	Q70DK5	Q70DK5	0	842	2	X-ray	1.95	0.875	1	1	1	3	1	0	
ARATH	AUX1	Q96247	1	485	2	EM	3.40	1.000	3	9	4	16	1	0	
ARATH	CERK1	A8R7E6	1	617	2	X-ray	1.65	0.334	21	16	3	40	1	3	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED
ARATH	CTR1	Q05609	1	821	2	X-ray	2.50	0.343	1	8	1	10	1	0	
ARATH	ETR1	P49333	1	738	2	X-ray	1.90	0.248	18	19	3	40	1	4	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED;GO:0016772|transferase activity, transferring phosphorus-containing groups|MARK_AS_OVER_ANNOTATED
ARATH	FLS2	Q9FL28	1	1173	2	X-ray	3.06	0.662	36	6	10	52	1	0	
ARATH	ICS1	Q9S7H8	1	569	2	X-ray	1.80	0.921	3	13	1	17	1	0	
ARATH	LFY	Q00958	1	420	2	X-ray	2.10	0.462	11	4	0	15	1	0	
ARATH	MPK6	Q39026	1	395	2	X-ray	2.75	0.929	44	29	6	79	1	0	
ARATH	SCR	Q9M384	1	653	2	X-ray	2.00	0.582	18	9	2	29	1	0	
ARATH	SHR	Q9SZF7	1	531	2	X-ray	2.00	0.891	15	6	10	31	1	0	
BACSU	amyE	P00691	0	659	2	X-ray	2.21	0.645	0	0	0	0	0	0	
BACSU	divIVA	P71021	0	164	2	X-ray	1.40	0.348	5	0	0	5	1	0	
BACSU	sigK	P12254	0	294	2	EM	3.50	0.398	1	0	0	1	1	1	GO:0003899|DNA-directed RNA polymerase activity|REMOVE
BACSU	spo0J	P26497	0	282	2	NMR;X-ray	1.81	0.702	0	2	1	3	1	0	
BACSU	spoIIAA	P10727	0	117	2	NMR		0.991	0	0	0	0	0	0	
BOVIN	CRYAA	P02470	1	173	2	X-ray	1.15	0.607	2	1	1	4	1	0	
BPT4	19	P13333	0	163	2	EM	3.40	1.000	0	0	1	1	1	0	
BPT4	20	P13334	0	524	2	EM	3.63	1.000	0	0	2	2	1	0	
BPT4	soc	P03715	0	80	2	EM	3.30	1.000	0	0	1	1	1	0	
BPT4	uvsW	P0DXF1	0	502	2	X-ray	2.00	1.000	2	0	0	2	1	0	
DANRE	glceb	F1QR43	1	586	2	X-ray	1.90	0.998	2	0	0	2	1	0	
DANRE	gnptab	Q5RGJ8	1	1219	2	X-ray	2.30	0.231	2	13	0	15	1	0	
DANRE	uox	Q6DG85	1	298	2	X-ray	2.80	1.000	4	3	0	7	1	0	
ECOLI	CnoX	P77395	0	284	2	EM;X-ray	1.80	1.000	5	3	3	11	1	0	
ECOLI	CpxP	P0AE85	0	166	2	X-ray	1.45	0.783	4	2	1	7	1	0	
ECOLI	HdeB	P0AET2	0	108	2	NMR;X-ray	1.50	0.731	1	2	1	4	1	0	
ECOLI	Skp	P0AEU7	0	161	2	X-ray	2.30	0.882	15	12	4	31	1	0	
ECOLI	manY	P69801	0	266	2	EM	2.28	1.000	1	7	3	11	1	0	
ECOLI	manZ	P69805	0	283	2	EM	2.28	1.000	1	7	4	12	1	0	
ECOLI	sucA	P0AFG3	0	933	2	EM;X-ray	2.60	1.000	0	0	0	13	1	0	
ECOLI	yciO	P0AFR4	0	206	2	X-ray	1.40	1.000	1	0	2	3	1	2	GO:0061710|L-threonylcarbamoyladenylate synthase activity|REMOVE;GO:0061710|L-threonylcarbamoyladenylate synthase activity|REMOVE
MAIZE	ABP1	P13689	1	201	2	X-ray	1.90	0.811	2	0	1	3	1	0	
METEA	lanM	C5B164	0	133	2	NMR;X-ray	1.01	0.835	0	0	0	0	0	0	
METEA	mdh	Q84FY8	0	320	2	X-ray	1.53	1.000	0	0	0	0	0	1	GO:0004459|L-lactate dehydrogenase (NAD+) activity|REMOVE
METEA	xoxF1	C5B120	0	601	2	X-ray	2.80	1.000	0	0	0	0	0	0	
PICST	XYL1	P31867	1	318	2	X-ray	1.95	1.000	0	0	0	0	0	2	GO:0016491|oxidoreductase activity|REMOVE;GO:0016616|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|REMOVE
PSEPK	hglS	Q88CC1	0	464	2	X-ray	1.14	1.000	0	0	0	0	0	0	
PSEPK	mcpS	Q88E10	0	639	2	X-ray	1.80	0.372	0	0	0	0	0	0	
PSEPK	pedH	Q88JH0	0	595	2	X-ray	1.65	1.000	0	0	0	0	0	1	GO:0016491|oxidoreductase activity|REMOVE
PSEPU	Q88CC1	Q88CC1	0	464	2	X-ray	1.14	1.000	0	0	0	0	0	0	
RAMVA	RvY_13070	A0A1D1VU85	1	194	2	X-ray	2.10	1.000	4	0	0	4	1	2	GO:0004784|superoxide dismutase activity|MARK_AS_OVER_ANNOTATED;GO:0004784|superoxide dismutase activity|MARK_AS_OVER_ANNOTATED
RAMVA	SAHS1	J7MFT5	1	169	2	X-ray	1.45	0.811	0	0	0	0	0	0	
SCHPO	atg2	O94649	1	1646	2	X-ray	2.70	0.134	1	3	3	7	1	0	
SCHPO	cdc12	Q10059	1	1841	2	EM	3.56	0.277	6	9	16	31	1	0	
SCHPO	spt16	O94267	1	1019	2	X-ray	1.84	0.434	12	3	4	19	1	0	
SCHPO	swi6	P40381	1	328	2	NMR;X-ray	1.90	0.268	33	22	44	99	1	0	
STAHA	lnuA	P06107	0	161	2	X-ray	1.82	1.000	0	0	0	0	0	0	
THLAR	TFP	G1FNI6	1	348	2	X-ray	1.42	1.000	2	1	0	3	1	0	
human	AAAS	Q9NRG9	1	546	2	EM	12.00	1.000	2	3	10	15	1	0	
human	ABCD3	P28288	1	659	2	EM	2.96	0.926	23	8	18	49	1	0	
human	ACAD9	Q9H845	1	621	2	EM	3.10	0.940	13	3	11	27	1	0	
human	ADM2	Q7Z4H4	1	148	2	EM;X-ray	2.05	0.318	2	5	1	8	1	0	
human	AFG3L2	Q9Y4W6	1	797	2	EM;NMR	3.00	0.660	19	18	9	46	1	0	
human	AGO3	Q9H9G7	1	860	2	X-ray	3.28	1.000	17	8	6	31	1	0	
human	AGR2	O95994	1	175	2	NMR		0.771	104	12	7	123	1	0	
human	AHCTF1	Q8WYP5	1	2266	2	EM	12.00	1.000	0	2	14	16	1	0	
human	AMBRA1	Q9C0C7	1	1298	2	EM	3.08	0.804	31	21	10	62	1	0	
human	AREL1	O15033	1	823	2	X-ray	2.40	0.471	4	5	1	10	1	0	
human	ASCC2	Q9H1I8	1	757	2	NMR;X-ray	2.70	0.572	6	7	9	22	1	0	
human	ASCC3	Q8N3C0	1	2202	2	EM;X-ray	2.70	0.818	15	7	11	33	1	0	
human	ATAD1	Q8NBU5	1	361	2	EM	3.20	0.886	0	1	5	6	1	0	
human	ATL3	Q6DD88	1	541	2	X-ray	2.10	0.780	8	7	13	28	1	0	
human	ATP6V0A4	Q9HBG4	1	840	2	EM	3.00	1.000	7	5	11	23	1	0	
human	AUP1	Q9Y679	1	410	2	NMR;X-ray	1.74	0.132	9	9	16	34	1	0	
human	BACH2	Q9BYV9	1	841	2	X-ray	2.10	0.144	58	1	2	61	1	0	
human	BAIAP2L1	Q9UHR4	1	511	2	NMR		0.125	14	2	7	23	1	0	
human	CAMLG	P49069	1	296	2	EM	3.20	0.378	32	6	9	47	1	0	
human	CAPG	P40121	1	348	2	X-ray	2.50	1.000	8	0	14	22	1	0	
human	CHMP2A	O43633	1	222	2	EM	3.30	0.662	36	35	17	88	1	0	
human	CHMP4A	Q9BY43	1	222	2	X-ray	2.15	0.081	22	28	20	70	1	0	
human	CHMP6	Q96FZ7	1	201	2	NMR;X-ray	2.00	0.189	19	20	14	53	1	0	
human	CLU	P10909	1	449	2	X-ray	2.80	0.951	38	37	39	114	1	0	
human	CNOT4	O95628	1	575	2	NMR		0.136	9	3	1	13	1	0	
human	COP1	Q8NHY2	1	731	2	X-ray	2.00	0.487	14	5	1	20	1	0	
human	DNAJB8	Q8NHS0	1	232	2	NMR;X-ray	0.75	0.341	5	2	3	10	1	0	
human	DNAJC1	Q96KC8	1	554	2	NMR		0.108	17	1	1	19	1	0	
human	DNAJC3	Q13217	1	504	2	X-ray	3.00	0.847	0	2	3	5	1	0	
human	DNAJC5	Q9H3Z4	1	198	2	NMR		0.505	2	0	5	7	1	0	
human	DNAJC9	Q8WXX5	1	260	2	X-ray	1.80	0.304	19	2	9	30	1	0	
human	DPEP1	P16444	1	411	2	X-ray	2.00	0.898	12	5	6	23	1	0	
human	EDF1	O60869	1	148	2	EM;NMR	2.90	0.743	21	1	4	26	1	0	
human	EMC9	Q9Y3B6	1	208	2	EM;X-ray	2.20	1.000	11	5	2	18	1	0	
human	ENPP4	Q9Y6X5	1	453	2	X-ray	1.50	0.865	1	2	2	5	1	0	
human	ENPP7	Q6UWV6	1	458	2	X-ray	2.40	0.900	11	5	3	19	1	0	
human	ERO1A	Q96HE7	1	468	2	X-ray	2.35	0.955	10	3	5	18	1	1	GO:0015035|protein-disulfide reductase activity|MARK_AS_OVER_ANNOTATED
human	ERP27	Q96DN0	1	273	2	NMR;X-ray	2.20	0.832	16	0	1	17	1	0	
human	FBXO7	Q9Y3I1	1	522	2	X-ray	2.00	0.299	32	16	30	78	1	0	
human	GADD45G	O95257	1	159	2	X-ray	2.30	1.000	40	3	2	45	1	0	
human	GIGYF1	O75420	1	1035	2	X-ray	1.79	0.069	43	0	1	44	1	0	
human	GLRX5	Q86SX6	1	157	2	NMR;X-ray	2.40	0.739	5	2	4	11	1	0	
human	GP9	P14770	1	177	2	EM;X-ray	2.35	0.910	4	3	0	7	1	0	
human	GPC2	Q8N158	1	579	2	EM;X-ray	3.30	0.969	1	0	1	2	1	0	
human	GSS	P48637	1	474	2	X-ray	1.59	1.000	9	0	3	12	1	0	
human	HES1	Q14469	1	280	2	NMR		0.246	3	8	1	12	1	0	
human	HSPB7	Q9UBY9	1	170	2	X-ray	2.18	0.500	29	0	2	31	1	0	
human	HSPG2	P98160	1	4391	2	X-ray	1.50	0.044	6	0	16	22	1	0	
human	KCTD12	Q96CX2	1	325	2	X-ray	1.98	0.388	3	0	0	3	1	0	
human	LTN1	O94822	1	1766	2	EM	3.00	1.000	4	2	5	11	1	0	
human	NAA30	Q147X3	1	362	2	EM	3.10	0.420	5	1	7	13	1	1	GO:0016747|acyltransferase activity, transferring groups other than amino-acyl groups|MARK_AS_OVER_ANNOTATED
human	NAA35	Q5VZE5	1	725	2	EM	3.10	1.000	6	1	5	12	1	0	
human	NCOA4	Q13772	1	614	2	EM;X-ray	2.30	0.026	8	1	1	10	1	0	
human	NEMF	O60524	1	1076	2	EM	3.00	1.000	3	8	5	16	1	0	
human	NFU1	Q9UMS0	1	254	2	NMR		0.382	26	3	7	36	1	0	
human	NOVA2	Q9UNW9	1	492	2	X-ray	2.00	0.175	3	3	0	6	1	0	
human	NPLOC4	Q8TAT6	1	608	2	X-ray	2.72	0.773	20	4	7	31	1	0	
human	PAX6	P26367	1	422	2	NMR;X-ray	2.50	0.315	102	12	4	118	1	0	
human	PEX3	P56589	1	373	2	X-ray	2.42	0.893	29	5	11	45	1	0	
human	POLDIP2	Q9Y2S7	1	368	2	X-ray	2.80	0.864	6	1	5	12	1	0	
human	RAB9A	P51151	1	201	2	X-ray	1.25	1.000	17	3	4	24	1	1	GO:0016787|hydrolase activity|MARK_AS_OVER_ANNOTATED
human	SAMM50	Q9Y512	1	469	2	X-ray	1.06	0.034	8	3	12	23	1	0	
human	SCGB1A1	P11684	1	91	2	X-ray	2.29	0.780	13	0	2	15	1	0	
human	SERP1	Q9Y6X1	1	66	2	EM	3.20	1.000	43	0	1	44	1	0	
human	SPCS1	Q9Y6A9	1	169	2	EM	4.90	1.000	7	4	3	14	1	0	
human	SPCS2	Q15005	1	226	2	EM	4.90	1.000	3	1	2	6	1	0	
human	SPCS3	P61009	1	180	2	EM	4.90	1.000	12	3	3	18	1	0	
human	THBS2	P35442	1	1172	2	X-ray	2.60	0.531	1	1	4	6	1	0	
human	TOLLIP	Q9H0E2	1	274	2	NMR		0.193	93	5	4	102	1	0	
human	TOMM70	O94826	1	608	2	EM;X-ray	2.20	1.000	19	5	11	35	1	0	
human	TXNDC12	O95881	1	172	2	NMR;X-ray	1.20	0.872	14	1	2	17	1	0	
human	UCK1	Q9HA47	1	277	2	X-ray	2.50	0.801	2	2	0	4	1	2	GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
human	UPF3A	Q9H1J1	1	476	2	NMR;X-ray	2.95	0.313	14	3	2	19	1	0	
human	USP10	Q14694	1	798	2	X-ray	2.34	0.029	56	19	11	86	1	0	
mouse	Cdc42	P60766	1	191	2	X-ray	2.50	1.000	32	29	22	83	1	2	GO:0061630|ubiquitin protein ligase activity|REMOVE;GO:0061630|ubiquitin protein ligase activity|REMOVE
mouse	Jak1	P52332	1	1153	2	EM	3.60	1.000	9	10	0	19	1	3	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016740|transferase activity|MARK_AS_OVER_ANNOTATED
mouse	Src	P05480	1	535	2	X-ray	1.95	0.843	45	47	17	109	1	8	GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED;GO:0016301|kinase activity|MARK_AS_OVER_ANNOTATED;GO:0004672|protein kinase activity|MARK_AS_OVER_ANNOTATED
mouse	Syk	P48025	1	629	2	NMR		0.021	30	60	3	93	1	0	
rat	Alpi	P15693	1	540	2	X-ray	2.21	0.893	9	1	2	12	1	0	
rat	Gsta1	P00502	1	222	2	X-ray	2.20	0.995	9	1	1	11	1	0	
rat	Gsta2	P04903	1	222	2	X-ray	1.60	0.631	3	1	1	5	1	0	
rat	Qdpr	P11348	1	241	2	X-ray	2.30	1.000	6	8	0	14	1	0	
worm	cgh-1	Q95YF3	1	430	2	X-ray	1.85	0.533	5	6	7	18	1	0	
worm	cmd-1	O16305	1	149	2	X-ray	2.11	1.000	1	10	4	15	1	0	
worm	daf-21	Q18688	1	702	2	X-ray	2.15	0.319	16	12	5	33	1	0	
worm	hsp-1	P09446	1	640	2	X-ray	3.20	0.155	7	4	3	14	1	0	
worm	hsp-90	Q18688	1	702	2	X-ray	2.15	0.319	16	12	5	33	1	0	
