gene_product	gene_label	model_id	model_title	taxon	activity_id	molecular_function	mf_label	biological_process	bp_label	cellular_component	cc_label
UniProtKB:Q6PJ61	FBXO46 Hsap	6796b94c00006325	The SCF(FBXO31) complex mediates ubiquitination and degradation of FBXO46 following DNA damage (Human).	NCBITaxon:9606	gomodel:6796b94c00006325/6796b94c00006384	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process		
UniProtKB:Q5XUX0	FBXO31 Hsap	6796b94c00006325	The SCF(FBXO31) complex mediates ubiquitination and degradation of FBXO46 following DNA damage (Human).	NCBITaxon:9606	gomodel:6796b94c00006325/6796b94c00006360	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:P62877	RBX1 Hsap	6796b94c00006325	The SCF(FBXO31) complex mediates ubiquitination and degradation of FBXO46 following DNA damage (Human).	NCBITaxon:9606	gomodel:6796b94c00006325/6796b94c00006371	GO:0061630	ubiquitin protein ligase activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process		
UniProtKB:P62877	RBX1 Hsap	6796b94c00006392	The SCF(FBXO46) complex mediates ubiquitination and degradation of FBXO31 in absence of stress (Human).	NCBITaxon:9606	gomodel:6796b94c00006392/6796b94c00006421	GO:0061630	ubiquitin protein ligase activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process		
UniProtKB:Q5XUX0	FBXO31 Hsap	6796b94c00006392	The SCF(FBXO46) complex mediates ubiquitination and degradation of FBXO31 in absence of stress (Human).	NCBITaxon:9606	gomodel:6796b94c00006392/6796b94c00006433	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:Q6PJ61	FBXO46 Hsap	6796b94c00006392	The SCF(FBXO46) complex mediates ubiquitination and degradation of FBXO31 in absence of stress (Human).	NCBITaxon:9606	gomodel:6796b94c00006392/6796b94c00006410	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process		
UniProtKB:P42345	MTOR Hsap	6796b94c00006392	The SCF(FBXO46) complex mediates ubiquitination and degradation of FBXO31 in absence of stress (Human).	NCBITaxon:9606	gomodel:6796b94c00006392/6796b94c00006394	GO:0004674	protein serine/threonine kinase activity	GO:0062027	positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process		
PomBase:SPCC70.12c	ecl1 Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/67b1629100000349	GO:0030291	protein serine/threonine kinase inhibitor activity	GO:1904262	negative regulation of TORC1 signaling		
GO:0061700	GATOR2 complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006918	GO:0060089	molecular transducer activity	GO:1904263	positive regulation of TORC1 signaling	GO:0005774	vacuolar membrane
GO:0033596	TSC1-TSC2 complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006868	GO:0005096	GTPase activator activity	GO:1904262	negative regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
PomBase:SPBC428.16c	rhb1 Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006859	GO:0003924	GTPase activity	GO:1904263	positive regulation of TORC1 signaling		
GO:1990131	Gtr1-Gtr2 GTPase complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006896	GO:0043539	protein serine/threonine kinase activator activity	GO:1904263	positive regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
GO:1990877	FNIP-folliculin RagC/D GAP	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006967	GO:0005096	GTPase activator activity	GO:1904262	negative regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
PR:000059629	Rhb1/GTP Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006877	GO:0043539	protein serine/threonine kinase activator activity	GO:1904263	positive regulation of TORC1 signaling		
GO:0071986	Ragulator complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006934	GO:0005085	guanyl-nucleotide exchange factor activity	GO:1904263	positive regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
PomBase:SPAC23H4.14	vam6 Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006956	GO:0005085	guanyl-nucleotide exchange factor activity	GO:1904263	positive regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
PomBase:SPBC8E4.12c	ecl3 Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/67c10cc400000231	GO:0030291	protein serine/threonine kinase inhibitor activity	GO:1904262	negative regulation of TORC1 signaling		
GO:1990130	GATOR1 complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006907	GO:0005096	GTPase activator activity	GO:1904262	negative regulation of TORC1 signaling	GO:0000329	fungal-type vacuole membrane
GO:0031931	TORC1 complex	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/6796b94c00006849	GO:0004674	protein serine/threonine kinase activity	GO:0038202	TORC1 signaling		
PomBase:SPBP35G2.16c	ecl2 Spom	6796b94c00006848	TORC1 signaling (GO:0038202)	NCBITaxon:4896	gomodel:6796b94c00006848/67c10cc400000223	GO:0030291	protein serine/threonine kinase inhibitor activity	GO:1904262	negative regulation of TORC1 signaling		
CHEBI:36080	protein	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67b1629100000017	GO:0042929	ferrichrome transmembrane transporter activity	GO:0033214	siderophore-iron import into cell	GO:0005886	plasma membrane
PomBase:SPAC23G3.02c	sib1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000090	GO:1904091	non-ribosomal peptide synthetase activity	GO:0031169	ferrichrome biosynthetic process	GO:0005829	cytosol
PomBase:SPAC1F8.02c	shu1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000118	GO:0140488	heme receptor activity	GO:0140420	heme import into cell	GO:0009897	external side of plasma membrane
PomBase:SPBC17G9.06c	sib3 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000107	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0031169	ferrichrome biosynthetic process	GO:0005829	cytosol
PomBase:SPBC4F6.09	str1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000081	GO:0015343	siderophore-iron transmembrane transporter activity	GO:0033214	siderophore-iron import into cell	GO:0005886	plasma membrane
PomBase:SPAC1F8.03c	str3 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000127	GO:0015232	heme transmembrane transporter activity	GO:1904334	heme import across plasma membrane	GO:0005886	plasma membrane
PomBase:SPAC3H1.07	aru1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/68b0f0d000007427	GO:0004053	arginase activity	GO:0000050	urea cycle	GO:0005829	cytosol
PomBase:SPBP26C9.02c	car1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/68b0f0d000007412	GO:0004053	arginase activity	GO:0000050	urea cycle	GO:0005829	cytosol
PomBase:SPBC1683.09c	frp1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000056	GO:0016722	oxidoreductase activity, acting on metal ions	GO:0033215	reductive iron assimilation	GO:0009897	external side of plasma membrane
PomBase:SPBC29A3.11c	ort1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/68b0f0d000007445	GO:0000064	L-ornithine transmembrane transporter activity	GO:1990575	mitochondrial L-ornithine transmembrane transport	GO:0005743	mitochondrial inner membrane
PomBase:SPAC1F7.08	fio1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000063	GO:0004322	ferroxidase activity	GO:0033215	reductive iron assimilation	GO:0005886	plasma membrane
PomBase:SPAC23G3.03	sib2 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000100	GO:0031172	ornithine N5-monooxygenase activity	GO:0031169	ferrichrome biosynthetic process	GO:0005829	cytosol
PomBase:SPAC8C9.11	fra2 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67c10cc400001619	GO:0003713	transcription coactivator activity	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0005634	nucleus
PomBase:SPAC23E2.01	fep1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67b1629100004444	GO:0001227	DNA-binding transcription repressor activity, RNA polymerase II-specific	GO:1904439	negative regulation of iron ion import across plasma membrane	GO:0005634	nucleus
PomBase:SPAC1F7.07c	fip1 Spom	67ae98b500000055	iron import into cell (GO:0033212) / siderophore biosynthetic process (GO:0019290)	NCBITaxon:4896	gomodel:67ae98b500000055/67ae98b500000070	GO:0061840	high-affinity ferrous iron transmembrane transporter activity	GO:0033215	reductive iron assimilation	GO:0005886	plasma membrane
UniProtKB:Q08050	FOXM1 Hsap	67b1629100000368	Inhibition of FBXW7 by USP5 to prevent FOXM1 degradation (Human)	NCBITaxon:9606	gomodel:67b1629100000368/67b1629100000434	GO:0003700	DNA-binding transcription factor activity	GO:0045944	positive regulation of transcription by RNA polymerase II	GO:0005634	nucleus
UniProtKB:P45974	USP5 Hsap	67b1629100000368	Inhibition of FBXW7 by USP5 to prevent FOXM1 degradation (Human)	NCBITaxon:9606	gomodel:67b1629100000368/67b1629100000442	GO:0004843	cysteine-type deubiquitinase activity	GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:P49841	GSK3B Hsap	67b1629100000368	Inhibition of FBXW7 by USP5 to prevent FOXM1 degradation (Human)	NCBITaxon:9606	gomodel:67b1629100000368/67b1629100000369	GO:0004674	protein serine/threonine kinase activity	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:Q969H0	FBXW7 Hsap	67b1629100000368	Inhibition of FBXW7 by USP5 to prevent FOXM1 degradation (Human)	NCBITaxon:9606	gomodel:67b1629100000368/67b1629100000378	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0005634	nucleus
UniProtKB:P62877	RBX1 Hsap	67b1629100000368	Inhibition of FBXW7 by USP5 to prevent FOXM1 degradation (Human)	NCBITaxon:9606	gomodel:67b1629100000368/67b1629100000389	GO:0061630	ubiquitin protein ligase activity	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	GO:0005634	nucleus
UniProtKB:P63092	GNAS Hsap	67b1629100000802	"ADGRD1-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by 5alpha-dihydrotestosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100000802/67b1629100000805	GO:0003925	G protein activity	GO:0014819	regulation of skeletal muscle contraction	GO:0009898	cytoplasmic side of plasma membrane
UniProtKB:Q6QNK2	ADGRD1 Hsap	67b1629100000802	"ADGRD1-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by 5alpha-dihydrotestosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100000802/67b1629100000803	GO:0004930	G protein-coupled receptor activity	GO:0014819	regulation of skeletal muscle contraction	GO:0005886	plasma membrane
UniProtKB:O43306	ADCY6 Hsap	67b1629100000802	"ADGRD1-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by 5alpha-dihydrotestosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100000802/67b1629100000807	GO:0004016	adenylate cyclase activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway		
UniProtKB:P45974	USP5 Hsap	67b1629100000848	The ERK1/USP5 axis deubiquitinates and stabilizes PDCD1/PD-1 (Human).	NCBITaxon:9606	gomodel:67b1629100000848/67b1629100000934	GO:0101005	deubiquitinase activity	GO:0032435	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:Q6PIJ6	FBXO38 Hsap	67b1629100000848	The ERK1/USP5 axis deubiquitinates and stabilizes PDCD1/PD-1 (Human).	NCBITaxon:9606	gomodel:67b1629100000848/67b1629100000914	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process		
UniProtKB:Q15116	PDCD1 Hsap	67b1629100000848	The ERK1/USP5 axis deubiquitinates and stabilizes PDCD1/PD-1 (Human).	NCBITaxon:9606	gomodel:67b1629100000848/67b1629100000879	GO:0038023	signaling receptor activity	GO:0002841	negative regulation of T cell mediated immune response to tumor cell	GO:0005886	plasma membrane
UniProtKB:Q9NZQ7	CD274 Hsap	67b1629100000848	The ERK1/USP5 axis deubiquitinates and stabilizes PDCD1/PD-1 (Human).	NCBITaxon:9606	gomodel:67b1629100000848/67b1629100000886	GO:0048018	receptor ligand activity	GO:0002841	negative regulation of T cell mediated immune response to tumor cell	GO:0005886	plasma membrane
UniProtKB:P27361	MAPK3 Hsap	67b1629100000848	The ERK1/USP5 axis deubiquitinates and stabilizes PDCD1/PD-1 (Human).	NCBITaxon:9606	gomodel:67b1629100000848/67b1629100000926	GO:0004674	protein serine/threonine kinase activity	GO:0002841	negative regulation of T cell mediated immune response to tumor cell	GO:0005737	cytoplasm
PomBase:SPCC1020.06c	tal1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001081	GO:0004801	transaldolase activity	GO:0009052	pentose-phosphate shunt, non-oxidative branch	GO:0005829	cytosol
PomBase:SPBC16G5.02c	rbk1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001430	GO:0004747	ribokinase activity	GO:0009052	pentose-phosphate shunt, non-oxidative branch	GO:0005829	cytosol
PomBase:SPBC660.16	gnd1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100000989	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	GO:0009051	pentose-phosphate shunt, oxidative branch	GO:0005829	cytosol
PomBase:SPAC4G9.12	idn1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001369	GO:0046316	gluconokinase activity	GO:0006098	pentose-phosphate shunt	GO:0005829	cytosol
PomBase:SPAC31G5.05c	rpe1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001031	GO:0004750	D-ribulose-phosphate 3-epimerase activity	GO:0009052	pentose-phosphate shunt, non-oxidative branch	GO:0005829	cytosol
PomBase:SPCC16C4.10	pgl1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100000974	GO:0017057	6-phosphogluconolactonase activity	GO:0009051	pentose-phosphate shunt, oxidative branch	GO:0005829	cytosol
PomBase:SPAC6F12.05c	tnr3 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/69a0c46f00003157	GO:0004788	thiamine diphosphokinase activity	GO:0009229	thiamine diphosphate biosynthetic process	GO:0005829	cytosol
PomBase:SPAC3C7.13c	SPAC3C7.13c Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100000954	GO:0004345	glucose-6-phosphate dehydrogenase activity	GO:0009051	pentose-phosphate shunt, oxidative branch	GO:0005829	cytosol
PomBase:SPBC2G5.05	tkt1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001058	GO:0004802	transketolase activity	GO:0009052	pentose-phosphate shunt, non-oxidative branch	GO:0005829	cytosol
PomBase:SPBC1604.05	pgi1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/69b3372b00000982	GO:0004347	glucose-6-phosphate isomerase activity	GO:0061621	canonical glycolysis	GO:0005829	cytosol
PomBase:SPCC794.01c	gcd1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001402	GO:0047935	glucose 1-dehydrogenase (NADP+) activity	GO:0009051	pentose-phosphate shunt, oxidative branch	GO:0005829	cytosol
PomBase:SPAC144.12	rki1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100001038	GO:0004751	ribose-5-phosphate isomerase activity	GO:0009052	pentose-phosphate shunt, non-oxidative branch	GO:0005829	cytosol
PomBase:SPAC3A12.18	zwf1 Spom	67b1629100000953	pentose-phosphate shunt (GO:0006098) 	NCBITaxon:4896	gomodel:67b1629100000953/67b1629100000963	GO:0004345	glucose-6-phosphate dehydrogenase activity	GO:0009051	pentose-phosphate shunt, oxidative branch	GO:0005829	cytosol
PomBase:SPAC5H10.09c	ecm31 Spom	67b1629100001098	pantothenate biosynthetic process (GO:0015940)	NCBITaxon:4896	gomodel:67b1629100001098/67b1629100001117	GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity	GO:0015940	pantothenate biosynthetic process	GO:0005739	mitochondrion
PomBase:SPAC5H10.08c	pan6 Spom	67b1629100001098	pantothenate biosynthetic process (GO:0015940)	NCBITaxon:4896	gomodel:67b1629100001098/67b1629100001128	GO:0004592	pantoate-beta-alanine ligase activity	GO:0015940	pantothenate biosynthetic process	GO:0005829	cytosol
PomBase:SPBC4B4.01c	ptk1 Spom	67b1629100001098	pantothenate biosynthetic process (GO:0015940)	NCBITaxon:4896	gomodel:67b1629100001098/67b1629100002546	GO:0004594	pantothenate kinase activity	GO:0015937	coenzyme A biosynthetic process	GO:0005829	cytosol
PomBase:SPBPB2B2.09c	pan5 Spom	67b1629100001098	pantothenate biosynthetic process (GO:0015940)	NCBITaxon:4896	gomodel:67b1629100001098/67b1629100001099	GO:0008677	2-dehydropantoate 2-reductase activity	GO:0015940	pantothenate biosynthetic process	GO:0005739	mitochondrion
UniProtKB:Q8IZP9	ADGRG2 Hsap	67b1629100001260	"ADGRG2-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by dehydroepiandrosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100001260/67b1629100001261	GO:0004930	G protein-coupled receptor activity	GO:0007286	spermatid development	GO:0016324	apical plasma membrane
UniProtKB:P63092	GNAS Hsap	67b1629100001260	"ADGRG2-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by dehydroepiandrosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100001260/67b1629100001263	GO:0003925	G protein activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	GO:0009898	cytoplasmic side of plasma membrane
UniProtKB:O43306	ADCY6 Hsap	67b1629100001260	"ADGRG2-mediated signaling G-alpha-s (""stimulatory"", activating adenylate cyclase) following activation by dehydroepiandrosterone (Human)."	NCBITaxon:9606	gomodel:67b1629100001260/67b1629100001265	GO:0004016	adenylate cyclase activity	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway		
UniProtKB:P09471	GNAO1 Hsap	67b1629100001304	ADGRG3-mediated signaling via G-alpha-o (inhibitory), inhibiting adenylate cyclase following activation by cortisol (Human).	NCBITaxon:9606	gomodel:67b1629100001304/67b1629100001307	GO:0003925	G protein activity	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	GO:0009898	cytoplasmic side of plasma membrane
UniProtKB:Q86Y34	ADGRG3 Hsap	67b1629100001304	ADGRG3-mediated signaling via G-alpha-o (inhibitory), inhibiting adenylate cyclase following activation by cortisol (Human).	NCBITaxon:9606	gomodel:67b1629100001304/67b1629100001305	GO:0004930	G protein-coupled receptor activity	GO:0007193	adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway	GO:0005886	plasma membrane
UniProtKB:O43306	ADCY6 Hsap	67b1629100001304	ADGRG3-mediated signaling via G-alpha-o (inhibitory), inhibiting adenylate cyclase following activation by cortisol (Human).	NCBITaxon:9606	gomodel:67b1629100001304/67b1629100001306	GO:0004016	adenylate cyclase activity	GO:0007198	adenylate cyclase-inhibiting serotonin receptor signaling pathway		
UniProtKB:P45974	USP5 Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001922	GO:0101005	deubiquitinase activity	GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:P62877	RBX1 Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001936	GO:0061630	ubiquitin protein ligase activity	GO:0006511	ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:Q8N3Y1	FBXW8 Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001929	GO:1990756	ubiquitin-like ligase-substrate adaptor activity	GO:0006511	ubiquitin-dependent protein catabolic process	GO:0005737	cytoplasm
UniProtKB:P01308	INS Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001950	GO:0005179	hormone activity	GO:0008286	insulin receptor signaling pathway	GO:0005576	extracellular region
UniProtKB:Q9BYJ9	YTHDF1 Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001943	GO:1990247	N6-methyladenosine-containing RNA reader activity	GO:0045727	positive regulation of translation	GO:0005737	cytoplasm
UniProtKB:P42345	MTOR Hsap	67b1629100001426	USP5 deubiquitnation of YTHDF1 after activation by insulin-MTOR axis (Human)	NCBITaxon:9606	gomodel:67b1629100001426/67b1629100001957	GO:0004674	protein serine/threonine kinase activity	GO:0038202	TORC1 signaling	GO:0005737	cytoplasm
UniProtKB:P22059	OSBP Hsap	67b1629100001527	Lipid transport activity of OSBP (Human)	NCBITaxon:9606	gomodel:67b1629100001527/67b1629100001531	GO:0160291	phosphatidylinositol-4-phosphate-cholesterol exchange activity	GO:0006869	lipid transport	GO:0160258	endoplasmic reticulum-trans-Golgi network membrane contact site
PomBase:SPBC17A3.09c	aim22 Spom	67b1629100001554	 glycine decarboxylation via glycine cleavage system (GO:0004375)	NCBITaxon:4896	gomodel:67b1629100001554/684b6c8100000253	GO:0016979	lipoate-protein ligase activity	GO:0009249	protein lipoylation	GO:0005759	mitochondrial matrix
PomBase:SPAC1002.09c	dld1 Spom	67b1629100001554	 glycine decarboxylation via glycine cleavage system (GO:0004375)	NCBITaxon:4896	gomodel:67b1629100001554/67b1629100001579	GO:0004148	dihydrolipoyl dehydrogenase (NADH) activity	GO:0019464	glycine decarboxylation via glycine cleavage system	GO:0005759	mitochondrial matrix
PomBase:SPAC13G6.06c	gcv2 Spom	67b1629100001554	 glycine decarboxylation via glycine cleavage system (GO:0004375)	NCBITaxon:4896	gomodel:67b1629100001554/67b1629100001555	GO:0004375	glycine dehydrogenase (decarboxylating) activity	GO:0019464	glycine decarboxylation via glycine cleavage system	GO:0005759	mitochondrial matrix
PomBase:SPAC31G5.14	gcv1 Spom	67b1629100001554	 glycine decarboxylation via glycine cleavage system (GO:0004375)	NCBITaxon:4896	gomodel:67b1629100001554/67b1629100001587	GO:0004047	aminomethyltransferase activity	GO:0019464	glycine decarboxylation via glycine cleavage system	GO:0005759	mitochondrial matrix
PomBase:SPBP19A11.01	gcv3 Spom	67b1629100001554	 glycine decarboxylation via glycine cleavage system (GO:0004375)	NCBITaxon:4896	gomodel:67b1629100001554/67b1629100001562	GO:0140104	molecular carrier activity	GO:0019464	glycine decarboxylation via glycine cleavage system	GO:0005759	mitochondrial matrix
UniProtKB:Q9UJA2	CRLS1 Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002093	GO:0043337	cardiolipin synthase (CMP-forming) activity	GO:0032049	cardiolipin biosynthetic process	GO:0031966	mitochondrial membrane
UniProtKB:Q16635	TAFAZZIN Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002152	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	GO:0035965	cardiolipin acyl-chain remodeling	GO:0005739	mitochondrion
UniProtKB:P40939	HADHA Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002145	GO:0052816	long-chain fatty acyl-CoA hydrolase activity	GO:0035965	cardiolipin acyl-chain remodeling	GO:0005743	mitochondrial inner membrane
UniProtKB:O60733	PLA2G6 Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002132	GO:0004623	A2-type glycerophospholipase activity	GO:0035965	cardiolipin acyl-chain remodeling	GO:0005739	mitochondrion
UniProtKB:Q8TC71	SPATA18 Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002114	GO:0140693	molecular condensate scaffold activity	GO:1900210	positive regulation of cardiolipin metabolic process	GO:0005759	mitochondrial matrix
UniProtKB:Q8WUK0	PTPMT1 Hsap	67b1629100002092	Cardiolipin metabolic process (GO:0032048) (Human)	NCBITaxon:9606	gomodel:67b1629100002092/67b1629100002097	GO:0008962	phosphatidylglycerophosphatase activity	GO:0032049	cardiolipin biosynthetic process	GO:0005739	mitochondrion
