#gene_systematic_id	gene_name	aspect	term_id	term_name	reference	evidence	extension	comment
SPAC1002.03c	gls2	molecular_function	GO:0106407	Glc2Man9GlcNAc2 oligosaccharide glucosidase activity	PMID:19605557	IDA		
SPCC645.05c	myo2	cellular_component	GO:0005737	cytoplasm	PMID:14602073	IDA	exists_during(GO:0051329)	
SPCC645.05c	myo2	cellular_component	GO:0071341	medial cortical node	PMID:14602073	IDA	exists_during(GO:0051329)	
SPCC645.05c	myo2	cellular_component	GO:0071341	medial cortical node	PMID:10769212	IDA	exists_during(GO:0000087)	
SPCC645.05c	myo2	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:14602073	IDA		
SPCC645.05c	myo2	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:10769212	IDA		
SPCC645.05c	myo2	cellular_component	GO:0110085	mitotic actomyosin contractile ring	PMID:10022828	IDA		
SPCC645.05c	myo2	biological_process	GO:1903475	mitotic actomyosin contractile ring assembly	PMID:34613787	IMP		We conclude that type II myosins contribute to both the assembly and disassembly of actin filaments in contractile rings.
SPCC645.05c	myo2	biological_process	GO:1902404	mitotic actomyosin contractile ring contraction	PMID:34613787	IMP		We conclude that type II myosins contribute to both the assembly and disassembly of actin filaments in contractile rings.
SPCC645.05c	myo2	molecular_function	GO:0000146	microfilament motor activity	PMID:23770677	EXP	part_of(GO:1902404)	We incubated cell ghosts in the presence of ATP and the myosin-II ATPase inhibitor blebbistatin (0.1 mM; ref. 17). Whereas rings underwent rapid contraction in the absence of blebbistatin, ring contraction was abolished in the presence of blebbistatin (Fig. 3a, nD8).
SPCC645.06c	rgf3	cellular_component	GO:0032153	cell division site	PMID:37039135	IDA	exists_during(GO:0000090)	we found that in most cells, Rgf1- GFP and Rgf3-eGFP was localized to the division site at early stages in anaphase (Fig. S3D,E).
SPCC645.06c	rgf3	cellular_component	GO:0031097	medial cortex	PMID:16291723	IDA		.By contrast, Rgf3p-GFP was not detected at cell ends, only at the medial region of the cell (Fig. 4D). Furthermore, Rgf3p rings constricted (Fig. 4D, inset). These differences in pattern are illustrated in Fig. 4E
SPCC645.06c	rgf3	biological_process	GO:0140279	regulation of mitotic division septum assembly	PMID:16291723	IMP		Rgf3p appears necessary to stimulate Rho1p-mediated activation of a glucan synthase crucial after septation for proper new cell-end formation.
SPCC645.06c	rgf3	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:25473118	EXP	has_input(PomBase:SPAC1F7.04),occurs_in(GO:0032153)	(Fig. 6)
SPCC645.06c	rgf3	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:15546915	IGI	has_input(PomBase:SPAC1F7.04),occurs_in(GO:0032153)	(Figure 5) These results indicate that Rgf3p acts as a specific Rho1p activator in S. pombe.
SPCC645.07	rgf1	cellular_component	GO:0051285	cell cortex of cell tip	PMID:16421249	IDA	exists_during(GO:0051329)	(Figure 8A)
SPCC645.07	rgf1	cellular_component	GO:1902716	cell cortex of growing cell tip	PMID:16421249	IDA	exists_during(GO:0051329)	(Figure 8A)
SPCC645.07	rgf1	cellular_component	GO:0140472	cell cortex of non-growing cell tip	PMID:16421249	IDA		(Figure 8A)
SPCC645.07	rgf1	cellular_component	GO:0032153	cell division site	PMID:37039135	IDA	exists_during(GO:0000090)	we found that in most cells, Rgf1- GFP and Rgf3-eGFP was localized to the division site at early stages in anaphase (Fig. S3D,E).
SPCC645.07	rgf1	cellular_component	GO:0051286	cell tip	PMID:16291723	IDA		Rgf1p-GFP was also detected at cell ends (Fig. 4B).
SPCC645.07	rgf1	cellular_component	GO:0000935	division septum	PMID:16291723	IDA		Both proteins localized to the division site(Fig. 4B,D). Rgf1p-GFP formed rings (Fig. 4B) late in mitosis as only cells containing segregated DNA masses contained them (data not shown and Fig. 7A)
SPCC645.07	rgf1	cellular_component	GO:0000935	division septum	PMID:16421249	IDA	exists_during(GO:0000087)	(Figure 8A)
SPCC645.07	rgf1	biological_process	GO:0051523	cell growth mode switching, monopolar to bipolar	PMID:16421249	IMP		
SPCC645.07	rgf1	biological_process	GO:0030866	cortical actin cytoskeleton organization	PMID:16421249	IMP		
SPCC645.07	rgf1	biological_process	GO:0061245	establishment or maintenance of bipolar cell polarity	PMID:39509469	EXP		Through Rho1 activation, Rgf1 stabilizes Tea4 at the cell ends, promoting its accumulation. Additionally, we described an alternative actin-dependent mechanism, driven by Rgf1 and Rho1, for marking the poles independently to the known MT- and Tea-dependent pathway.
SPCC645.07	rgf1	biological_process	GO:1903139	positive regulation of cell integrity MAPK cascade	PMID:19037094	EXP		Rgf1p, a Rho1p-specific GEF, is a new member of the Pmk1p MAPK pathway in fission yeast.
SPCC645.07	rgf1	biological_process	GO:0090334	regulation of cell wall (1->3)-beta-D-glucan biosynthetic process	PMID:16421249	IMP		
SPCC645.07	rgf1	biological_process	GO:1903338	regulation of cell wall organization or biogenesis	PMID:29689193	EXP		
SPCC645.07	rgf1	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:19189958	EXP	happens_during(GO:0051329),has_input(PomBase:SPAC1F7.04),part_of(GO:0090334)	Our results indicate that Rgf1p and Rgf2p share an essential role as Rho1p activators, and they suggest that in the absence of Rgf1p, Rgf2p takes over the essential functions for Rho1p during vegetative growth.
SPCC645.07	rgf1	molecular_function	GO:0005085	guanyl-nucleotide exchange factor activity	PMID:16421249	EXP	has_input(PomBase:SPAC1F7.04),part_of(GO:0090334)	this being consistent with the idea that rgf1+ could act in the same pathway as rho1+ (Figure 4A). Figure 5. The amount of active Rho1p increased considerably in the strain overexpressing Rgf1p compared with the wild-type strain. Moreover, only a minor amount of GTP-Rho1p was detected in the strain lacking Rgf1p.
SPCC645.07	rgf1	molecular_function	GO:0070273	phosphatidylinositol-4-phosphate binding	PMID:39509469	IDA		(Fig. 3E)
SPCC645.10	cca2	cellular_component	GO:0005829	cytosol	PMID:30528393	EXP		
SPCC645.10	cca2	cellular_component	GO:0005739	mitochondrion	PMID:30528393	EXP		
SPCC663.01c	ekc1	cellular_component	GO:0000785	chromatin	PMID:12773390	IDA	exists_during(GO:0051329)	(Fig. 2)
SPCC663.01c	ekc1	cellular_component	GO:0005654	nucleoplasm	PMID:12773390	IDA	exists_during(GO:0000087)	(Fig. 2)
SPCC663.01c	ekc1	biological_process	GO:1905560	negative regulation of kinetochore assembly	PMID:12773390	IMP		(Figure 4A and B)
SPCC663.01c	ekc1	molecular_function	GO:0005515	protein binding	PMID:12773390	IPI		(Figure 1F)
SPCC663.02	wtf14	cellular_component	GO:0005783	endoplasmic reticulum	PMID:32032353	IDA		
SPCC663.04	rpl39	cellular_component	GO:0030684	preribosome	PMID:36423630	IDA		The structure of state 1 shows an early assembly intermediate with 23 ribosomal proteins and 19 biogenesis factors (Figure 2A; Table S2).
SPCC663.05c	asf1	cellular_component	GO:0005634	nucleus	PMID:22291963	IDA		
SPCC663.05c	asf1	biological_process	GO:0045815	transcription initiation-coupled chromatin remodeling	PMID:21211723	EXP		Thus, in addition to silencing heterochromatic repeats, Asf1 prevents antisense transcription at euchromatic loci.
SPCC663.11	saf1	biological_process	GO:0045292	mRNA cis splicing, via spliceosome	PMID:36095128	IMP		(Figure S13C)
SPCC663.12	cid12	biological_process	GO:1990431	priRNA 3'-end processing	PMID:20178743	IMP		we provide evidence that siRNAs undergo processing at their 3'ends, which involves the addition of untemplated nucleotides by the Cid12 and Cid14 nucleotidyltransferases
SPCC663.12	cid12	molecular_function	GO:1990817	poly(A) RNA polymerase activity	PMID:20178743	IDA		Cid12 had robust adenylation activity when assembled into the RDRC complex, containing either wild-type Rdp1 or catalytically inactive Rdp1D903A (Figure 2G, lanes 1, 3, and 4), suggesting that Cid12 activity was allosterically regulated.
SPCC663.17	wtf15	cellular_component	GO:0005737	cytoplasm	PMID:32032353	IDA	part_of(CL:0000607)	
SPCC70.12c	ecl1	cellular_component	GO:0005737	cytoplasm	PMID:39910760	IDA		To investigate this, we observed the intracellular localization of the Ecl1-GFP fusion protein (Figure 4a). Regardless of mutations at Thr7 and Ser22, the Ecl1-GFP fusion protein was mainly localized in the nucleus during logarithmic growth and was also observed in the cytoplasm.
SPCC70.12c	ecl1	cellular_component	GO:0005634	nucleus	PMID:39910760	IDA		To investigate this, we observed the intracellular localization of the Ecl1-GFP fusion protein (Figure 4a). Regardless of mutations at Thr7 and Ser22, the Ecl1-GFP fusion protein was mainly localized in the nucleus during logarithmic growth and was also observed in the cytoplasm.
SPCC70.12c	ecl1	biological_process	GO:0031137	regulation of conjugation with cellular fusion	PMID:25204792	IMP	part_of(GO:0034224)	
SPCC70.12c	ecl1	biological_process	GO:0031137	regulation of conjugation with cellular fusion	PMID:25204792	IMP	part_of(GO:0010106)	
SPCC70.12c	ecl1	molecular_function	GO:0004860	protein kinase inhibitor activity	PMID:40395999	EXP	part_of(GO:1904262)	TORC1 activity of the ecls∆ cells was much higher than that of control cells even in the logarithmic growth phase (0 hour), suggesting that Ecl1-family proteins also partially inhibit TORC1 activity in this minimum medium condition.
SPCC70.12c	ecl1	molecular_function	GO:0030291	protein serine/threonine kinase inhibitor activity	PMID:39910760	EXP	has_input(PomBase:SPBC216.07c),part_of(GO:1904262)	Ecl1, which physically interacts with Mip1, reduces TORC1 activity regardless of Thr7 mutation
SPCC736.04c	gma12	molecular_function	GO:0031278	alpha-1,2-galactosyltransferase activity	PMID:9839953	IDA	part_of(GO:0006487)	
SPCC736.04c	gma12	molecular_function	GO:0031278	alpha-1,2-galactosyltransferase activity	PMID:9839953	IDA	part_of(GO:0006493)	
SPCC736.04c	gma12	molecular_function	GO:0031278	alpha-1,2-galactosyltransferase activity	PMID:33909078	EXP	part_of(GO:0006493)	
SPCC736.05	wtf7	cellular_component	GO:0005737	cytoplasm	PMID:32032353	IDA	part_of(CL:0000607)	
SPCC736.08	cbf11	biological_process	GO:0045944	positive regulation of transcription by RNA polymerase II	PMID:27687771	IMP		
SPCC736.08	cbf11	biological_process	GO:0019216	regulation of lipid metabolic process	PMID:26366556	IMP		
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:38482739	EXP	part_of(GO:0045834)	in the present study we show that the DNA-binding activity of Cbf11 is implicated in all its known functions, with the regulation of lipid metabolism genes remaining the best characterized role of Cbf11.
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPAC22A12.06c)	
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPCC1450.16c)	
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPBC18H10.02)	
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPBP4H10.11c)	
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPAC56E4.04c)	
SPCC736.08	cbf11	molecular_function	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	PMID:26366556	IMP	has_input(PomBase:SPCC1281.06c)	
SPCC736.08	cbf11	molecular_function	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	PMID:23555033	IDA	occurs_at(SO:0001839)	
SPCC736.08	cbf11	molecular_function	GO:0043565	sequence-specific DNA binding	PMID:26366556	IDA	occurs_at(SO:0001839)	
SPCC736.11	ago1	cellular_component	GO:0031934	mating-type region heterochromatin	PMID:15475954	IDA		(Fig. 1)
SPCC736.11	ago1	cellular_component	GO:0005721	pericentric heterochromatin	PMID:15475954	IDA		(Fig. 1)
SPCC736.11	ago1	cellular_component	GO:0140720	subtelomeric heterochromatin	PMID:15475954	IDA		(Fig. 1)
SPCC736.11	ago1	biological_process	GO:0070317	negative regulation of G0 to G1 transition	PMID:27738016	IMP		mutant defective in maintenance of quiescence
SPCC736.11	ago1	biological_process	GO:0030466	silent mating-type cassette heterochromatin formation	PMID:15475954	IDA		These results indicate that RITS and Atf1-Pcr1 participate in distinct and parallel pathways to nucleate heterochromatin at the mat locus.
SPCC736.11	ago1	molecular_function	GO:0070551	endoribonuclease activity, cleaving siRNA-paired mRNA	PMID:16931764	IDA	part_of(GO:0141194)	Thus, Ago1 from fission yeast has "slicing" activity and can direct site-specific cleavage of RNA substrates via siRNA.
SPCC736.11	ago1	molecular_function	GO:0070551	endoribonuclease activity, cleaving siRNA-paired mRNA	PMID:17310250	IDA	part_of(GO:0030422)	These results indicate that the slicer activity of Ago1 is required for the in vivo conversion of double-stranded siRNA to single-stranded siRNA
SPCC736.11	ago1	molecular_function	GO:0016891	RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism	PMID:24095277	IDA		
SPCC736.11	ago1	molecular_function	GO:0035197	siRNA binding	PMID:17512405	IDA	has_input(SO:0000646)	Quantification of the signals revealed that Ago1 contained about 3-fold more antisense than sense ura4+ siRNAs. etc....(Figure 1)
SPCC736.12c	mmi1	biological_process	GO:0071031	nuclear mRNA surveillance of mRNA 3'-end processing	PMID:25989903	IMP		meiotic genes ....Overall, our experiments show that the MTREC complex is specifically recruited to CUTs and meiotic mRNAs, and it plays a key role in their degradation by the nuclear exosome.
SPCC736.12c	mmi1	biological_process	GO:0071039	nuclear polyadenylation-dependent CUT catabolic process	PMID:25989903	IMP		
SPCC736.12c	mmi1	biological_process	GO:0043628	regulatory ncRNA 3'-end processing	PMID:32546512	EXP		a scenario in which Erh1 acts as a brake on Mmi1’s ability to promote CPF-dependent termination during prt lncRNA synthesis.
SPCC736.12c	mmi1	biological_process	GO:1902794	siRNA-independent facultative heterochromatin formation	PMID:22144463	IMP		
SPCC736.12c	mmi1	molecular_function	GO:0106222	lncRNA binding	PMID:26670050	IPI		
SPCC736.12c	mmi1	molecular_function	GO:0106222	lncRNA binding	PMID:26670050	IPI		
SPCC736.12c	mmi1	molecular_function	GO:0106222	lncRNA binding	PMID:25428589	IPI	occurs_in(SO:0002005)	We identified a consensus DSR motif for Mmi1 binding at position þ820 nt within the nc-tgp1 transcript and RNA IP (RIP) experiments confirmed a direct interaction between Mmi1 and the nc-tgp1 RNA (Supplementary Fig. 5).
SPCC736.12c	mmi1	molecular_function	GO:0005515	protein binding	PMID:26670050	IPI		
SPCC736.12c	mmi1	molecular_function	GO:0005515	protein binding	PMID:26670050	IPI	has_input(PomBase:SPCC970.07c)	
SPCC736.12c	mmi1	molecular_function	GO:0005515	protein binding	PMID:26670050	IPI	has_input(PomBase:SPCC613.12c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC32H8.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC2G2.09c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC1223.12c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC57A10.04)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC29A10.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC6C3.05)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC23C4.07)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC646.17c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC582.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC216.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1347.12)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBP8B7.04)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1718.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC32A11.01)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC29A10.14)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC70.09c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1652.01)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC119.14)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC2D10.06)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1F7.06)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC31G5.10)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC4F10.08)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC27D7.05c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC16A11.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC2D10.13)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC1322.03)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC57A10.08c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC19C7.07c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC839.09c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1F8.06)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1705.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1783.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC27E2.10c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC4G3.10c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAP7G5.03)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC1235.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC27B12.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC25B2.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC609.04)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC13F5.01c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC830.09c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC359.01)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC4G8.08)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC188.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1604.10)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC3E7.14)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1289.13c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC3C7.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC24C9.13c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC11E3.10)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC23C4.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC36.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC70.06)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC11E10.01)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1071.13)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC970.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC1183.05c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC343.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC405.02c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC23G7.14)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC9E9.14)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC569.07)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC3H1.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC19A8.01c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC19B12.11c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC4B4.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC887.14c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC56E4.07)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC688.09)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC3G9.13c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC22F3.12c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC14F5.11c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1039.03)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAPB1E7.06c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC13G6.08)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC13G7.11)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC6F6.16c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC9B6.03)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1F3.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC725.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBP8B7.15c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC1B2.05)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPCC1442.04c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC18B11.07c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC4G9.07)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC21H7.02)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC1683.04)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC227.17c)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPAC4G8.09)	
SPCC736.12c	mmi1	molecular_function	GO:0140517	protein-RNA adaptor activity	PMID:26670050	IPI	has_input(PomBase:SPBC337.12)	
