suggested_review_name	ordered_locus	uniprot_accession	membership_source	pathway_id	pathway_name	pathway_scope	module_area	is_primary_partition
PP_3384	PP_3384	Q88HH4	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
PP_3384	PP_3384	Q88HH4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3384	PP_3384	Q88HH4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3385	PP_3385	Q88HH3	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
vgrG-II	PP_3386	Q88HH2	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
PP_3392	PP_3392	Q88HG6	KEGG	ppu00910	Nitrogen metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_3392	PP_3392	Q88HG6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3394	PP_3394	Q88HG4	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
PP_3394	PP_3394	Q88HG4	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
PP_3394	PP_3394	Q88HG4	KEGG	ppu00907	Pinene, camphor and geraniol degradation	specific	other_kegg_pathway	true
PP_3394	PP_3394	Q88HG4	KEGG	ppu04146	Peroxisome	specific	other_kegg_pathway	false
PP_3394	PP_3394	Q88HG4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3394	PP_3394	Q88HG4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3409	PP_3409	Q88HF1	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
PP_3409	PP_3409	Q88HF1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3409	PP_3409	Q88HF1	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
cobM	PP_3410	Q88HF0	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
cobM	PP_3410	Q88HF0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cobM	PP_3410	Q88HF0	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
cobM	PP_3410	Q88HF0	UniPathway	UPA00148	UniPathway UPA00148	specific	unipathway	false
PP_3412	PP_3412	Q88HE8	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_3413	PP_3413	Q88HE7	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_3414	PP_3414	Q88HE6	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_3414	PP_3414	Q88HE6	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
gnuK	PP_3416	Q88HE4	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
gnuK	PP_3416	Q88HE4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gnuK	PP_3416	Q88HE4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
gnuK	PP_3416	Q88HE4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
gnuK	PP_3416	Q88HE4	KEGG	ppu01200	Carbon metabolism	overview	overview	false
xcpT	PP_3423	Q88HD7	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
xcpS	PP_3424	Q88HD6	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
hpd	PP_3433	Q88HC7	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	specific	cofactors_vitamins_redox	true
hpd	PP_3433	Q88HC7	KEGG	ppu00350	Tyrosine metabolism	specific	amino_acid_metabolism	false
hpd	PP_3433	Q88HC7	KEGG	ppu00360	Phenylalanine metabolism	specific	amino_acid_metabolism	false
hpd	PP_3433	Q88HC7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
hpd	PP_3433	Q88HC7	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
PP_3443	PP_3443	Q88HB7	KEGG	ppu00010	Glycolysis / Gluconeogenesis	specific	central_carbon	false
PP_3443	PP_3443	Q88HB7	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
PP_3443	PP_3443	Q88HB7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3443	PP_3443	Q88HB7	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3443	PP_3443	Q88HB7	KEGG	ppu01200	Carbon metabolism	overview	overview	false
ilvA-I	PP_3446	Q88HB4	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
ilvA-I	PP_3446	Q88HB4	KEGG	ppu00290	Valine, leucine and isoleucine biosynthesis	specific	amino_acid_metabolism	true
ilvA-I	PP_3446	Q88HB4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ilvA-I	PP_3446	Q88HB4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ilvA-I	PP_3446	Q88HB4	KEGG	ppu01200	Carbon metabolism	overview	overview	false
ilvA-I	PP_3446	Q88HB4	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
ilvA-I	PP_3446	Q88HB4	UniPathway	UPA00047	UniPathway UPA00047	specific	unipathway	false
PP_3455	PP_3455	Q88HA5	KEGG	ppu01501	beta-Lactam resistance	specific	lipid_cell_envelope_metabolism	true
PP_3455	PP_3455	Q88HA5	KEGG	ppu01503	Cationic antimicrobial peptide (CAMP) resistance	specific	other_kegg_pathway	false
mexB	PP_3456	Q88HA4	KEGG	ppu01501	beta-Lactam resistance	specific	lipid_cell_envelope_metabolism	true
mexB	PP_3456	Q88HA4	KEGG	ppu01503	Cationic antimicrobial peptide (CAMP) resistance	specific	other_kegg_pathway	false
mobA	PP_3457	Q88HA3	KEGG	ppu00790	Folate biosynthesis	specific	cofactors_vitamins_redox	true
mobA	PP_3457	Q88HA3	KEGG	ppu01100	Metabolic pathways	overview	overview	false
peaE	PP_3463	Q88H97	KEGG	ppu00350	Tyrosine metabolism	specific	amino_acid_metabolism	false
peaE	PP_3463	Q88H97	KEGG	ppu00360	Phenylalanine metabolism	specific	amino_acid_metabolism	false
peaE	PP_3463	Q88H97	KEGG	ppu00643	Styrene degradation	specific	aromatic_and_xenobiotic_catabolism	true
peaE	PP_3463	Q88H97	KEGG	ppu01100	Metabolic pathways	overview	overview	false
peaE	PP_3463	Q88H97	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3476	PP_3476	Q88H85	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
PP_3477	PP_3477	Q88H84	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
PP_3478	PP_3478	Q88H83	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
PP_3483	PP_3483	Q88H78	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	true
PP_3506	PP_3506	Q88H59	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
PP_3506	PP_3506	Q88H59	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3506	PP_3506	Q88H59	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
cobN	PP_3507	Q88H58	KEGG	ppu00860	Porphyrin metabolism	specific	cofactors_vitamins_redox	true
cobN	PP_3507	Q88H58	KEGG	ppu01100	Metabolic pathways	overview	overview	false
cobN	PP_3507	Q88H58	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
ilvE	PP_3511	Q88H54	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
ilvE	PP_3511	Q88H54	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
ilvE	PP_3511	Q88H54	KEGG	ppu00290	Valine, leucine and isoleucine biosynthesis	specific	amino_acid_metabolism	true
ilvE	PP_3511	Q88H54	KEGG	ppu00770	Pantothenate and CoA biosynthesis	specific	cofactors_vitamins_redox	false
ilvE	PP_3511	Q88H54	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ilvE	PP_3511	Q88H54	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ilvE	PP_3511	Q88H54	KEGG	ppu01210	2-Oxocarboxylic acid metabolism	overview	overview	false
ilvE	PP_3511	Q88H54	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
ilvE	PP_3511	Q88H54	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
ilvE	PP_3511	Q88H54	UniPathway	UPA00047	UniPathway UPA00047	specific	unipathway	false
ilvE	PP_3511	Q88H54	UniPathway	UPA00048	UniPathway UPA00048	specific	unipathway	false
ilvE	PP_3511	Q88H54	UniPathway	UPA00049	UniPathway UPA00049	specific	unipathway	false
oplB	PP_3514	Q88H51	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
oplB	PP_3514	Q88H51	KEGG	ppu01100	Metabolic pathways	overview	overview	false
oplA	PP_3515	Q88H50	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
oplA	PP_3515	Q88H50	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3528	PP_3528	Q88H37	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_3528	PP_3528	Q88H37	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	false
allE	PP_3530	Q88H35	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	true
allE	PP_3530	Q88H35	KEGG	ppu01100	Metabolic pathways	overview	overview	false
allE	PP_3530	Q88H35	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
ocd__Q88H32	PP_3533	Q88H32	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
ocd__Q88H32	PP_3533	Q88H32	KEGG	ppu01100	Metabolic pathways	overview	overview	false
ocd__Q88H32	PP_3533	Q88H32	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
ocd__Q88H32	PP_3533	Q88H32	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
ocd__Q88H32	PP_3533	Q88H32	UniPathway	UPA00098	UniPathway UPA00098	specific	unipathway	false
PP_3535	PP_3535	Q88H30	KEGG	ppu00430	Taurine and hypotaurine metabolism	specific	amino_acid_metabolism	true
PP_3535	PP_3535	Q88H30	KEGG	ppu00460	Cyanoamino acid metabolism	specific	amino_acid_metabolism	false
PP_3535	PP_3535	Q88H30	KEGG	ppu00480	Glutathione metabolism	specific	other_kegg_pathway	false
PP_3535	PP_3535	Q88H30	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3535	PP_3535	Q88H30	UniPathway	UPA00204	UniPathway UPA00204	specific	unipathway	false
pobA	PP_3537	Q88H28	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
pobA	PP_3537	Q88H28	KEGG	ppu01220	Degradation of aromatic compounds	specific	aromatic_and_xenobiotic_catabolism	true
pobA	PP_3537	Q88H28	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pobA	PP_3537	Q88H28	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mvaB	PP_3540	Q88H25	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
mvaB	PP_3540	Q88H25	KEGG	ppu00650	Butanoate metabolism	specific	central_carbon	false
mvaB	PP_3540	Q88H25	KEGG	ppu00907	Pinene, camphor and geraniol degradation	specific	other_kegg_pathway	true
mvaB	PP_3540	Q88H25	KEGG	ppu04146	Peroxisome	specific	other_kegg_pathway	false
mvaB	PP_3540	Q88H25	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mvaB	PP_3540	Q88H25	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mvaB	PP_3540	Q88H25	UniPathway	UPA00896	UniPathway UPA00896	specific	unipathway	false
PP_3553	PP_3553	Q88H12	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_3553	PP_3553	Q88H12	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3553	PP_3553	Q88H12	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3554	PP_3554	Q88H11	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_3554	PP_3554	Q88H11	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3554	PP_3554	Q88H11	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3557	PP_3557	Q88H08	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	false
PP_3557	PP_3557	Q88H08	KEGG	ppu02030	Bacterial chemotaxis	specific	transport_motility_signaling	true
PP_3558	PP_3558	Q88H07	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_3559	PP_3559	Q88H06	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
quiA	PP_3569	Q88GZ6	KEGG	ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	specific	amino_acid_metabolism	true
quiA	PP_3569	Q88GZ6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
quiA	PP_3569	Q88GZ6	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_3571	PP_3571	Q88GZ4	KEGG	ppu00220	Arginine biosynthesis	specific	amino_acid_metabolism	true
PP_3571	PP_3571	Q88GZ4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3571	PP_3571	Q88GZ4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_3571	PP_3571	Q88GZ4	KEGG	ppu01210	2-Oxocarboxylic acid metabolism	overview	overview	false
PP_3571	PP_3571	Q88GZ4	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
PP_3576	PP_3576	Q88GY9	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
fecI	PP_3577	Q88GY8	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
pgm	PP_3578	Q88GY7	KEGG	ppu00010	Glycolysis / Gluconeogenesis	specific	central_carbon	false
pgm	PP_3578	Q88GY7	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	false
pgm	PP_3578	Q88GY7	KEGG	ppu00052	Galactose metabolism	specific	other_kegg_pathway	true
pgm	PP_3578	Q88GY7	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	false
pgm	PP_3578	Q88GY7	KEGG	ppu00500	Starch and sucrose metabolism	specific	other_kegg_pathway	false
pgm	PP_3578	Q88GY7	KEGG	ppu00520	Amino sugar and nucleotide sugar metabolism	specific	nucleotide_metabolism	false
pgm	PP_3578	Q88GY7	KEGG	ppu00521	Streptomycin biosynthesis	specific	other_kegg_pathway	false
pgm	PP_3578	Q88GY7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pgm	PP_3578	Q88GY7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
pgm	PP_3578	Q88GY7	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
pgm	PP_3578	Q88GY7	KEGG	ppu01250	Biosynthesis of nucleotide sugars	overview	overview	false
PP_3581	PP_3581	Q88GY4	KEGG	ppu02025	Biofilm formation - Pseudomonas aeruginosa	specific	transport_motility_signaling	true
PP_3582	PP_3582	Q88GY3	KEGG	ppu01501	beta-Lactam resistance	specific	lipid_cell_envelope_metabolism	true
PP_3582	PP_3582	Q88GY3	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	false
mdtC	PP_3583	Q88GY2	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
mdtB	PP_3584	A0A140FWF8	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
mdtA	PP_3585	Q88GY1	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
amaC	PP_3590	Q88GX7	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
amaC	PP_3590	Q88GX7	KEGG	ppu00350	Tyrosine metabolism	specific	amino_acid_metabolism	false
amaC	PP_3590	Q88GX7	KEGG	ppu00360	Phenylalanine metabolism	specific	amino_acid_metabolism	false
amaC	PP_3590	Q88GX7	KEGG	ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	specific	amino_acid_metabolism	false
amaC	PP_3590	Q88GX7	KEGG	ppu00401	Novobiocin biosynthesis	specific	other_kegg_pathway	true
amaC	PP_3590	Q88GX7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
amaC	PP_3590	Q88GX7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
amaC	PP_3590	Q88GX7	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
dpkA	PP_3591	Q88GX6	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	true
dpkA	PP_3591	Q88GX6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
dpkA	PP_3591	Q88GX6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
amaD	PP_3596	Q88GX1	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	true
amaD	PP_3596	Q88GX1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
amaD	PP_3596	Q88GX1	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3599	PP_3599	Q88GW8	KEGG	ppu00053	Ascorbate and aldarate metabolism	specific	other_kegg_pathway	true
PP_3599	PP_3599	Q88GW8	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3599	PP_3599	Q88GW8	UniPathway	UPA00564	UniPathway UPA00564	specific	unipathway	false
garD	PP_3601	Q88GW6	KEGG	ppu00053	Ascorbate and aldarate metabolism	specific	other_kegg_pathway	true
garD	PP_3601	Q88GW6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3602	PP_3602	Q88GW5	KEGG	ppu00040	Pentose and glucuronate interconversions	specific	other_kegg_pathway	true
PP_3602	PP_3602	Q88GW5	KEGG	ppu00053	Ascorbate and aldarate metabolism	specific	other_kegg_pathway	false
PP_3602	PP_3602	Q88GW5	KEGG	ppu00470	D-Amino acid metabolism	specific	amino_acid_metabolism	false
PP_3602	PP_3602	Q88GW5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3609	PP_3609	Q88GV8	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	true
adhB	PP_3623	Q88GU4	KEGG	ppu00010	Glycolysis / Gluconeogenesis	specific	central_carbon	false
adhB	PP_3623	Q88GU4	KEGG	ppu00030	Pentose phosphate pathway	specific	central_carbon	true
adhB	PP_3623	Q88GU4	KEGG	ppu00620	Pyruvate metabolism	specific	central_carbon	false
adhB	PP_3623	Q88GU4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
adhB	PP_3623	Q88GU4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
adhB	PP_3623	Q88GU4	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
argC2	PP_3633	P59308	KEGG	ppu00220	Arginine biosynthesis	specific	amino_acid_metabolism	true
argC2	PP_3633	P59308	KEGG	ppu01100	Metabolic pathways	overview	overview	false
argC2	PP_3633	P59308	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
argC2	PP_3633	P59308	KEGG	ppu01210	2-Oxocarboxylic acid metabolism	overview	overview	false
argC2	PP_3633	P59308	KEGG	ppu01230	Biosynthesis of amino acids	overview	overview	false
argC2	PP_3633	P59308	UniPathway	UPA00068	UniPathway UPA00068	specific	unipathway	false
PP_3648	PP_3648	Q88GS0	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
PP_3648	PP_3648	Q88GS0	KEGG	ppu01220	Degradation of aromatic compounds	specific	aromatic_and_xenobiotic_catabolism	true
PP_3648	PP_3648	Q88GS0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3648	PP_3648	Q88GS0	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3657	PP_3657	Q88GR1	KEGG	ppu00627	Aminobenzoate degradation	specific	aromatic_and_xenobiotic_catabolism	true
PP_3657	PP_3657	Q88GR1	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3662	PP_3662	Q88GQ6	KEGG	ppu00230	Purine metabolism	specific	nucleotide_metabolism	false
PP_3662	PP_3662	Q88GQ6	KEGG	ppu00240	Pyrimidine metabolism	specific	nucleotide_metabolism	true
PP_3662	PP_3662	Q88GQ6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3662	PP_3662	Q88GQ6	KEGG	ppu01232	Nucleotide metabolism	overview	overview	false
pssA	PP_3664	Q88GQ4	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
pssA	PP_3664	Q88GQ4	KEGG	ppu00564	Glycerophospholipid metabolism	specific	lipid_cell_envelope_metabolism	true
pssA	PP_3664	Q88GQ4	KEGG	ppu01100	Metabolic pathways	overview	overview	false
pssA	PP_3664	Q88GQ4	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
creA	PP_3667	Q88GQ1	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
creA	PP_3667	Q88GQ1	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
creA	PP_3667	Q88GQ1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
katG	PP_3668	Q88GQ0	KEGG	ppu00360	Phenylalanine metabolism	specific	amino_acid_metabolism	false
katG	PP_3668	Q88GQ0	KEGG	ppu00380	Tryptophan metabolism	specific	amino_acid_metabolism	true
katG	PP_3668	Q88GQ0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
katG	PP_3668	Q88GQ0	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
catA-I	PP_3713	Q88GK8	KEGG	ppu00361	Chlorocyclohexane and chlorobenzene degradation	specific	aromatic_and_xenobiotic_catabolism	true
catA-I	PP_3713	Q88GK8	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
catA-I	PP_3713	Q88GK8	KEGG	ppu00364	Fluorobenzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
catA-I	PP_3713	Q88GK8	KEGG	ppu00623	Toluene degradation	specific	aromatic_and_xenobiotic_catabolism	false
catA-I	PP_3713	Q88GK8	KEGG	ppu01220	Degradation of aromatic compounds	specific	aromatic_and_xenobiotic_catabolism	false
catA-I	PP_3713	Q88GK8	KEGG	ppu01100	Metabolic pathways	overview	overview	false
catA-I	PP_3713	Q88GK8	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
catA-I	PP_3713	Q88GK8	UniPathway	UPA00157	UniPathway UPA00157	specific	unipathway	false
catC	PP_3714	Q88GK7	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
catC	PP_3714	Q88GK7	KEGG	ppu01220	Degradation of aromatic compounds	specific	aromatic_and_xenobiotic_catabolism	true
catC	PP_3714	Q88GK7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
catC	PP_3714	Q88GK7	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
catC	PP_3714	Q88GK7	UniPathway	UPA00157	UniPathway UPA00157	specific	unipathway	false
catB	PP_3715	Q88GK6	KEGG	ppu00361	Chlorocyclohexane and chlorobenzene degradation	specific	aromatic_and_xenobiotic_catabolism	true
catB	PP_3715	Q88GK6	KEGG	ppu00362	Benzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
catB	PP_3715	Q88GK6	KEGG	ppu00364	Fluorobenzoate degradation	specific	aromatic_and_xenobiotic_catabolism	false
catB	PP_3715	Q88GK6	KEGG	ppu00623	Toluene degradation	specific	aromatic_and_xenobiotic_catabolism	false
catB	PP_3715	Q88GK6	KEGG	ppu01220	Degradation of aromatic compounds	specific	aromatic_and_xenobiotic_catabolism	false
catB	PP_3715	Q88GK6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
catB	PP_3715	Q88GK6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_3719	PP_3719	Q88GK2	KEGG	ppu02010	ABC transporters	specific	transport_motility_signaling	true
PP_3720	PP_3720	Q88GK1	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	specific	cofactors_vitamins_redox	true
PP_3720	PP_3720	Q88GK1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3720	PP_3720	Q88GK1	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_3720	PP_3720	Q88GK1	KEGG	ppu01240	Biosynthesis of cofactors	overview	overview	false
aruH	PP_3721	Q88GK0	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
aruH	PP_3721	Q88GK0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
alr	PP_3722	Q88GJ9	KEGG	ppu00260	Glycine, serine and threonine metabolism	specific	amino_acid_metabolism	false
alr	PP_3722	Q88GJ9	KEGG	ppu00270	Cysteine and methionine metabolism	specific	amino_acid_metabolism	false
alr	PP_3722	Q88GJ9	KEGG	ppu00310	Lysine degradation	specific	amino_acid_metabolism	false
alr	PP_3722	Q88GJ9	KEGG	ppu00470	D-Amino acid metabolism	specific	amino_acid_metabolism	true
alr	PP_3722	Q88GJ9	KEGG	ppu01100	Metabolic pathways	overview	overview	false
alr	PP_3722	Q88GJ9	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
aruI	PP_3723	A0A140FWH9	KEGG	ppu00330	Arginine and proline metabolism	specific	amino_acid_metabolism	true
aruI	PP_3723	A0A140FWH9	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3725	PP_3725	Q88GJ7	KEGG	ppu00071	Fatty acid degradation	specific	lipid_cell_envelope_metabolism	true
PP_3725	PP_3725	Q88GJ7	KEGG	ppu00280	Valine, leucine and isoleucine degradation	specific	amino_acid_metabolism	false
PP_3725	PP_3725	Q88GJ7	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3725	PP_3725	Q88GJ7	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
PP_3725	PP_3725	Q88GJ7	KEGG	ppu01212	Fatty acid metabolism	overview	overview	false
PP_3726	PP_3726	Q88GJ6	KEGG	ppu00360	Phenylalanine metabolism	specific	amino_acid_metabolism	true
PP_3726	PP_3726	Q88GJ6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_3726	PP_3726	Q88GJ6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
vanA	PP_3736	Q88GI6	KEGG	ppu00627	Aminobenzoate degradation	specific	aromatic_and_xenobiotic_catabolism	true
vanA	PP_3736	Q88GI6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
vanA	PP_3736	Q88GI6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
vanB	PP_3737	Q88GI5	KEGG	ppu00627	Aminobenzoate degradation	specific	aromatic_and_xenobiotic_catabolism	true
vanB	PP_3737	Q88GI5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
vanB	PP_3737	Q88GI5	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
mrdA-I	PP_3741	Q88GI2	KEGG	ppu00550	Peptidoglycan biosynthesis	specific	lipid_cell_envelope_metabolism	false
mrdA-I	PP_3741	Q88GI2	KEGG	ppu01501	beta-Lactam resistance	specific	lipid_cell_envelope_metabolism	true
mrdA-I	PP_3741	Q88GI2	KEGG	ppu01100	Metabolic pathways	overview	overview	false
mrdA-I	PP_3741	Q88GI2	UniPathway	UPA00219	UniPathway UPA00219	specific	unipathway	false
