citation	species	family_stem	n_members	members
PMID:25416956	human	RNF	5	RNF14;RNF170;RNF185;RNF41;RNF5
PMID:32296183	human	ELOVL	5	ELOVL2;ELOVL4;ELOVL5;ELOVL6;ELOVL7
PMID:32296183	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
PMID:20458337	human	CHMP	5	CHMP1B;CHMP2A;CHMP4B;CHMP5;CHMP6
PMID:32814053	human	CHMP	5	CHMP1A;CHMP2A;CHMP4B;CHMP6;CHMP7
PMID:32814053	human	RNF	5	RNF14;RNF166;RNF25;RNF41;RNF5
PMID:32814053	human	NDUFA	5	NDUFA13;NDUFA4;NDUFA5;NDUFA8;NDUFA9
PMID:19199708	human	HSPA	5	HSPA13;HSPA1A;HSPA1B;HSPA6;HSPA8
PMID:34800366	human	COA	5	COA3;COA4;COA5;COA6;COA7
PMID:28514442	human	LRP	5	LRP1;LRP2;LRP4;LRP5;LRP6
PMID:28514442	human	BBS	5	BBS10;BBS12;BBS2;BBS7;BBS9
PMID:28514442	human	HSPA	5	HSPA13;HSPA14;HSPA2;HSPA8;HSPA9
PMID:33961781	human	NAA	5	NAA10;NAA15;NAA30;NAA35;NAA38
PMID:33961781	human	NDUFAF	5	NDUFAF2;NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF8
PMID:33961781	human	TRAPPC	5	TRAPPC1;TRAPPC13;TRAPPC3;TRAPPC5;TRAPPC8
PMID:33961781	human	RNF	5	RNF166;RNF185;RNF25;RNF41;RNF5
PMID:33961781	human	ATG	5	ATG12;ATG14;ATG2B;ATG5;ATG7
PMID:33961781	human	CHMP	5	CHMP1A;CHMP1B;CHMP2A;CHMP5;CHMP6
PMID:35271311	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS4A
PMID:40205054	human	BBS	5	BBS1;BBS2;BBS4;BBS7;BBS9
PMID:40205054	human	FBXW	5	FBXW2;FBXW5;FBXW7;FBXW8;FBXW9
GO_REF:0000113	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
PMID:27705803	human	FBXW	5	FBXW2;FBXW4;FBXW5;FBXW8;FBXW9
PMID:29039417	human	BBS	5	BBS1;BBS2;BBS4;BBS5;BBS9
PMID:16327777	human	BBS	5	BBS1;BBS2;BBS4;BBS5;BBS7
PMID:18762586	human	BBS	5	BBS1;BBS2;BBS4;BBS5;BBS7
PMID:17711858	human	CHMP	5	CHMP1A;CHMP1B;CHMP4B;CHMP4C;CHMP5
Reactome:R-HSA-9865449	human	COX	5	COX11;COX14;COX15;COX16;COX5A
Reactome:R-HSA-9865663	human	COX	5	COX14;COX5A;COX5B;COX7B;COX8A
PMID:28927698	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162186	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162187	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162188	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162193	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162194	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
Reactome:R-HSA-2162195	human	COQ	5	COQ4;COQ5;COQ6;COQ7;COQ9
PMID:23921388	human	HSPA	5	HSPA1A;HSPA1B;HSPA2;HSPA6;HSPA8
PMID:10339406	human	TIMM	5	TIMM17A;TIMM21;TIMM23;TIMM44;TIMM50
PMID:2476436	human	ITIH	5	ITIH1;ITIH2;ITIH3;ITIH5;ITIH6
PMID:19549727	human	RNF	5	RNF14;RNF166;RNF185;RNF25;RNF5
PMID:18227064	human	LRFN	5	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5
PMID:18585462	human	LRFN	5	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5
PMID:32424346	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
Reactome:R-HSA-184269	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
Reactome:R-HSA-3149434	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
Reactome:R-HSA-917696	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
Reactome:R-HSA-917730	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
PMID:31519728	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
PMID:17209039	human	NDUFA	5	NDUFA1;NDUFA13;NDUFA2;NDUFA6;NDUFA9
PMID:9878551	human	NDUFB	5	NDUFB10;NDUFB3;NDUFB7;NDUFB8;NDUFB9
Reactome:R-HSA-6799191	human	NDUFAF	5	NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF6;NDUFAF7
PMID:11112787	human	NDUFS	5	NDUFS2;NDUFS3;NDUFS4;NDUFS7;NDUFS8
PMID:20531392	human	PEX	5	PEX11B;PEX13;PEX19;PEX2;PEX26
PMID:23614719	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
PMID:30955883	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
PMID:32699605	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
PMID:9630229	human	PFDN	5	PFDN1;PFDN2;PFDN4;PFDN5;PFDN6
PMID:15644312	human	TOMM	5	TOMM20;TOMM22;TOMM40;TOMM7;TOMM70
PMID:24058793	human	STAT	5	STAT1;STAT2;STAT3;STAT4;STAT5B
PMID:30598479	human	TIMM	5	TIMM17A;TIMM21;TIMM23;TIMM44;TIMM50
PMID:21757351	human	VPS	5	VPS28;VPS37A;VPS37B;VPS37C;VPS37D
PMID:37968396	yeast	CCT	5	CCT2;CCT3;CCT4;CCT5;CCT6
GO_REF:0000002	worm	DYF-	4	dyf-11;dyf-2;dyf-5;dyf-6
GO_REF:0000002	human	RASA	4	RASA2;RASA3;RASA4;RASA4B
GO_REF:0000002	human	ELAVL	4	ELAVL1;ELAVL2;ELAVL3;ELAVL4
GO_REF:0000002	human	THBS	4	THBS1;THBS2;THBS3;THBS4
GO_REF:0000002	POPTR	XGOAT	4	XGOAT1;XGOAT2;XGOAT3;XGOAT4
GO_REF:0000002	human	LMAN	4	LMAN1;LMAN1L;LMAN2;LMAN2L
GO_REF:0000002	human	UPF	4	UPF1;UPF2;UPF3A;UPF3B
GO_REF:0000002	human	SRP	4	SRP19;SRP68;SRP72;SRP9
GO_REF:0000002	ANOGA	TEP	4	TEP1;TEP10;TEP2;TEP6
GO_REF:0000002	human	SMPD	4	SMPD1;SMPD2;SMPD3;SMPD4
GO_REF:0000002	human	RNF	4	RNF14;RNF185;RNF41;RNF5
GO_REF:0000002	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000002	human	TRIM	4	TRIM13;TRIM16;TRIM17;TRIM5
GO_REF:0000002	human	LOXL	4	LOXL1;LOXL2;LOXL3;LOXL4
GO_REF:0000002	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
GO_REF:0000002	human	NDUFB	4	NDUFB3;NDUFB7;NDUFB8;NDUFB9
GO_REF:0000002	human	PANK	4	PANK1;PANK2;PANK3;PANK4
GO_REF:0000002	human	HSPB	4	HSPB2;HSPB6;HSPB7;HSPB8
GO_REF:0000002	human	SOCS	4	SOCS1;SOCS3;SOCS4;SOCS5
GO_REF:0000002	worm	DAF-	4	daf-16;daf-19;daf-2;daf-21
GO_REF:0000002	human	BBS	4	BBS10;BBS12;BBS2;BBS7
GO_REF:0000041	human	FBXL	4	FBXL12;FBXL15;FBXL22;FBXL5
GO_REF:0000041	human	ELOVL	4	ELOVL1;ELOVL4;ELOVL6;ELOVL7
GO_REF:0000041	human	RNF	4	RNF166;RNF170;RNF185;RNF5
GO_REF:0000041	human	SOCS	4	SOCS1;SOCS3;SOCS4;SOCS5
GO_REF:0000041	human	LPCAT	4	LPCAT1;LPCAT2;LPCAT3;LPCAT4
GO_REF:0000041	human	COX	4	COX5A;COX5B;COX7B;COX8A
GO_REF:0000120	yeast	SSA	4	SSA1;SSA2;SSA3;SSA4
GO_REF:0000120	SCHPO	ATG	4	atg101;atg13;atg2;atg5
GO_REF:0000120	human	RDH	4	RDH11;RDH12;RDH5;RDH8
GO_REF:0000120	human	LPCAT	4	LPCAT1;LPCAT2;LPCAT3;LPCAT4
GO_REF:0000120	human	THBS	4	THBS1;THBS2;THBS3;THBS4
GO_REF:0000120	human	USP	4	USP10;USP21;USP25;USP8
GO_REF:0000120	human	LPAR	4	LPAR1;LPAR2;LPAR3;LPAR4
GO_REF:0000120	human	BAG	4	BAG1;BAG2;BAG3;BAG6
GO_REF:0000120	human	TRAPPC	4	TRAPPC1;TRAPPC3;TRAPPC4;TRAPPC5
GO_REF:0000120	worm	DAF-	4	daf-10;daf-19;daf-2;daf-21
GO_REF:0000120	ANOGA	TEP	4	TEP1;TEP10;TEP2;TEP6
GO_REF:0000120	human	SMPD	4	SMPD1;SMPD2;SMPD3;SMPD4
GO_REF:0000120	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000120	human	LOXL	4	LOXL1;LOXL2;LOXL3;LOXL4
GO_REF:0000120	human	FBXL	4	FBXL12;FBXL16;FBXL3;FBXL7
GO_REF:0000120	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
GO_REF:0000120	human	CASP	4	CASP12;CASP14;CASP3;CASP9
GO_REF:0000120	human	COX	4	COX10;COX15;COX20;COX5A
GO_REF:0000120	SCHPO	CDC	4	cdc12;cdc13;cdc2;cdc25
GO_REF:0000120	human	DNAJB	4	DNAJB1;DNAJB13;DNAJB2;DNAJB6
GO_REF:0000043	yeast	SSA	4	SSA1;SSA2;SSA3;SSA4
GO_REF:0000043	human	RASA	4	RASA2;RASA3;RASA4;RASA4B
GO_REF:0000043	worm	DAF-	4	daf-16;daf-19;daf-2;daf-21
GO_REF:0000043	ANOGA	TEP	4	TEP1;TEP10;TEP2;TEP6
GO_REF:0000117	yeast	SSA	4	SSA1;SSA2;SSA3;SSA4
GO_REF:0000117	9POAL	NCGR_LOCUS	4	NCGR_LOCUS10166;NCGR_LOCUS1270;NCGR_LOCUS29329;NCGR_LOCUS67308
GO_REF:0000117	human	PEX	4	PEX1;PEX12;PEX19;PEX6
GO_REF:0000117	human	FBXO	4	FBXO17;FBXO27;FBXO43;FBXO5
GO_REF:0000117	human	ACTR	4	ACTR1A;ACTR1B;ACTR5;ACTR8
GO_REF:0000117	human	ELAVL	4	ELAVL1;ELAVL2;ELAVL3;ELAVL4
GO_REF:0000117	human	ATG	4	ATG12;ATG14;ATG5;ATG7
GO_REF:0000117	human	RNF	4	RNF14;RNF185;RNF41;RNF5
GO_REF:0000117	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000117	human	LOXL	4	LOXL1;LOXL2;LOXL3;LOXL4
GO_REF:0000117	SCHPO	CDC	4	cdc12;cdc15;cdc2;cdc42
GO_REF:0000024	human	TOMM	4	TOMM20;TOMM22;TOMM40;TOMM70
GO_REF:0000024	human	FBXL	4	FBXL15;FBXL17;FBXL3;FBXL7
GO_REF:0000024	human	RAB	4	RAB24;RAB7A;RAB7B;RAB9A
GO_REF:0000044	human	KCTD	4	KCTD10;KCTD12;KCTD7;KCTD8
GO_REF:0000044	human	EIF	4	EIF2D;EIF3E;EIF3G;EIF5A
GO_REF:0000044	human	RDH	4	RDH11;RDH12;RDH5;RDH8
GO_REF:0000044	human	TOMM	4	TOMM20;TOMM5;TOMM6;TOMM7
GO_REF:0000044	human	USP	4	USP10;USP21;USP25;USP8
GO_REF:0000044	human	ABHD	4	ABHD14A;ABHD18;ABHD2;ABHD8
GO_REF:0000044	POPTR	XGOAT	4	XGOAT1;XGOAT2;XGOAT3;XGOAT4
GO_REF:0000044	human	LMAN	4	LMAN1;LMAN1L;LMAN2;LMAN2L
GO_REF:0000044	human	UPF	4	UPF1;UPF2;UPF3A;UPF3B
GO_REF:0000044	human	COA	4	COA3;COA5;COA6;COA7
GO_REF:0000044	human	SRP	4	SRP19;SRP68;SRP72;SRP9
GO_REF:0000044	yeast	HSP	4	HSP10;HSP104;HSP60;HSP82
GO_REF:0000044	human	CD	4	CD28;CD320;CD33;CD8A
GO_REF:0000003	human	TRIM	4	TRIM13;TRIM16;TRIM17;TRIM5
GO_REF:0000003	DROME	CG	4	CG4592;CG4594;CG4598;CG4860
GO_REF:0000003	ACET2	P	4	P10477;P15329;P38535;P51584
GO_REF:0000033	yeast	SSA	4	SSA1;SSA2;SSA3;SSA4
GO_REF:0000033	SCHPO	ATG	4	atg101;atg13;atg2;atg5
GO_REF:0000033	yeast	COX	4	COX17;COX19;COX20;COX23
GO_REF:0000033	DROME	CG	4	CG4594;CG4598;CG4860;CG6051
GO_REF:0000033	human	ELAVL	4	ELAVL1;ELAVL2;ELAVL3;ELAVL4
GO_REF:0000033	human	LPCAT	4	LPCAT1;LPCAT2;LPCAT3;LPCAT4
GO_REF:0000033	human	THBS	4	THBS1;THBS2;THBS3;THBS4
GO_REF:0000033	human	USP	4	USP10;USP21;USP25;USP8
GO_REF:0000033	human	LMAN	4	LMAN1;LMAN1L;LMAN2;LMAN2L
GO_REF:0000033	human	UPF	4	UPF1;UPF2;UPF3A;UPF3B
GO_REF:0000033	human	BAG	4	BAG1;BAG2;BAG3;BAG6
GO_REF:0000033	human	SRP	4	SRP19;SRP68;SRP72;SRP9
GO_REF:0000033	yeast	HSP	4	HSP10;HSP104;HSP60;HSP82
GO_REF:0000033	human	SMPD	4	SMPD1;SMPD2;SMPD3;SMPD4
GO_REF:0000033	worm	CHE-	4	che-11;che-13;che-2;che-3
GO_REF:0000033	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000033	human	LOXL	4	LOXL1;LOXL2;LOXL3;LOXL4
GO_REF:0000033	human	SEC	4	SEC11A;SEC11C;SEC62;SEC63
GO_REF:0000033	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
GO_REF:0000033	human	PANK	4	PANK1;PANK2;PANK3;PANK4
GO_REF:0000033	human	CASP	4	CASP12;CASP14;CASP3;CASP9
GO_REF:0000033	human	SOCS	4	SOCS1;SOCS3;SOCS4;SOCS5
GO_REF:0000033	human	ACTL	4	ACTL10;ACTL7A;ACTL7B;ACTL8
GO_REF:0000108	human	LRP	4	LRP1;LRP12;LRP4;LRP6
GO_REF:0000108	human	ATG	4	ATG2A;ATG2B;ATG5;ATG9A
GO_REF:0000108	human	ACTL	4	ACTL10;ACTL7A;ACTL7B;ACTL8
GO_REF:0000107	human	ELOVL	4	ELOVL1;ELOVL3;ELOVL4;ELOVL6
GO_REF:0000107	human	LPAR	4	LPAR1;LPAR2;LPAR3;LPAR4
GO_REF:0000107	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
GO_REF:0000107	human	LPCAT	4	LPCAT1;LPCAT2;LPCAT3;LPCAT4
GO_REF:0000107	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000107	human	ATG	4	ATG12;ATG14;ATG5;ATG9A
GO_REF:0000107	human	CASP	4	CASP12;CASP14;CASP3;CASP9
GO_REF:0000107	human	THBS	4	THBS1;THBS2;THBS3;THBS4
PMID:16572729	DROME	HSP	4	Hsp22;Hsp23;Hsp26;Hsp27
PMID:19715580	DROME	HSP	4	Hsp22;Hsp23;Hsp26;Hsp27
PMID:26705243	DROME	HSP	4	Hsp22;Hsp23;Hsp26;Hsp27
file:interpro/panther/PTHR11588/PTHR11588-entries.csv	MISSI	TUA	4	TUA1;TUA2;TUA3;TUA6
PMID:30083810	POPTR	XGOAT	4	XGOAT1;XGOAT2;XGOAT3;XGOAT4
file:projects/P_PUTIDA/deep-research/PSEPK__coenzyme_a_biosynthesis__ppu00770-deep-research-openscientist.md	PSEPK	PP_	4	PP_0922;PP_2325;PP_2998;PP_4452
file:PSEPK/moaA/moaA-bioinformatics/RESULTS.md	PSEPK	PP_	4	PP_1969;PP_2482;PP_2483;PP_4230
PMID:39125965	RAMVA	RVY_	4	RvY_00650;RvY_03757;RvY_15948;RvY_17310
PMID:16823372	SCHPO	CDC	4	cdc12;cdc13;cdc15;cdc25
PMID:16823372	SCHPO	ATG	4	atg101;atg13;atg16;atg5
PMID:23533145	human	ITIH	4	ITIH1;ITIH2;ITIH3;ITIH4
Reactome:R-HSA-6800434	human	HSPA	4	HSPA1A;HSPA1B;HSPA6;HSPA8
GO_REF:0000052	human	DNAJC	4	DNAJC11;DNAJC21;DNAJC7;DNAJC9
GO_REF:0000052	human	CHMP	4	CHMP1A;CHMP1B;CHMP5;CHMP7
GO_REF:0000052	human	CD	4	CD28;CD33;CD47;CD8A
GO_REF:0000052	human	TIMM	4	TIMM17A;TIMM23;TIMM44;TIMM50
GO_REF:0000052	human	NDUFAF	4	NDUFAF1;NDUFAF2;NDUFAF4;NDUFAF8
GO_REF:0000052	human	EIF	4	EIF2D;EIF3E;EIF3G;EIF5A
GO_REF:0000052	human	USP	4	USP10;USP21;USP25;USP8
GO_REF:0000052	human	COQ	4	COQ4;COQ5;COQ8A;COQ8B
GO_REF:0000052	human	STAT	4	STAT1;STAT2;STAT3;STAT4
GO_REF:0000052	human	AGO	4	AGO1;AGO2;AGO3;AGO4
GO_REF:0000052	human	UPF	4	UPF1;UPF2;UPF3A;UPF3B
PMID:25416956	human	PEX	4	PEX11B;PEX19;PEX3;PEX5
PMID:25416956	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
PMID:25416956	human	FBXO	4	FBXO17;FBXO2;FBXO34;FBXO7
PMID:25416956	human	BAG	4	BAG1;BAG2;BAG3;BAG6
PMID:25416956	human	CHMP	4	CHMP1B;CHMP2A;CHMP4A;CHMP5
PMID:32296183	human	NAA	4	NAA10;NAA15;NAA35;NAA40
PMID:32296183	human	NDUFAF	4	NDUFAF1;NDUFAF2;NDUFAF3;NDUFAF4
PMID:32296183	human	KCTD	4	KCTD10;KCTD12;KCTD4;KCTD8
PMID:32296183	human	SCAMP	4	SCAMP1;SCAMP2;SCAMP4;SCAMP5
PMID:32296183	human	TRAPPC	4	TRAPPC1;TRAPPC12;TRAPPC3;TRAPPC5
PMID:32296183	human	NDUFB	4	NDUFB10;NDUFB11;NDUFB7;NDUFB9
PMID:32296183	human	NDUFA	4	NDUFA11;NDUFA12;NDUFA5;NDUFA9
PMID:32296183	human	TIMM	4	TIMM21;TIMM22;TIMM23;TIMM44
PMID:32296183	human	EIF	4	EIF3E;EIF3G;EIF3J;EIF5A
PMID:32296183	human	DNAJB	4	DNAJB1;DNAJB11;DNAJB13;DNAJB4
PMID:32296183	human	ATG	4	ATG12;ATG14;ATG2A;ATG5
PMID:14718574	human	ITIH	4	ITIH1;ITIH2;ITIH3;ITIH4
PMID:20458337	human	HSPA	4	HSPA1A;HSPA1B;HSPA8;HSPA9
PMID:25037231	human	ITIH	4	ITIH1;ITIH2;ITIH4;ITIH5
PMID:28675934	human	ITIH	4	ITIH1;ITIH2;ITIH4;ITIH5
PMID:34800366	human	DNAJC	4	DNAJC11;DNAJC15;DNAJC19;DNAJC30
PMID:28514442	human	PFDN	4	PFDN1;PFDN2;PFDN4;PFDN5
PMID:28514442	human	DNAJC	4	DNAJC1;DNAJC12;DNAJC13;DNAJC14
PMID:28514442	human	FBXO	4	FBXO17;FBXO30;FBXO6;FBXO7
PMID:28514442	human	EMC	4	EMC2;EMC7;EMC8;EMC9
PMID:33961781	human	SRP	4	SRP19;SRP68;SRP72;SRP9
PMID:33961781	human	ALG	4	ALG11;ALG13;ALG6;ALG8
PMID:33961781	human	PFDN	4	PFDN1;PFDN2;PFDN4;PFDN5
PMID:33961781	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
PMID:33961781	human	PEX	4	PEX19;PEX2;PEX3;PEX7
PMID:33961781	human	EIF	4	EIF3E;EIF3G;EIF3J;EIF5A
PMID:33961781	human	STAT	4	STAT1;STAT2;STAT3;STAT5B
PMID:33961781	human	BAG	4	BAG1;BAG2;BAG3;BAG6
PMID:33961781	human	DNAJB	4	DNAJB1;DNAJB11;DNAJB2;DNAJB6
PMID:33961781	human	VPS	4	VPS28;VPS37A;VPS37B;VPS4A
PMID:35271311	human	SRP	4	SRP19;SRP68;SRP72;SRP9
PMID:35271311	human	EMC	4	EMC2;EMC3;EMC8;EMC9
PMID:35271311	human	ATG	4	ATG12;ATG14;ATG2B;ATG5
PMID:40205054	human	NAA	4	NAA10;NAA15;NAA30;NAA35
PMID:40205054	human	PFDN	4	PFDN1;PFDN2;PFDN4;PFDN5
PMID:22658674	human	HSPA	4	HSPA1A;HSPA1B;HSPA8;HSPA9
PMID:22681889	human	HSPA	4	HSPA1A;HSPA1B;HSPA8;HSPA9
PMID:14709540	human	PEX	4	PEX11B;PEX16;PEX19;PEX5
PMID:31515488	human	RNF	4	RNF14;RNF185;RNF41;RNF5
PMID:31515488	human	VPS	4	VPS28;VPS37B;VPS37C;VPS4B
PMID:37398436	human	PEX	4	PEX11B;PEX14;PEX19;PEX3
Reactome:R-HSA-2046106	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL5
Reactome:R-HSA-6799197	human	NDUFS	4	NDUFS2;NDUFS3;NDUFS7;NDUFS8
Reactome:R-HSA-6799202	human	NDUFS	4	NDUFS2;NDUFS3;NDUFS7;NDUFS8
PMID:21423176	human	HSPA	4	HSPA1A;HSPA1B;HSPA8;HSPA9
PMID:26496610	human	CHMP	4	CHMP2A;CHMP2B;CHMP4B;CHMP5
PMID:27499296	human	NDUFAF	4	NDUFAF3;NDUFAF4;NDUFAF5;NDUFAF8
PMID:23382219	human	LRP	4	LRP1;LRP1B;LRP2;LRP8
PMID:15260970	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:18771919	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:19167051	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:19324964	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:19383768	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:19966796	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:22795694	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:25036637	human	BAG	4	BAG1;BAG2;BAG3;BAG6
PMID:28781232	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1606561	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1606682	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912362	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912363	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912364	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912366	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912367	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912368	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-1912406	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-2318752	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-426489	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-4518575	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-5687103	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-8944684	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9011958	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9012203	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9012208	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9038545	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9618392	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9618486	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9624925	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9657791	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9924921	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9925095	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9925158	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9925159	human	AGO	4	AGO1;AGO2;AGO3;AGO4
Reactome:R-HSA-9925324	human	AGO	4	AGO1;AGO2;AGO3;AGO4
PMID:21988832	human	CHMP	4	CHMP1A;CHMP1B;CHMP4C;CHMP5
PMID:29997244	human	PEX	4	PEX11B;PEX14;PEX19;PEX3
PMID:18000879	human	BBS	4	BBS1;BBS2;BBS4;BBS7
Reactome:R-HSA-380073	human	LPAR	4	LPAR1;LPAR2;LPAR3;LPAR5
Reactome:R-HSA-749454	human	LPAR	4	LPAR1;LPAR2;LPAR3;LPAR5
Reactome:R-HSA-749456	human	LPAR	4	LPAR1;LPAR2;LPAR3;LPAR5
PMID:31467278	human	PEX	4	PEX11B;PEX14;PEX19;PEX3
PMID:22072986	human	BBS	4	BBS2;BBS4;BBS7;BBS9
PMID:14520415	worm	BBS-	4	bbs-1;bbs-2;bbs-7;bbs-8
PMID:24255178	human	LRCH	4	LRCH1;LRCH2;LRCH3;LRCH4
Reactome:R-HSA-399944	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
Reactome:R-HSA-399951	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
PMID:17928862	human	CHMP	4	CHMP1A;CHMP1B;CHMP2A;CHMP2B
PMID:18385515	human	CHMP	4	CHMP1B;CHMP2A;CHMP3;CHMP5
PMID:23105106	human	CHMP	4	CHMP1B;CHMP2A;CHMP3;CHMP5
PMID:23051622	human	CHMP	4	CHMP2A;CHMP2B;CHMP3;CHMP4B
PMID:24107264	human	CHMP	4	CHMP2A;CHMP2B;CHMP4A;CHMP4B
PMID:21975012	human	CHMP	4	CHMP2A;CHMP2B;CHMP4A;CHMP4B
Reactome:R-HSA-9865630	human	COX	4	COX11;COX15;COX16;COX20
PMID:30030519	human	COX	4	COX5A;COX5B;COX7B;COX8A
Reactome:R-HSA-163214	human	COX	4	COX5A;COX5B;COX7B;COX8A
Reactome:R-HSA-9709406	human	COX	4	COX5A;COX5B;COX7B;COX8A
Reactome:R-HSA-399947	human	DPYSL	4	DPYSL2;DPYSL3;DPYSL4;DPYSL5
Reactome:R-HSA-5082356	human	HSPA	4	HSPA1A;HSPA1B;HSPA1L;HSPA8
Reactome:R-HSA-5694441	human	TRAPPC	4	TRAPPC1;TRAPPC3;TRAPPC4;TRAPPC5
Reactome:R-HSA-5658231	human	RASA	4	RASA1;RASA2;RASA3;RASA4
Reactome:R-HSA-5658435	human	RASA	4	RASA1;RASA2;RASA3;RASA4
PMID:17182002	human	HSPA	4	HSPA1A;HSPA1B;HSPA1L;HSPA8
PMID:10970790	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL5
PMID:19575253	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL6
Reactome:R-HSA-2046088	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL5
Reactome:R-HSA-2046094	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL5
Reactome:R-HSA-2046105	human	ELOVL	4	ELOVL1;ELOVL2;ELOVL3;ELOVL5
