species	gene	citation	correctness	source	relevance	cited_title	review_notes
PSEPK	pqqD1	file:PSEPK/pqqD1/pqqD1-deep-research-openscientist.md	MISCITED	review-only	MEDIUM	OpenScientist research report for pqqD1 (Q88QV7, P. putida KT2440)	The report retrieves conserved PqqD chaperone literature correctly, but assigns pqqE to PP_0378; PP_0378 is pqqC and KT2440 pqqE is PP_0376. The locus error and unsaved alignment claims were not propagated.
PSEPK	pqqD2	file:PSEPK/pqqD2/pqqD2-deep-research-openscientist.md	MISCITED	review-only	MEDIUM	OpenScientist research report for pqqD2 (Q88JG8, P. putida KT2440)	The report retrieves the conserved PqqD chaperone literature and correct locus neighborhood, but presents Ped-system specialization as the best interpretation without target-specific expression, genetic, or binding evidence. Its exact alignment and STRING-derived quantitative claims are not retained as reproducible artifacts and were not propagated.
PSEPK	pqqF	file:PSEPK/pqqF/pqqF-deep-research-openscientist.md	MISCITED	review-only	MEDIUM	OpenScientist research report for pqqF (Q88QV3, P. putida KT2440)	The report correctly retrieves the M16 metallopeptidase family, KT2440 locus, and PQQ-pathway context, but it incorrectly transfers the two-component Methylorubrum M16B PqqF/PqqG architecture to the 766-residue single-chain KT2440 PqqF. It also treats the unrelated S9-family PP_0375 pqqG candidate as though it were the homologous M16B partner. Those target-specific conclusions were rejected.
PSEPK	ptxD	file:PSEPK/ptxD/ptxD-deep-research-openscientist.md	MISCITED	review-only	MEDIUM	OpenScientist retrieval report for Q88HI1	Useful for retrieving authentic phosphite-dehydrogenase literature, but its Q88HI1 conclusion transfers PtxD activity from other proteins without direct target evidence and misses the direct PP_3376 kguD genetics.
SCHPO	SPBC3H7.04	GO_REF:0000033	MISCITED	GOA	MEDIUM	Annotation inferences using phylogenetic trees	IBA `cytoplasm` propagated from PANTHER family PTHR43595, whose characterized members are cytoplasmic/matrix Fe/Mn-SODs (SOD2, SodA). The mitoribosomal mS42 branch is inside the mitochondrion, not in the cytoplasm — the phylogenetic annotation applies to the SOD side of the family and mis-propagates onto the mitoribosomal subfamily.
SCHPO	cmp7	GO_REF:0000002	MISCITED	GOA	MEDIUM	Gene Ontology annotation through association of InterPro records with GO terms	The IPR005024 (SNF7 family) → GO:0007034 vacuolar transport InterPro2GO mapping is the source of an inappropriate IEA on cmp7. The mapping is correctly applied at the InterPro family level but is not biologically appropriate for cmp7, which acts at the nuclear envelope, not in vacuolar transport. Upstream tracker geneontology/go-annotation#6458.
SPHPI	Q53353	GO_REF:0000118	MISCITED	GOA	LOW	TreeGrafter-generated GO annotations	TreeGrafter propagated carotenoid dioxygenase activity and carotene catabolic process onto LSD-I, a genuine lignostilbene dioxygenase - directly contradicting the gene's own experimental (IDA) annotations.
SPHPI	lsdB	GO_REF:0000118	MISCITED	GOA	LOW	TreeGrafter-generated GO annotations	TreeGrafter propagated carotenoid dioxygenase activity and carotene catabolic process onto LSD-III, a genuine lignostilbene dioxygenase - directly contradicting the gene's own experimental (IDA) annotations. A clean example of automated carotenoid over-annotation of the stilbene-cleaving clade.
human	AACS	Reactome:R-HSA-77111	MISCITED	GOA	MEDIUM	Synthesis of Ketone Bodies	The Reactome pathway record correctly describes mitochondrial ketogenesis, but it does not support assigning GO:0046951 to cytosolic AACS, which consumes acetoacetate. This is bad parent-pathway propagation; replace it with GO:0046952 ketone body catabolic process.
human	AADAC	PMID:11481320	MISCITED	GOA	MEDIUM	Characterization of the rodent genes for arylacetamide deacetylase, a putative microsomal lipase, and evidence for transcriptional regulation.	The abstract is explicitly about mouse and rat genes and proposes, rather than directly measures, a microsomal-lipase role. It is historical support only; later experimental work provides the substrate-level evidence. It cannot directly support the original human TAS lipase tuple, although the annotation-level MODIFY to DAG lipase is justified independently.
human	AADAC	PMID:17936933	MISCITED	GOA	MEDIUM	Human carboxylesterases and their role in xenobiotic and endobiotic metabolism.	This is a review article, not a primary experimental report, and therefore cannot itself justify an IDA evidence code for AADAC. It remains relevant background and is cited by UniProt for function; independent primary and activity-based evidence supports AADAC serine-hydrolase activity.
human	AARS1	PMID:7654687	MISCITED	GOA	HIGH	Human alanyl-tRNA synthetase: conservation in evolution of catalytic core and microhelix recognition.	PubMed identity and abstract verified. The study directly supports human AARS1 tRNA binding, aminoacylation, acceptor-helix recognition, and monomeric state. It does not establish pre-tRNA processing, so its source GO:0008033 use is miscited. The separate cytoplasm TAS annotation is retained with curator deference because only the abstract is available locally and independent localization evidence is concordant.
human	ABCD4	PMID:14533738	MISCITED	GOA	LOW	Targeting of the human adrenoleukodystrophy protein to the peroxisomal membrane by an internal region containing a highly conserved motif.	Study is about ALDP (ABCD1) peroxisomal targeting; cited to support a peroxisomal localization of ABCD4/PMP69 that is now superseded. Does not support full-length ABCD4 being peroxisomal.
human	ABI3BP	PMID:20551380	MISCITED	GOA	MEDIUM	Proteomics characterization of extracellular space components in the human aorta.	Cached title matches and full text is available, and the paper legitimately supports the two cellular-component rows it is cited for. Marked MISCITED for its third use only: the same dataset is also cited as RCA evidence for the molecular function GO:0005201 extracellular matrix structural constituent, which a fractionation-based protein inventory cannot establish. ABI3BP itself appears in the supplementary protein tables rather than the body text, so no ABI3BP-naming quotation is available from this paper; the quotations used here are the methodological statements that define what the dataset can and cannot support.
human	ABI3BP	PMID:27559042	MISCITED	GOA	LOW	Glycoproteomics Reveals Decorin Peptides With Anti-Myostatin Activity in Human Atrial Fibrillation.	Cached title matches and full text is available; the paper properly supports the cellular-component row. Marked MISCITED for its second use: it is also cited as RCA evidence for GO:0005201 extracellular matrix structural constituent, and a glycoproteomic inventory whose actual finding concerns decorin peptides cannot establish a molecular function for ABI3BP. ABI3BP does not appear in the body text, so only the title-level statement is quotable.
human	ABI3BP	PMID:28675934	MISCITED	GOA	LOW	Characterization of the Extracellular Matrix of Normal and Diseased Tissues Using Proteomics.	Cached title matches and full text is available. It legitimately supports the HDA cellular-component row. Marked MISCITED for its use as RCA evidence for the molecular function GO:0005201: a methods and software paper illustrated on two tissue pairs is the weakest of the three citations behind that term and addresses neither ABI3BP nor matrix mechanics.
human	ABRA	PMID:20940261	MISCITED	review-only	LOW	Costars, a Dictyostelium protein similar to the C-terminal domain of STARS, regulates the actin cytoskeleton and motility.	Cached title matches and the paper is sound; the problem is the use made of it. The affinage record cites it for the claim that ABRA's actin-cytoskeleton-regulating activity is conserved through the C-terminal Costars domain. The rescue construct is the small standalone Costars protein, whose human counterpart is ABRACL (Q9P1F3, 81 aa) - and ABRACL and ABRA are the only two reviewed human proteins carrying Pfam PF14705, with ABRACL being essentially the domain alone. A phenotype for the domain-only protein is not a phenotype for ABRA, so nothing from this paper is used to support an ABRA annotation.
human	ABRACL	PMID:37759737	MISCITED	review-only	MEDIUM	Characterization of the Abracl-Expressing Cell Populations in the Embryonic Mammalian Telencephalon.	Cached title matches and the paper itself is sound - a careful expression and co-labelling study of mouse and cat embryonic forebrain. It is marked MISCITED for the use made of it elsewhere, not for anything it does wrong: UniProt cites it as the evidence for Cell projection, cilium on human ABRACL, and it contains no such observation. It reports somebody else's proteomics result in its Discussion and, in the same paragraph, data that argue against the protein being in the ciliated ventricular zone. It is also a mouse and cat study, so even a genuine localisation finding would need an ISS-style transfer rather than a direct human location. Note on the enum: MISCITED is defined as 'right paper, but it does not support the claim', which strictly describes how a citation is used rather than a property of the paper. It is applied here to record that this reference is cited elsewhere in GOA for something it does not show; within this document the paper is cited only for what it does report. Flagged because a reader aggregating correctness values could otherwise read it as a defect in this review's own use of the reference.
human	ACAA1	PMID:18281296	MISCITED	GOA	LOW	Contribution of peroxisome-specific isoform of Lon protease in sorting PTS1 proteins to peroxisomes.	"Abstract-only in cache. Cited by GOA as a ""protein binding"" IPI for ACAA1, but the paper's finding is essentially negative (pLon does not process thiolase); the bare protein-binding annotation is uninformative/over-annotated."
human	ACADVL	PMID:16020546	MISCITED	GOA	LOW	Human acyl-CoA dehydrogenase-9 plays a novel role in the mitochondrial beta-oxidation of unsaturated fatty acids.	This is the ACAD9 (Ensenauer 2005) paper; its membrane-fractionation data concern ACAD-9, not VLCAD. The mitochondrial-membrane term it is cited for is nonetheless correct for VLCAD on independent grounds, so the annotation was kept as non-core rather than removed.
human	ACADVL	PMID:18063578	MISCITED	GOA	LOW	The layered structure of human mitochondrial DNA nucleoids.	Supports co-purification with nucleoid preparations but the paper itself states these metabolic proteins do not cross-link mtDNA; cited for a nucleoid-localization annotation that is best treated as an over-annotation.
human	ACADVL	PMID:21492153	MISCITED	GOA	LOW	Analysis of proteomic changes induced upon cellular differentiation of the human intestinal cell line Caco-2.	PubMed-verified screen, but it supports only a correlative expression change; cited for an epithelial-cell-differentiation IEP that over-states VLCAD's role.
human	ACAN	PMID:1569188	MISCITED	GOA	HIGH	The structure of aggrecan fragments in human synovial fluid. Evidence for the involvement in osteoarthritis of a novel proteinase which cleaves the Glu 373-Ala 374 bond of the interglobular domain.	The paper itself is sound and important - it is the study that defined the aggrecanase cleavage site. It is miscited twice in GOA. It carries an NAS annotation to skeletal system development, which it says nothing about, and an NAS annotation to proteolysis in which aggrecan, the substrate, is recorded as a participant. The extracellular matrix structural constituent TAS from the same paper is defensible but too generic.
human	ACAT1	PMID:32944968	MISCITED	GOA	NONE	Cholesterol 25-Hydroxylase inhibits SARS-CoV-2 and other coronaviruses by depleting membrane cholesterol.	"The ""ACAT"" in this paper is the ER cholesterol-esterifying enzyme SOAT1/SOAT2 (EC 2.3.1.26), not the mitochondrial acetoacetyl-CoA thiolase P24752 (EC 2.3.1.9). The cholesterol O-acyltransferase (GO:0034736) and endoplasmic reticulum (GO:0005783) annotations placed on P24752 from this paper are wrong-gene mis-attributions caused by the ACAT1/SOAT1 name collision; both are recommended for REMOVE."
human	ACBD3	file:human/ACBD3/ACBD3-deep-research-affinage.md	MISCITED	review-only	MEDIUM	Affinage mechanistic annotation for ACBD3 (human)	"Gates passed with pairwise = win, and its breadth is genuinely useful - it synthesises 30+ primary papers, though what this review took to be its most valuable contribution - the absence of acyl-CoA - turned out to be its most damaging. But it states that PI4KB is recruited 'through its GOLD domain', and that is wrong: UniProt is explicit that the Q domain (241-308) binds PI4KB and TBC1D22A/B while the GOLD domain (384-526) binds picornaviral 3A proteins. An earlier draft of this review propagated that error into seven places by quoting the provider verbatim as supporting_text instead of checking it against UniProt. Marked MISCITED for that specific claim; the quote has been removed from every supported_by block. The lesson is the campaign's own rule applied to itself - a provider sentence is a lead, not evidence, even when the record is otherwise strong. Follow-up: the other domain claim in the same paragraph - the MWT374-376 motif binding giantin and golgin-45, and the two-step SCFD1/SEC22B-then-golgins mechanism - was checked against its cited primary paper (PMID:38134218) in a later round and is substantively correct. So the record's error rate on domain assignments is real but not uniform; the defect on the MWT claim was this review citing the provider narrative rather than the primary paper, not the claim itself. MISCITED is retained for the GOLD/PI4KB sentence specifically. Second follow-up, and the more damaging one: this review repeatedly cited the record's silence on acyl-CoA - ""synthesises 30+ primary papers and never mentions acyl-CoA once"" - as support for calling GO:0000062 an over-annotation. That was a misuse of the source and it reached the wrong answer. ACBD3 acyl-CoA binding is reported (PMID:26290611) and the ACB domain has a gene-specific SREBP1 function (PMID:23166793); the record simply does not cover them. The campaign's own rule says an empty or silent record is not evidence that literature is absent, and I applied the rule to other people's records while breaking it with this one. Its coverage claim should be treated as a lead, never as a negative result."
human	ACOX1	PMID:23209302	MISCITED	GOA	LOW	KIF14 negatively regulates Rap1a-Radil signaling during breast cancer progression.	Paper characterizes the Radil PDZ domain and its KIF14 ligand; the cached full text does not establish an ACOX1 PDZ-binding function. The GO:0030165 IDA annotation to ACOX1 is not verifiable from this reference (marked UNDECIDED rather than removed as it is an experimental annotation).
human	ACRV1	PMID:21252238	MISCITED	GOA	LOW	TDP-43 is a transcriptional repressor: the testis-specific mouse acrv1 gene is a TDP-43 target in vivo.	The identifier and title are correct and the paper is a solid study, but it is the wrong support for ACRV1 involved_in spermatogenesis. It establishes that the mouse acrv1 gene is a TDP-43 target whose transcription is restricted to round spermatids; it assays no property of the ACRV1 protein. Cached copy is abstract-only, but the abstract is unambiguous about the paper's subject. Flagged MISCITED for the specific annotation it supports, not as a criticism of the work.
human	ACTA2	PMID:30476341	MISCITED	review-only	LOW	All-trans Retinoic Acid Disrupts Development in Ex Vivo Cultured Fetal Rat Testes. II: Modulation of Mono-(2-ethylhexyl) Phthalate Toxicity.	The rat Acta2 IDA behind ACTA2's basement membrane row. A fetal rat testis toxicology study in which alpha-SMA stains the peritubular myoid cell layer lying against the seminiferous tubule basement membrane. Adjacency in a micrograph, not localisation of the protein to an extracellular matrix structure; marked MISCITED with respect to the GO:0005604 claim specifically, not as a criticism of the paper.
human	ACTA2	PMID:30645697	MISCITED	review-only	LOW	Renogenic characterization and in vitro differentiation of rat amniotic fluid stem cells into renal proximal tubular- and juxtaglomerular-like cells.	The rat Acta2 IEP behind ACTA2's juxtaglomerular apparatus development row. The experiment is an in vitro differentiation of amniotic fluid stem cells into juxtaglomerular-LIKE cells, in which alpha-SMA is a readout of the differentiated phenotype. It does not evidence involvement in development of the juxtaglomerular apparatus.
human	ACTG2	PMID:10633868	MISCITED	review-only	LOW	Antisense oligodeoxynucleotide complementary to smooth muscle alpha-actin inhibits endothelial-mesenchymal transformation during chick cardiogenesis.	Sole source of six ACTG2 ISS rows, via chicken ACTA2 (P08023). The paper is about alpha-smooth-muscle actin in chick atrioventricular cushion endothelial-to-mesenchymal transformation. It is correctly cited for chicken ACTA2 and correctly used for human ACTA2; it is miscited as evidence about human ACTG2, whose chicken orthologue (P63270) was available and unused. Its GO:0010628 IDA is separately questioned. Abstract only, so no claim here rests on unread full text.
human	ACTG2	PMID:8006065	MISCITED	review-only	MEDIUM	Actin isoform compartments in chicken gizzard smooth muscle cells.	Genuinely relevant biology - chicken gizzard is enteric smooth muscle and the antibody used was pan-muscle-actin, so gamma-enteric actin is among what was labelled - but the GO term derived from it is wrong. The paper says labelling was found around the myosin filaments, which cannot support located_in GO:0032982 myosin filament. Basis for the MODIFY to GO:0030485. Abstract only.
human	ACTG2	PMID:21294755	MISCITED	review-only	LOW	Leptin and acetaldehyde synergistically promotes αSMA expression in hepatic stellate cells by an interleukin 6-dependent mechanism.	Source of rat Actg2's IEP annotations for GO:0071354 and GO:1905641, propagated to human ACTG2. The measured protein is alpha-SMA in hepatic stellate cells, and the reference annotates six entities as a marker panel with GO:1905641 on all six. Miscited as evidence about enteric gamma-actin. Abstract only, so the possible rat-side symbol conflation is raised as a question rather than asserted.
human	ACTG2	PMID:28320086	MISCITED	review-only	LOW	Antifibrotic effect of diethylcarbamazine combined with hesperidin against ethanol induced liver fibrosis in rats.	Source of rat Actg2's IEP annotation for GO:0045471. A pharmacology study whose actin readout is a-SMA in liver. Same conflation concern as PMID:21294755. Abstract only.
human	ACTL7A	PMID:10373328	MISCITED	GOA	MEDIUM	Cloning, mapping, and expression of two novel actin genes, actin-like-7A (ACTL7A) and actin-like-7B (ACTL7B), from the familial dysautonomia candidate region on 9q31.	The paper itself is sound and correctly identified: it is the original cloning, mapping and expression description of ACTL7A and ACTL7B. It is miscited as the basis of the TAS annotations GO:0005200 structural constituent of cytoskeleton and GO:0005856 cytoskeleton. It reports cDNA selection, direct genomic sequencing, linkage mapping in mouse and Northern expression analysis, with no biochemical, structural, localisation or phenotypic experiment; the only structural statement is the homology-based label actin-like. Those two GO terms therefore rest on a gene name rather than on data, and GO_REF:0000108 then derives GO:0007010 from one of them.
human	ACTR10	Reactome:R-HSA-6798751	MISCITED	GOA	LOW	Exocytosis of azurophil granule lumen proteins	The reaction itself is sound; ACTR10's inclusion in its azurophil granule lumen protein set is not. ACTR10 has no signal peptide or transmembrane segment and no route to a granule lumen; it is also the only one of the 11 canonical dynactin subunits annotated to azurophil granule lumen at all, and the only one carrying any annotation from Reactome's Neutrophil degranulation route.
human	ACTR10	Reactome:R-HSA-6800434	MISCITED	GOA	LOW	Exocytosis of ficolin-rich granule lumen proteins	Same issue as R-HSA-6798751: a proteomics-derived granule protein set that places a cytosolic dynactin subunit in a secretory granule lumen and in the extracellular region.
human	ACTR1B	Reactome:R-HSA-6798748	MISCITED	GOA	LOW	Exocytosis of secretory granule lumen proteins	Exocytosis of secretory granule lumen proteins. The reaction is real; ACTR1B's participation in it is not. Membership traces to neutrophil granule-fraction proteomics and places a cytosolic, signal-peptide-less, dynactin-bound protein in a granule lumen and then in the extracellular region. ACTR1A, in the same complex at fifteen times the abundance, is absent from the pathway, which is the decisive argument that this is fractionation carryover.
human	ACTR1B	Reactome:R-HSA-6800434	MISCITED	GOA	LOW	Exocytosis of ficolin-rich granule lumen proteins	Exocytosis of ficolin-rich granule lumen proteins; same problem and same reasoning as R-HSA-6798748.
human	ACTR5	PMID:25016522	MISCITED	GOA	LOW	The mammalian INO80 chromatin remodeling complex is required for replication stress recovery.	"Full text cached and checked: it contains zero occurrences of ""Arp5"" or ""ACTR5""; the knockdowns were of INO80 and ARP8. ComplexPortal cites it as IMP for two ACTR5 rows via complex-level projection. Marked MISCITED for this gene in the strict sense that the paper does not support an ARP5-specific inference, not because the complex-level claim is wrong."
human	ACTR8	GO_REF:0000107	MISCITED	GOA	HIGH	Automatic transfer of experimentally verified manual GO annotation data to orthologs using Ensembl Compara	The method reference is correctly cited, but its precondition is not met for the five rows that use it here. It promises transfer of experimentally verified manual annotation; the mouse Actr8 source annotations are ComplexPortal projections of a complex-level phenotype onto all 15 INO80 subunits, from an Ino80 conditional knockout in which Actr8 was not manipulated. Verified by QuickGO reference=PMID:23979016 returning 80 annotations = 16 entities x 5 terms. Flagged MISCITED because the pipeline treats a projected annotation as gene-specific experimental evidence.
human	ACTR8	PMID:23979016	MISCITED	review-only	MEDIUM	The mINO80 chromatin remodeling complex is required for efficient telomere replication and maintenance of genome stability.	A sound paper, cited for the wrong subject. Its experiment is an Ino80 conditional knockout, and Actr8 is not named in the abstract; yet via a ComplexPortal projection to all 15 subunits and then Ensembl Compara it is the sole basis for five human ACTR8 rows, including regulation of embryonic development and positive regulation of telomere maintenance in response to DNA damage. MISCITED describes the use of the reference, not its quality. Cached abstract-only, which is sufficient because the abstract states the knockout target.
human	ADAMTSL3	PMID:18474779	MISCITED	review-only	LOW	Antiangiogenic characteristics of astrocytes from optic nerve heads with primary open-angle glaucoma.	Cited by the affinage deep-research record as showing an antiangiogenic role for ADAMTSL-3. It shows no such thing: ADAMTSL-3 is one of two transcripts raised in glaucoma astrocytes, and the coculture tube-formation assay compares whole astrocyte populations with no ADAMTSL3 gain or loss of function. Correlation presented as function.
human	ADGRA1	PMID:17212699	MISCITED	GOA	MEDIUM	The evolutionary history and tissue mapping of GPR123: specific CNS expression pattern predominantly in thalamic nuclei and regions containing large pyramidal cells.	Genuine, correctly identified paper, and its expression mapping and its prediction of a C-terminal PDZ-binding motif are used here as sound. MISCITED refers specifically to the two GOA rows that rest on it: GO:0004930 and GO:0007165 by NAS. The paper is an in-situ hybridisation and real-time PCR survey containing no functional or biochemical assay, and its only functional statement is hedged as what GPR123 'may' do.
human	ADGRA1	PMID:12565841	MISCITED	GOA	MEDIUM	There exist at least 30 human G-protein-coupled receptors with long Ser/Thr-rich N-termini.	Correctly identified, and the source of the durable structural fact that GPR123 alone in the family lacks a GPS domain. MISCITED for the GO:0004930 NAS row that cites it: the paper is a search of human genome databases followed by phylogenetic clustering, with no functional experiment on any of the six receptors it reports.
human	ADGRA1	PMID:15203201	MISCITED	GOA	LOW	The human and mouse repertoire of the adhesion family of G-protein-coupled receptors.	A repertoire catalogue with EST expression charts and no perturbation of any receptor. Querying QuickGO by reference shows it carries 78 annotations across 27 distinct entities - GO:0016020 on 27, GO:0007186 on 26, GO:0004930 on 25, all TAS, all assigned by GDB - i.e. it annotates essentially the entire human adhesion-GPCR family with the same three terms. The terms happen to be defensible for ADGRA1 on other evidence, but this reference does not support them for any individual gene.
human	ADGRA2	PMID:15203201	MISCITED	GOA	LOW	The human and mouse repertoire of the adhesion family of G-protein-coupled receptors.	PubMed-verified and a sound paper, but miscited as TAS support for ADGRA2's molecular function. Its abstract describes a genome-mining, phylogenetics and EST-expression survey and reports no functional assay on any receptor; the record is abstract-only, so this review makes no claim about its full text. GDB used it to place one generic triple (GO:0016020, GO:0007186, GO:0004930) on 27 human adhesion-GPCR entities, including the pseudogenes ADGRE4P and ADGRF2P - a bulk classification import rather than a traceable author statement about this gene.
human	ADIPOQ	PMID:10095105	MISCITED	GOA	LOW	Organization of the gene for gelatin-binding protein (GBP28).	A gene-structure paper (FISH mapping to 3q27, three exons, no TATA box) cited as TAS for GO:0006091 generation of precursor metabolites and energy. It performs no metabolic experiment. This is its only annotation in all of GOA.
human	ADIPOQ	PMID:17327472	MISCITED	GOA	MEDIUM	Effects of adiponectin on the renal sympathetic nerve activity and blood pressure in rats.	Supports GO:0045776 negative regulation of blood pressure directly. It is flagged because it also carries GO:0010906 regulation of glucose metabolic process, which the abstract mentions only as background, and GO:0050805 negative regulation of synaptic transmission, whereas the measurement is renal sympathetic nerve activity. Full text was not available, so the curator's reading of the glucose row is not overruled.
human	ADIPOQ	PMID:19109165	MISCITED	review-only	LOW	The peroxisome proliferator-activated receptor gamma agonist rosiglitazone ameliorates murine lupus by induction of adiponectin.	The source of mouse Adipoq's GO:0071466 IDA, which reaches human ADIPOQ by ISS and IEA. The paper shows that rosiglitazone INDUCES adiponectin; adiponectin is the output of the xenobiotic response, not a participant in it.
human	ADIPOQ	PMID:19855092	MISCITED	GOA	HIGH	Sialic acid modification of adiponectin is not required for multimerization or secretion but determines half-life in circulation.	The identifier resolves to the intended paper and the paper is sound. It is recorded as MISCITED because the annotation it supports, GO:0033691 sialic acid binding, inverts the paper's finding: the study characterises adiponectin as the CARRIER of sialylated O-linked glycans, not as a sialic-acid-binding protein. UniProt encodes the same reference correctly, as CARBOHYD features at Thr-21/Thr-22 and a PTM comment.
human	ADIPOQ	PMID:28675934	MISCITED	GOA	MEDIUM	Characterization of the Extracellular Matrix of Normal and Diseased Tissues Using Proteomics.	A legitimate ECM proteomics survey, correctly supporting the GO:0031012 HDA detection row. Flagged because the same reference also drives a bulk RCA block assigning GO:0005201 extracellular matrix structural constituent to 41 entities, a structural claim the proteomics cannot support for a circulating hormone.
human	ADIPOQ	PMID:36399478	MISCITED	GOA	LOW	MatrisomeDB 2.0: 2023 updates to the ECM-protein knowledge database.	MatrisomeDB 2.0 is a database-update paper, not a study of adiponectin. In GOA it supplies GO:0140149 to 272 distinct entities, i.e. it is a bulk import rather than an author statement about this gene.
human	ADNP	PMID:11438390	MISCITED	review-only	LOW	Vasoactive intestinal peptide and related molecules induce nitrite accumulation in the extracellular milieu of rat cerebral cortical cultures.	Correctly identified and a sound paper, but it is titled and framed for vasoactive intestinal peptide and doses cultures with exogenous VIP/SNV/NAP. Using it to annotate the ADNP gene product with cGMP metabolic process and regulation of nitric oxide metabolic process attributes a peptide's pharmacology to the parent protein.
human	ADNP	PMID:12212775	MISCITED	review-only	LOW	NAP accelerates the performance of normal rats in the water maze.	A behavioural study of inhaled NAP peptide in normal rats. It supports nothing about the ADNP protein's participation in memory.
human	ADNP	PMID:14706557	MISCITED	review-only	LOW	The neuroprotective peptide NAP inhibits the aggregation of the beta-amyloid peptide.	Measures the NAP peptide against beta-amyloid aggregation. Its abstract reports biotin-NAP binding Abeta and mentions no copper, yet it is the sole support for rat Adnp copper ion binding and peptide binding, both of which reach human by Compara.
human	ADNP	PMID:15314252	MISCITED	review-only	LOW	NAP mechanisms of neuroprotection.	A NAP-centred article whose new datum is p53 as an intracellular target of the peptide. It is the sole support for a negative-regulation-of-gene-expression annotation on the ADNP protein.
human	ADNP	PMID:15800376	MISCITED	review-only	LOW	Activity-dependent neurotrophic factor-9 and NAP promote neurite outgrowth in rat hippocampal and cortical cultures.	Femtomolar ADNF-9 and NAP peptides in rat cultures. ADNF-9 is not an ADNP fragment at all - it is the active site of activity-dependent neurotrophic factor.
human	ADNP	PMID:15963648	MISCITED	review-only	LOW	Synergistic effects of the peptide fragment D-NAPVSIPQ on ethanol inhibition of synaptic plasticity and NMDA receptors in rat hippocampus.	Uses D-NAPVSIPQ, the all-D-amino-acid enantiomer, which no gene can encode, and reports that it had no effect on LTP on its own. It is the sole support for rat Adnp negative regulation of synaptic transmission.
human	ADNP	PMID:16023261	MISCITED	review-only	LOW	Neuropeptide receptor transcripts are expressed in the rat clitoris and oscillate during the estrus cycle in the rat vagina.	An RT-PCR survey of neuropeptide receptor transcripts in rat vagina and clitoris. ADNP mRNA oscillating with the rat estrus cycle is the sole support for an estrous cycle annotation that reaches human, a species without an estrous cycle.
human	ADNP	PMID:16893427	MISCITED	review-only	MEDIUM	Peptide neuroprotection through specific interaction with brain tubulin.	A well-executed identification of betaIII-tubulin as the NAP peptide's binding partner. It is cited for beta-tubulin binding by the full-length ADNP protein, which it does not measure; RGD's reciprocal annotations from the same paper put peptide binding on the tubulins with Adnp as the WITH/FROM partner.
human	ADNP	PMID:16938277	MISCITED	review-only	LOW	Neuroprotective effect of the peptides ADNF-9 and NAP on hypoxic-ischemic brain injury in neonatal rats.	Intraperitoneal ADNF-9 and NAP in neonatal rats after hypoxia-ischaemia. Sole support for two human IEA rows about nitric oxide homeostasis and neuronal apoptosis.
human	ADNP	PMID:19047645	MISCITED	review-only	MEDIUM	Ethanol inhibits neuronal differentiation by disrupting activity-dependent neuroprotective protein signaling.	Cited for positive regulation of axon extension. The agent is the NAP peptide; the only gene silenced is Fyn kinase, not ADNP.
human	ADNP	file:human/ADNP/ADNP-deep-research-affinage.md	MISCITED	review-only	MEDIUM	Affinage mechanistic annotation for ADNP (human)	Read in full and used as a lead-generator, not as evidence; no supporting_text in this review is taken from it. Two defects worth recording. Its own grounding block states the complex as 'ChAHP complex (ADNP-CHD4-BRG1)' - ChAHP is ADNP-CHD4-HP1, and BRG1/SMARCA4 belongs to a separate reported SWI/SNF association. And although gates_passed is True with 28 citations and faith_pct 100.0, PMID:29795351 (the ChAHP-defining Nature paper, and the source of ADNP's only human experimental GO annotation), PMID:31491387 and both 2026 Mol Cell papers are absent from its citation list - a recall miss, which a passing gate does not measure.
human	ADO	GO_REF:0000033	MISCITED	GOA	LOW	Annotation inferences using phylogenetic trees	PANTHER/PAN-GO phylogenetic (IBA) inference of mitochondrial localization. This contradicts the curated cytosolic localization in UniProt/Reactome and the known cytosolic substrates of ADO; treated as an over-annotation.
human	ADO	PMID:34800366	MISCITED	GOA	LOW	Quantitative high-confidence human mitochondrial proteome and its dynamics in cellular context.	High-throughput mitochondrial proteome dataset providing the HTP mitochondrion annotation. ADO is not discussed in the cached full text (listed only in supplementary data); the mitochondrial signal conflicts with the curated cytosolic localization and is most likely co-purification.
human	ADPRS	PMID:24191052	MISCITED	review-only	HIGH	ADP-ribosyl-acceptor hydrolase 3 regulates poly (ADP-ribose) degradation and cell death during oxidative stress.	The mouse Arh3 oxidative-stress paper. Correctly cited by MGI, but it is the origin of two term-choice defects that propagate into human ADPRS: the stressor is hydrogen peroxide throughout, yet the annotation made from it is GO:0071451 cellular response to SUPEROXIDE; and the death process it characterises is parthanatos (PARP1 - free PAR - AIF release), which is annotated as regulation of necroptosis. Flagged MISCITED for those uses; the experiments themselves are not in question.
human	ADPRS	PMID:33769608	MISCITED	GOA	HIGH	Molecular Tools for the Study of ADP-Ribosylation: A Unified and Versatile Method to Synthesise Native Mono-ADP-Ribosylated Peptides.	PubMed-verified, full text read. The paper is correctly cited as evidence that ARH3 hydrolyses mono-ADP-ribosyl-serine and -threonine linkages, but GOA uses it to support GO:0004649 poly(ADP-ribose) glycohydrolase activity and the study contains no poly(ADP-ribose) experiment of any kind - only synthetic MARylated Ser/Thr/Cys peptides. Flagged MISCITED for that specific row; the paper itself is sound and is the sole evidence for the proposed threonine-hydrolase term.
