# UniProt allergen registry (keyword KW-0020, reviewed); release 2026_02; query: keyword:KW-0020 AND reviewed:true
accession	entry_name	species_code	gene	organism	taxon_id	who_iuis_name	allergen_molecule	allergome_id
P01005	IOVO_CHICK	CHICK		Gallus gallus (Chicken)	9031	Gal d 1	Gal d 1	3291
P01012	OVAL_CHICK	CHICK	SERPINB14	Gallus gallus (Chicken)	9031	Gal d 2	Gal d 2	3292
P02789	TRFE_CHICK	CHICK		Gallus gallus (Chicken)	9031	Gal d 3	Gal d 3	3293
P00698	LYSC_CHICK	CHICK	LYZ	Gallus gallus (Chicken)	9031	Gal d 4	Gal d 4	3294
P19121	ALBU_CHICK	CHICK	ALB	Gallus gallus (Chicken)	9031	Gal d 5	Gal d 5	3295
P10184	IOV7_CHICK	CHICK	SPINK5	Gallus gallus (Chicken)	9031	Gal d OIH	Gal d OIH	10163
P87498	VIT1_CHICK	CHICK	VTG1	Gallus gallus (Chicken)	9031			8172
A0A075DVI9	TAL1_GIBIN	GIBIN		Gibberella intermedia (Bulb rot disease fungus) (Fusarium proliferatum)	948311	Fus p 4.0101	Fus p 4	11422
P24337	HPSE_SOYBN	SOYBN		Glycine max (Soybean) (Glycine hispida)	3847	Gly m 1	Gly m 1	368
O65809	PROF1_SOYBN	SOYBN	PRO1	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 3.0101	Gly m 3	372
O65810	PROF2_SOYBN	SOYBN	PRO2	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 3.0102	Gly m 3	372
P26987	SAM22_SOYBN	SOYBN	PR-10	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 4	Gly m 4	3297
P11827	GLCAP_SOYBN	SOYBN	CG-1	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 5	Gly m 5	5816
P25974	GLCB1_SOYBN	SOYBN	CG-4	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 5	Gly m 5	5816
P0DO16	GLCA1_SOYBN	SOYBN	CG-3	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 5	Gly m 5	
P0DO15	GLCA2_SOYBN	SOYBN	CG-2	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 5	Gly m 5	
F7J077	GLCB2_SOYBN	SOYBN	CG-4	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 5	Gly m 5	5816
P82947	ALL50_SOYBN	SOYBN		Glycine max (Soybean) (Glycine hispida)	3847	Gly m 50kD	Gly m 50kD	5860
P02858	GLYG4_SOYBN	SOYBN	GY4	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 6	Gly m 6	2541
P04347	GLYG5_SOYBN	SOYBN	GY5	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 6	Gly m 6	5821
P04776	GLYG1_SOYBN	SOYBN	GY1	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 6	Gly m 6	1142
P11828	GLYG3_SOYBN	SOYBN	GY3	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 6	Gly m 6	5821
P04405	GLYG2_SOYBN	SOYBN	GY2	Glycine max (Soybean) (Glycine hispida)	3847	Gly m 6	Gly m 6	1143
Q9U5P7	ALL21_GLYDO	GLYDO		Glycyphagus domesticus (House itch mite) (Acarus domesticus)	105145	Gly d 2.01	Gly d 2	365
Q9NFQ4	ALL22_GLYDO	GLYDO		Glycyphagus domesticus (House itch mite) (Acarus domesticus)	105145	Gly d 2.02	Gly d 2	365
Q9GZ71	TPM_HALDV	HALDV		Haliotis diversicolor (Abalone) (Sulculus diversicolor)	36095	Hal d 1	Hal d 1	822
O81982	PROF_HELAN	HELAN		Helianthus annuus (Common sunflower)	4232	Hel a 2	Hel a 2	3307
Q9SCG9	PLY1_HESAR	HESAR		Hesperocyparis arizonica (Arizona cypress) (Cupressus arizonica)	49011	Cup a 1	Cup a 1	256
Q9FY35	PRR3_HESAR	HESAR		Hesperocyparis arizonica (Arizona cypress) (Cupressus arizonica)	49011	Cup a 3	Cup a 3	898
A0T2M3	POLC4_HESAR	HESAR		Hesperocyparis arizonica (Arizona cypress) (Cupressus arizonica)	49011	Cup a 4	Cup a 4	3552
P15252	REF_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 1	Hev b 1	3310
Q949H3	CHI1_HEVBR	HEVBR	CHI-L1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 11	Hev b 11	384
W0IWL0	CHI2_HEVBR	HEVBR	CHI-L2	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 11	Hev b 11	
Q8GUD7	CHIL_HEVBR	HEVBR	LACIC	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 11	Hev b 11	384
Q7Y1X1	EST_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 13	Hev b 13	3312
P52407	E13B_HEVBR	HEVBR	HGN1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 2	Hev b 2	3313
O82803	SRPP_HEVBR	HEVBR	SRPP	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 3	Hev b 3	3314
Q39967	ALL5_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 5	Hev b 5	3316
O65812	PROF1_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0101	Hev b 8	397
Q9STB6	PROF2_HEVBR	HEVBR	PRO2	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0102	Hev b 8	397
Q9M7N0	PROF3_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0201	Hev b 8	397
Q9M7M9	PROF4_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0202	Hev b 8	397
Q9M7M8	PROF5_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0203	Hev b 8	397
Q9LEI8	PROF6_HEVBR	HEVBR		Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 8.0204	Hev b 8	397
Q9LEI9	ENO2_HEVBR	HEVBR	ENO2	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 9	Hev b 9	3317
Q9LEJ0	ENO1_HEVBR	HEVBR	ENO1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981	Hev b 9	Hev b 9	3317
P02877	HEVE_HEVBR	HEVBR	HEV1	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	3981			390
P43216	MPAH1_HOLLA	HOLLA		Holcus lanatus (Yorkshire-fog) (Nothoholcus lanatus)	29679	Hol l 1	Hol l 1	405
O44119	TPM_HOMAM	HOMAM	TM1	Homarus americanus (American lobster)	6706	Hom a 1	Hom a 1	3320
O43290	SNUT1_HUMAN	HUMAN	SART1	Homo sapiens (Human)	9606	Hom s 1	Hom s 1	3322
Q13765	NACA_HUMAN	HUMAN	NACA	Homo sapiens (Human)	9606	Hom s 2	Hom s 2	3323
Q9BQE9	BCL7B_HUMAN	HUMAN	BCL7B	Homo sapiens (Human)	9606	Hom s 3	Hom s 3	3324
Q9BPX6	MICU1_HUMAN	HUMAN	MICU1	Homo sapiens (Human)	9606	Hom s 4	Hom s 4	3325
P02538	K2C6A_HUMAN	HUMAN	KRT6A	Homo sapiens (Human)	9606	Hom s 5	Hom s 5	3326
P10599	THIO_HUMAN	HUMAN	TXN	Homo sapiens (Human)	9606	Hom s Trx	Hom s Trx	3543
P16968	IAA1_HORVU	HORVU	IAM1	Hordeum vulgare (Barley)	4513	Hor v 1	Hor v 1	3328
P32936	IAAB_HORVU	HORVU	IAT2	Hordeum vulgare (Barley)	4513			418
Q9U6R6	PRCLN_HOSPR	HOSPR		Hospesneotomae protracta (Western bloodsucking conenose) (Triatoma protracta)	72493	Tria p 1	Tria p 1	3509
I1SKR9	ALL3_HUMJA	HUMJA		Humulus japonicus (Japanese hop)	3485	Hum j 3	Hum j 3	1239
A0A1L6K371	JUGN4_JUGNI	JUGNI		Juglans nigra (Black walnut) (Wallia nigra)	16719	Jug n 4	Jug n 4	11992
P93198	2SS_JUGRE	JUGRE		Juglans regia (English walnut)	51240	Jug r 1.0101	Jug r 1	3334
Q9SEW4	VCL2_JUGRE	JUGRE		Juglans regia (English walnut)	51240	Jug r 2.0101	Jug r 2	3335
Q2TPW5	JUGR4_JUGRE	JUGRE		Juglans regia (English walnut)	51240	Jug r 4	Jug r 4	1105
A0A2I4E5L6	VCL6_JUGRE	JUGRE	LOC108986502	Juglans regia (English walnut)	51240	Jug r 6.0101	Jug r 6	12005
P81294	PLY1_JUNAS	JUNAS		Juniperus ashei (Ozark white cedar)	13101	Jun a 1	Jun a 1	3337
Q9FY19	PGLR2_JUNAS	JUNAS	JNA2	Juniperus ashei (Ozark white cedar)	13101	Jun a 2	Jun a 2	3339
P81295	PRR3_JUNAS	JUNAS		Juniperus ashei (Ozark white cedar)	13101	Jun a 3.0101	Jun a 3	3340
C0HLQ0	CMLN_JUNAS	JUNAS		Juniperus ashei (Ozark white cedar)	13101	Jun a 7	Jun a 7	
O64943	POLC2_JUNOX	JUNOX		Juniperus oxycedrus (Prickly juniper)	69008	Jun o 2	Jun o 2	3341
Q9LLT1	PLY1_JUNVI	JUNVI		Juniperus virginiana (Eastern redcedar) (Sabina virginiana)	39584	Jun v 1	Jun v 1	3342
Q9LD79	PRR3_JUNVI	JUNVI		Juniperus virginiana (Eastern redcedar) (Sabina virginiana)	39584	Jun v 3	Jun v 3	3344
P81826	MPAJ4_JUNVI	JUNVI		Juniperus virginiana (Eastern redcedar) (Sabina virginiana)	39584	Jun v 4	Jun v 4	433
A0A2J6KL39	NLTP_LACSA	LACSA		Lactuca sativa (Garden lettuce)	4236	Lac s 1	Lac s 1	
Q9NFZ4	TPM_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d 10	Lep d 10	3349
Q9U5P1	FABP_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d 13	Lep d 13	3350
P80384	ALL2_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d 2	Lep d 2	439
Q9U5P2	ALL5_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d 5	Lep d 5	3244
Q9U1G2	ALL7_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d 7	Lep d 7	3351
Q8WQ47	TBA_LEPDS	LEPDS		Lepidoglyphus destructor (Storage mite) (Glycyphagus destructor)	36936	Lep d ?	Lep d ?	1075
Q8T380	TPM_LEPSA	LEPSA		Lepisma saccharinum (Silverfish)	50586	Lep s 1.0101	Lep s 1	3352
O82015	LIGV1_LIGVU	LIGVU		Ligustrum vulgare (Common privet) (Ligustrum insulare)	13597	Lig v 1	Lig v 1	446
P86712	ALL1_LIPBO	LIPBO		Liposcelis bostrychophila (Booklouse)	185214	Lip b 1	Lip b 1	9049
Q941H7	PROF_LITCN	LITCN		Litchi chinensis (Lychee)	151069	Lit c 1	Lit c 1	3353
P14946	MPAL1_LOLPR	LOLPR		Lolium perenne (Perennial ryegrass)	4522	Lol p 1	Lol p 1	450
Q7M1X5	LOLB_LOLPR	LOLPR		Lolium perenne (Perennial ryegrass)	4522	Lol p 11	Lol p 11	3354
P14947	MPAL2_LOLPR	LOLPR		Lolium perenne (Perennial ryegrass)	4522	Lol p 2-A	Lol p 2	3355
P14948	MPAL3_LOLPR	LOLPR		Lolium perenne (Perennial ryegrass)	4522	Lol p 3	Lol p 3	3356
Q40240	MPA5A_LOLPR	LOLPR	LOLPIB	Lolium perenne (Perennial ryegrass)	4522	Lol p 5a	Lol p 5a	460
Q40237	MPA5B_LOLPR	LOLPR		Lolium perenne (Perennial ryegrass)	4522	Lol p 5b	Lol p 5b	460
Q9FSH9	CONG1_LUPAL	LUPAL	Cgamma	Lupinus albus (White lupine) (Lupinus termis)	3870	Lup a gamma-conglutin	Lup a gamma	2686
Q9FEX1	CONG2_LUPAL	LUPAL		Lupinus albus (White lupine) (Lupinus termis)	3870	Lup a gamma-conglutin	Lup a gamma	2686
Q6EBC1	CONB2_LUPAL	LUPAL		Lupinus albus (White lupine) (Lupinus termis)	3870	Lup an 1	Lup an 1	3818
Q53HY0	CONB1_LUPAL	LUPAL		Lupinus albus (White lupine) (Lupinus termis)	3870	Lup an 1	Lup an 1	3818
F5B8V9	CONB1_LUPAN	LUPAN	BETA1	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W3	CONB5_LUPAN	LUPAN	BETA5	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W5	CONB7_LUPAN	LUPAN	BETA7	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W1	CONB3_LUPAN	LUPAN	BETA3	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W4	CONB6_LUPAN	LUPAN	BETA6	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W0	CONB2_LUPAN	LUPAN	BETA2	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8W2	CONB4_LUPAN	LUPAN	BETA4	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an 1	Lup an 1	4015
F5B8V6	CONA1_LUPAN	LUPAN	CONALPHA	Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an alpha-conglutin	Lup an alpha	7697
F5B8V8	CONA3_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an alpha-conglutin	Lup an alpha	
F5B8V7	CONA2_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an alpha-conglutin	Lup an alpha	
F5B8W8	COND1_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an delta-conglutin	Lup an delta	7698
F5B8X0	COND3_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an delta-conglutin	Lup an delta	
Q99235	COND2_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an delta-conglutin	Lup an delta	7698
F5B8X1	COND4_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an delta-conglutin	Lup an delta	
Q42369	CONG1_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an gamma-conglutin	Lup an gamma	7699
F5B8W7	CONG2_LUPAN	LUPAN		Lupinus angustifolius (Narrow-leaved blue lupine)	3871	Lup an gamma-conglutin	Lup an gamma	
P52778	L18A_LUPLU	LUPLU	LLR18A	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
P52779	L18B_LUPLU	LUPLU	LLR18B	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q9LLQ2	P102B_LUPLU	LUPLU	PR10.2B	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q9AXK1	P102D_LUPLU	LUPLU	PR10.2D	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q9AXK2	P102C_LUPLU	LUPLU	PR10.2C	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q7XZT8	P102F_LUPLU	LUPLU	PR10.2F	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q7Y1W5	P102E_LUPLU	LUPLU	PR10.2E	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q9LLQ3	P102A_LUPLU	LUPLU	PR10.2A	Lupinus luteus (European yellow lupine)	3873	Lup l 4	Lup l 4	9727
Q5WPU9	YP11_LUTLO	LUTLO		Lutzomyia longipalpis (Sand fly)	7200	Lut lo LJM11	Lut lo LJM11	10162
A9QQ26	VA5_LYCSI	LYCSI		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	434756			
A0A7G2A2Z3	NLTP_MACIN	MACIN	Mac_nsLTP	Macadamia integrifolia (Macadamia nut)	60698			
Q9SPL3	AMP23_MACIN	MACIN	AMP2-3	Macadamia integrifolia (Macadamia nut)	60698	Mac i 1.0101	Mac i 1	
C0HLR7	11S1_MACIN	MACIN		Macadamia integrifolia (Macadamia nut)	60698	Mac i 2	Mac i 2	
Q9SPL4	AMP22_MACIN	MACIN	AMP2-2	Macadamia integrifolia (Macadamia nut)	60698			
V5NBV4	TPM_MACRS	MACRS		Macrobrachium rosenbergii (Giant fresh water prawn)	79674	Mac r 1.0101	Mac r 1	8806
P86739	PRVB1_MACMG	MACMG		Macruronus magellanicus (Patagonian grenadier) (Macruronus novaezelandiae magellanicus)	92050			
P86740	PRVB3_MACMG	MACMG		Macruronus magellanicus (Patagonian grenadier) (Macruronus novaezelandiae magellanicus)	92050			
P86741	PRVB2_MACMG	MACMG		Macruronus magellanicus (Patagonian grenadier) (Macruronus novaezelandiae magellanicus)	92050			
P86742	PRVB3_MACNO	MACNO		Macruronus novaezelandiae (Blue grenadier) (Macruronus novaezelandiae novaezelandiae)	248764			
P86743	PRVB2_MACNO	MACNO		Macruronus novaezelandiae (Blue grenadier) (Macruronus novaezelandiae novaezelandiae)	248764			
P86744	PRVB1_MACNO	MACNO		Macruronus novaezelandiae (Blue grenadier) (Macruronus novaezelandiae novaezelandiae)	248764			
Q95WY0	TPM03_MAGGI	MAGGI		Magallana gigas (Pacific oyster) (Crassostrea gigas)	29159	Cra g 1	Cra g 1	247
Q01940	MALF1_MALFU	MALFU		Malassezia furfur (Pityriasis versicolor infection agent) (Pityrosporum furfur)	55194	Mal f 1	Mal f 1	3364
P56577	MALF2_MALFU	MALFU		Malassezia furfur (Pityriasis versicolor infection agent) (Pityrosporum furfur)	55194	Mal f 2	Mal f 2	3361
P56578	MALF3_MALFU	MALFU		Malassezia furfur (Pityriasis versicolor infection agent) (Pityrosporum furfur)	55194	Mal f 3	Mal f 3	3362
Q5GMY3	GMCH_MALSM	MALSM		Malassezia sympodialis (Atopic eczema-associated yeast)	76777	Mala s 12.0101	Mala s 12	2530
Q1RQI9	THIO_MALSM	MALSM		Malassezia sympodialis (Atopic eczema-associated yeast)	76777	Mala s 13.0101	Mala s 13	2680
M5EAX2	GMCH_MALS4	MALS4		Malassezia sympodialis (strain ATCC 42132) (Atopic eczema-associated yeast)	1230383	Mala s 12	Mala s 12	2530
P43211	MAL11_MALDO	MALDO	MALD1	Malus domestica (Apple) (Pyrus malus)	3750	Mal d 1	Mal d 1	1447
Q40280	MAL12_MALDO	MALDO		Malus domestica (Apple) (Pyrus malus)	3750	Mal d 1	Mal d 1	1456
Q9FSG7	TP1A_MALDO	MALDO	TL1	Malus domestica (Apple) (Pyrus malus)	3750	Mal d 2	Mal d 2	3360
Q9M5X7	NLTP_MALDO	MALDO	MALD3	Malus domestica (Apple) (Pyrus malus)	3750	Mal d 3	Mal d 3	466
Q9XF42	PROF3_MALDO	MALDO		Malus domestica (Apple) (Pyrus malus)	3750	Mal d 4.0101	Mal d 4	2414
Q9XF41	PROF2_MALDO	MALDO		Malus domestica (Apple) (Pyrus malus)	3750	Mal d 4.0201	Mal d 4	2416
Q9XF40	PROF1_MALDO	MALDO		Malus domestica (Apple) (Pyrus malus)	3750	Mal d 4.0301	Mal d 4	2418
B3EWS0	TLP1A_MANZA	MANZA		Manilkara zapota (Sapodilla plum) (Achras zapota)	3741			
G5DC91	TLP1_MANZA	MANZA	TLP1	Manilkara zapota (Sapodilla plum) (Achras zapota)	3741			11650
B3EWE5	TLP2_MANZA	MANZA		Manilkara zapota (Sapodilla plum) (Achras zapota)	3741	Man z TLP2	Man z TLP2	
O49894	PROF_MERAN	MERAN		Mercurialis annua (Annual mercury)	3986	Mer a 1	Mer a 1	3375
P86745	PRVB1_MERAA	MERAA		Merluccius australis australis (Austral hake)	307686			
P86746	PRVB4_MERAA	MERAA		Merluccius australis australis (Austral hake)	307686			
P86747	PRVB2_MERAA	MERAA		Merluccius australis australis (Austral hake)	307686			
P86748	PRVB3_MERAA	MERAA		Merluccius australis australis (Austral hake)	307686			
P86752	PRVB2_MERBI	MERBI		Merluccius bilinearis (Silver hake)	79698			
P86753	PRVB3_MERBI	MERBI		Merluccius bilinearis (Silver hake)	79698			
P86754	PRVB4_MERBI	MERBI		Merluccius bilinearis (Silver hake)	79698			
P86755	PRVB3_MERCP	MERCP		Merluccius capensis (Shallow-water Cape hake) (Gadus merluccius)	89947			7645
P86756	PRVB1_MERCP	MERCP		Merluccius capensis (Shallow-water Cape hake) (Gadus merluccius)	89947			7645
P86757	PRVB2_MERCP	MERCP		Merluccius capensis (Shallow-water Cape hake) (Gadus merluccius)	89947			7645
P86758	PRVB3_MERGA	MERGA		Merluccius gayi (South Pacific hake) (Merluccius gayi peruanus)	89948			
P86759	PRVB2_MERGA	MERGA		Merluccius gayi (South Pacific hake) (Merluccius gayi peruanus)	89948			
P86760	PRVB4_MERGA	MERGA		Merluccius gayi (South Pacific hake) (Merluccius gayi peruanus)	89948			
P86761	PRVB1_MERGA	MERGA		Merluccius gayi (South Pacific hake) (Merluccius gayi peruanus)	89948			
P86762	PRVB2_MERHU	MERHU		Merluccius hubbsi (Argentine hake) (Merluccius gayi hubbsi)	89949			7644
P86763	PRVB3_MERHU	MERHU		Merluccius hubbsi (Argentine hake) (Merluccius gayi hubbsi)	89949			7644
P86764	PRVB1_MERHU	MERHU		Merluccius hubbsi (Argentine hake) (Merluccius gayi hubbsi)	89949			7644
P02620	PRVB_MERME	MERME		Merluccius merluccius (European hake)	8063			7643
P86765	PRVB2_MERME	MERME		Merluccius merluccius (European hake)	8063			7643
P86766	PRVB3_MERME	MERME		Merluccius merluccius (European hake)	8063			7643
P86767	PRVB4_MERME	MERME		Merluccius merluccius (European hake)	8063			7643
P86768	PRVB1_MERPA	MERPA		Merluccius paradoxus (Deep-water Cape hake) (Merluccius capensis paradoxus)	89950			
P86769	PRVB2_MERPA	MERPA		Merluccius paradoxus (Deep-water Cape hake) (Merluccius capensis paradoxus)	89950			
P86770	PRVB3_MERPA	MERPA		Merluccius paradoxus (Deep-water Cape hake) (Merluccius capensis paradoxus)	89950			
P86771	PRVB2_MERPO	MERPO		Merluccius polli (Benguela hake) (Merluccius cadenati)	89951			
P86772	PRVB3_MERPO	MERPO		Merluccius polli (Benguela hake) (Merluccius cadenati)	89951			
P86773	PRVB1_MERPO	MERPO		Merluccius polli (Benguela hake) (Merluccius cadenati)	89951			
P86749	PRVB1_MERPL	MERPL		Merluccius polylepis (Southern hake) (Merluccius australis polylepis)	2705414			
P86750	PRVB2_MERPL	MERPL		Merluccius polylepis (Southern hake) (Merluccius australis polylepis)	2705414			
P86751	PRVB3_MERPL	MERPL		Merluccius polylepis (Southern hake) (Merluccius australis polylepis)	2705414			
P86774	PRVB1_MERPR	MERPR		Merluccius productus (North Pacific hake) (Merlangus productus)	89952			
P86775	PRVB2_MERPR	MERPR		Merluccius productus (North Pacific hake) (Merlangus productus)	89952			
P86776	PRVB3_MERPR	MERPR		Merluccius productus (North Pacific hake) (Merlangus productus)	89952			
P86777	PRVB3_MERSE	MERSE		Merluccius senegalensis (Senegalese hake) (Merluccius merluccius senegalensis)	89953			
P86778	PRVB1_MERSE	MERSE		Merluccius senegalensis (Senegalese hake) (Merluccius merluccius senegalensis)	89953			
P86779	PRVB2_MERSE	MERSE		Merluccius senegalensis (Senegalese hake) (Merluccius merluccius senegalensis)	89953			
Q9QXU1	MSP_MESAU	MESAU	MSP	Mesocricetus auratus (Golden hamster)	10036			11698
Q25456	TPM_METEN	METEN		Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis)	32278	Met e 1	Met e 1	3376
B1PVZ9	KARG_METEN	METEN		Metapenaeus ensis (Greasyback shrimp) (Penaeus ensis)	32278	Met e 2	Met e 2	793
A9YME1	VA5_MICHY	MICHY		Microctonus hyperodae (Parasitoid wasp)	165561			
Q9GZ69	TPM_MIMNO	MIMNO		Mimachlamys nobilis (Noble scallop) (Chlamys nobilis)	106276	Mim n 1	Mim n 1	
P85894	LTP1_MORNI	MORNI		Morus nigra (Black mulberry)	85232	Mor n 3	Mor n 3	5904
P02762	MUP6_MOUSE	MOUSE	Mup6	Mus musculus (Mouse)	10090	Mus m 1	Mus m 1	3378
Q7M747	S2B24_MOUSE	MOUSE	Scgb2b24	Mus musculus (Mouse)	10090			
Q9JI02	S2B20_MOUSE	MOUSE	Scgb2b20	Mus musculus (Mouse)	10090			
O22317	E13C_MUSAC	MUSAC	BANGLUC	Musa acuminata (Banana) (Musa cavendishii)	4641	Mus a 5	Mus a 5	2550
Q94JN3	PROF_MUSAC	MUSAC		Musa acuminata (Banana) (Musa cavendishii)	4641	Mus xp 1	Mus xp 1	7632
A0A3F2YLV2	PRVB_MUSGR	MUSGR		Mustelus griseus (Spotless smooth-hound)	89020			
Q07932	TX1AB_MYRPI	MYRPI		Myrmecia pilosula (Jack jumper ant) (Australian jumper ant)	13618	Myr p 1	Myr p 1	3380
Q26464	TX2A_MYRPI	MYRPI		Myrmecia pilosula (Jack jumper ant) (Australian jumper ant)	13618	Myr p 2	Myr p 2	3381
P0C023	TX2B_MYRPI	MYRPI		Myrmecia pilosula (Jack jumper ant) (Australian jumper ant)	13618			3381
Q8VWY6	POLC1_TOBAC	TOBAC	Nict1	Nicotiana tabacum (Common tobacco)	4097	Nic t 1	Nic t 1	
Q8VWY7	POLC2_TOBAC	TOBAC	Nict2	Nicotiana tabacum (Common tobacco)	4097	Nic t 2	Nic t 2	
Q9ST99	PROF2_TOBAC	TOBAC	PRO2	Nicotiana tabacum (Common tobacco)	4097	Nic t 8	Nic t 8	1407
A0A348G5W8	HYAL_ODOMO	ODOMO		Odontomachus monticola (Trap-jaw ant)	613454			
P19963	ALL1_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 1	Ole e 1	482
Q84V39	ALL10_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 10	Ole e 10	1319
D8VPP5	AL11A_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 11.0101	Ole e 11	5966
B2VPR8	AL11B_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 11.0102	Ole e 11	5966
E1U332	ALL12_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 12	Ole e 12	12134
E3SU11	ALL13_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 13	Ole e 13	12135
O24170	PROFB_OLEEU	OLEEU	PRO2	Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	3383
O24171	PROFC_OLEEU	OLEEU	PRO3	Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	3383
O24169	PROFA_OLEEU	OLEEU	PRO1	Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	3383
A4GDQ8	PROAL_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDR1	PROAS_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
A4GDT4	PROBG_OLEEU	OLEEU		Olea europaea (Common olive)	4146	Ole e 2	Ole e 2	490
