AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
P49069	CAMLG	PTHR15026	calcium-signal modulating cyclophilin ligand  caml pthr15026	human ubiquitin protein ligase binding IPI	Only binding annotation				#N/A
P21854	CD72	PTHR15028	cd72-related pthr15028	human transmembrane signaling receptor activity IDA	Already had a valid annotation				#N/A
P31358	CD52	PTHR15029	campath-1 antigen pthr15029		No data found				#N/A
Q8IUL8	CILP2	PTHR15031	cartilage intermediate layer protein  clip pthr15031		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15031
O75339	CILP	PTHR15031	cartilage intermediate layer protein  clip pthr15031		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15031
P55089	UCN	PTHR15035	corticoliberin/urocortin pthr15035	rat  histone deacetylase inhibitor activity IDA	Already had a valid annotation				#N/A
P25391	LAMA1	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9P2S2	NRXN2	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q96NU0	CNTNAP3B	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q16787	LAMA3	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9ULB1	NRXN1	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9C0A0	CNTNAP4	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q63HQ2	EGFLAM	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
P78357	CNTNAP1	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9Y4C0	NRXN3	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9UHC6	CNTNAP2	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
P24043	LAMA2	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q8WYK1	CNTNAP5	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
O00468	AGRN	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q9BZ76	CNTNAP3	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q16363	LAMA4	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q6UVK1	CSPG4	PTHR15036	pikachurin-like protein pthr15036		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15036
Q07507	DPT	PTHR15040	dermatopontin-related pthr15040		New annotation			mouse "extracellular matrix structural constituent GO:0005201" added in noctua PMID:28844660	#N/A
O14772	FPGT	PTHR15045	fucose-1-phosphate guanylyltransferase pthr15045	fucose-1-phosphate guanylyltransferase activity IDA	Already had a valid annotation				#N/A
O95210	STBD1	PTHR15048	starch-binding domain-containing protein 1 pthr15048	mouse cargo receptor activity IDA/IMP	Already had a valid annotation				#N/A
Q17RY6	LY6K	PTHR15049	glycosyl-phosphatidylinositol-anchored molecule-like protein-related pthr15049		No data found				#N/A
Q99445	GML	PTHR15049	glycosyl-phosphatidylinositol-anchored molecule-like protein-related pthr15049		No data found				#N/A
Q8WUA4	GTF3C2	PTHR15052	rna polymerase iii transcription initiation factor complex subunit pthr15052	RNA polymerase III general transcription initiation factor activity IDA	Already had a valid annotation				#N/A
P23327	HRC	PTHR15054	histidine-rich calcium-binding protein-related pthr15054		New annotation			mouse annotation:calcium ion sequestering activity GO:0140314 IDA PMID:17526652 added in noctua	#N/A
O00198	HRK	PTHR15056	activator of apoptosis harakiri pthr15056		No data found				#N/A
P15516	HTN3	PTHR15057	statherin pthr15057		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
P15515	HTN1	PTHR15057	statherin pthr15057		No data found				#N/A
P02808	STATH	PTHR15057	statherin pthr15057		No data found				#N/A
Q14656	TMEM187	PTHR15066	transmembrane protein 187 pthr15066		No data found				#N/A
P20645	M6PR	PTHR15071	mannose-6-phosphate receptor family member pthr15071		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15071
Q8IWC1	MAP7D3	PTHR15073	microtubule-associated protein pthr15073	binding only	New annotation				#N/A
Q14244	MAP7	PTHR15073	microtubule-associated protein pthr15073	binding only	New annotation				#N/A
Q96T17	MAP7D2	PTHR15073	microtubule-associated protein pthr15073	binding only	New annotation			mouse annotation "GO:0140778 microtubule stabilizing activity, IDA" PMID:35470240 added in Nocua	#N/A
Q3KQU3	MAP7D1	PTHR15073	microtubule-associated protein pthr15073	binding only	New annotation				#N/A
P55808	XG	PTHR15076	cd99/mic2 protein related pthr15076		No data found				#N/A
P14209	CD99	PTHR15076	cd99/mic2 protein related pthr15076		No data found				#N/A
Q8TCZ2	CD99L2	PTHR15076	cd99/mic2 protein related pthr15076		No data found				#N/A
O43676	NDUFB3	PTHR15082	nadh-ubiquinone oxidoreductase b12 subunit pthr15082		No data found				#N/A
O95139	NDUFB6	PTHR15083	nadh dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6 pthr15083		No data found				#N/A
Q96IZ0	PAWR	PTHR15093	prostate apoptosis response protein par-4 pthr15093		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15093
P17152	TMEM11	PTHR15099	protein pm1 pthr15099		No data found				#N/A
Q8NC74	RBBP8NL	PTHR15107	retinoblastoma binding protein 8 pthr15107		No data found				#N/A
Q96PV7	FAM193B	PTHR15109	agap004327-pa pthr15109		No data found				#N/A
O00287	RFXAP	PTHR15110	regulatory factor x-associated protein pthr15110	human contributes to  "DNA-binding transcription activator activity, RNA polymerase II-specific iDA"	Data not relevant for PAINT				#N/A
O15265	ATXN7	PTHR15117	ataxin 7 related pthr15117	yeast SGF73 (Sce) enzyme activator activity IDA	Already had a valid annotation			seems to me it's also a adapter protein.	#N/A
Q9ULK2	ATXN7L1	PTHR15117	ataxin 7 related pthr15117		Already had a valid annotation				#N/A
Q8WVN6	SECTM1	PTHR15123	secreted and transmembrane protein 1 pthr15123	human: receptor ligand activity IDA	Already had a valid annotation				#N/A
P63302	SELENOW	PTHR15124	selenoprotein w pthr15124		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15124
Q9BRT3	MIEN1	PTHR15124	selenoprotein w pthr15124		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15124
P59797	SELENOV	PTHR15124	selenoprotein w pthr15124		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15124
P78314	SH3BP2	PTHR15126	sh3-binding pthr15126	phosphotyrosine residue binding IPI	Only binding annotation				#N/A
Q15468	STIL	PTHR15128	tal1  scl  interrupting locus pthr15128						#N/A
Q86WV1	SKAP1	PTHR15129	src-associated adaptor protein pthr15129						#N/A
O75563	SKAP2	PTHR15129	src-associated adaptor protein pthr15129						#N/A
Q13487	SNAPC2	PTHR15132	snrna-activating protein complex subunit 2 pthr15132						#N/A
Q6ZMT1	STAC2	PTHR15135	stac pthr15135						#N/A
Q96MF2	STAC3	PTHR15135	stac pthr15135						#N/A
Q15814	TBCC	PTHR15139	tubulin folding cofactor c pthr15139						#N/A
Q14241	ELOA	PTHR15141	transcription elongation factor b polypeptide 3 pthr15141						#N/A
Q8IYF1	ELOA2	PTHR15141	transcription elongation factor b polypeptide 3 pthr15141						#N/A
Q96N19	GPR137	PTHR15146	integral membrane protein gpr137 pthr15146						#N/A
Q8N3F9	GPR137C	PTHR15146	integral membrane protein gpr137 pthr15146						#N/A
O60478	GPR137B	PTHR15146	integral membrane protein gpr137 pthr15146						#N/A
P32970	CD70	PTHR15152	cd70 antigen pthr15152						#N/A
Q92574	TSC1	PTHR15154	hamartin pthr15154						#N/A
P40337	VHL	PTHR15160	von hippel-lindau protein pthr15160						#N/A
P13498	CYBA	PTHR15168	cytochrome b-245 light chain pthr15168						#N/A
O15259	NPHP1	PTHR15176	nephrocystin pthr15176						#N/A
Q12789	GTF3C1	PTHR15180	general transcription factor 3c polypeptide 1 pthr15180						#N/A
O60238	BNIP3L	PTHR15186	re48077p pthr15186						#N/A
Q12983	BNIP3	PTHR15186	re48077p pthr15186						#N/A
O95715	CXCL14	PTHR15188	c-x-c motif chemokine 14 pthr15188						#N/A
Q9NXR7	BABAM2	PTHR15189	brisc and brca1-a complex member 2 pthr15189						#N/A
P53801	PTTG1IP	PTHR15191	protein cbg20567 pthr15191						#N/A
Q01151	CD83	PTHR15193	cd83 antigen pthr15193						#N/A
O60443	GSDME	PTHR15207	nonsyndromic hearing impairment protein pthr15207						#N/A
O00559	EBAG9	PTHR15208	receptor-binding cancer antigen expressed on siso cells  cancer associated surface antigen rcas1   estrogen receptor-binding fragment- associated gene 9 protein pthr15208						#N/A
Q8N1K5	THEMIS	PTHR15215	cabit domain-containing protein pthr15215						#N/A
Q5TEJ8	THEMIS2	PTHR15215	cabit domain-containing protein pthr15215						#N/A
Q15007	WTAP	PTHR15217	wilms' tumor 1-associating protein pthr15217						#N/A
O95167	NDUFA3	PTHR15221	nadh dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3 pthr15221						#N/A
O75438	NDUFB1	PTHR15222	nadh dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 pthr15222						#N/A
O95178	NDUFB2	PTHR15223	nadh-ubiquinone oxidoreductase aggg subunit pthr15223						#N/A
O43920	NDUFS5	PTHR15224	nadh dehydrogenase [ubiquinone] iron-sulfur protein 5 pthr15224						#N/A
Q13287	NMI	PTHR15225	interferon-induced protein 35/nmi n-myc/stat interacting protein pthr15225						#N/A
P80217	IFI35	PTHR15225	interferon-induced protein 35/nmi n-myc/stat interacting protein pthr15225						#N/A
Q6ZSC3	RBM43	PTHR15225	interferon-induced protein 35/nmi n-myc/stat interacting protein pthr15225						#N/A
Q14442	PIGH	PTHR15231	phosphatidylinositol n-acetylglucosaminyltransferase subunit h pthr15231						#N/A
P56378	ATP5MJ	PTHR15233	mitochondrial proteolipid pthr15233						#N/A
Q99638	RAD9A	PTHR15237	dna repair protein rad9 pthr15237						#N/A
Q6WBX8	RAD9B	PTHR15237	dna repair protein rad9 pthr15237						#N/A
Q5BKX8	CAVIN4	PTHR15240	cavin pthr15240						#N/A
P49842	STK19	PTHR15243	serine/threonine-protein kinase 19 pthr15243						#N/A
Q92797	SYMPK	PTHR15245	symplekin-related pthr15245						#N/A
Q92844	TANK	PTHR15249	traf family member-associated nf-kappa-b activator pthr15249						#N/A
Q9NNX9	VCX3A	PTHR15251	testis-specific basic protein y 1-related pthr15251						#N/A
Q9H322	VCX2	PTHR15251	testis-specific basic protein y 1-related pthr15251						#N/A
Q9H321	VCX3B	PTHR15251	testis-specific basic protein y 1-related pthr15251						#N/A
Q9H320	VCX	PTHR15251	testis-specific basic protein y 1-related pthr15251						#N/A
O14598	VCY	PTHR15251	testis-specific basic protein y 1-related pthr15251						#N/A
O15287	FANCG	PTHR15254	fanconi anemia group g protein family member pthr15254						#N/A
P98153	DGCR2	PTHR15256	integral membrane protein dgcr2/idd pthr15256						#N/A
Q14714	SSPN	PTHR15260	sarcospan pthr15260						#N/A
Q8WU66	TSPEAR	PTHR15261	thrombospondin-type laminin g domain and ear repeat-containing pthr15261						#N/A
Q9UBC1	NFKBIL1	PTHR15263	i-kappa-b-like protein  ikbl pthr15263						#N/A
Q15116	PDCD1	PTHR15264	programmed cell death protein 1 pthr15264						#N/A
Q13112	CHAF1B	PTHR15271	chromatin assembly factor 1 subunit b pthr15271						#N/A
Q13111	CHAF1A	PTHR15272	chromatin assembly factor 1 subunit a  caf-1 subunit a pthr15272						#N/A
Q13495	MAMLD1	PTHR15275	cg1 protein/f18 pthr15275						#N/A
Q16204	CCDC6	PTHR15276	h4 d10s170  protein-related pthr15276						#N/A
Q16649	NFIL3	PTHR15284	nuclear factor interleukin-3-regulated protein pthr15284						#N/A
A0A5F9ZHS7	NFILZ	PTHR15284	nuclear factor interleukin-3-regulated protein pthr15284						#N/A
Q16517	NNAT	PTHR15285	neuronatin pthr15285						#N/A
O75901	RASSF9	PTHR15286	ras-associating domain containing protein pthr15286						#N/A
Q8NHQ8	RASSF8	PTHR15286	ras-associating domain containing protein pthr15286						#N/A
A6NK89	RASSF10	PTHR15286	ras-associating domain containing protein pthr15286						#N/A
Q02833	RASSF7	PTHR15286	ras-associating domain containing protein pthr15286						#N/A
Q9H6A0	DENND2D	PTHR15288	denn domain-containing protein 2 pthr15288						#N/A
Q9ULE3	DENND2A	PTHR15288	denn domain-containing protein 2 pthr15288						#N/A
P78524	DENND2B	PTHR15288	denn domain-containing protein 2 pthr15288						#N/A
Q68D51	DENND2C	PTHR15288	denn domain-containing protein 2 pthr15288						#N/A
Q12815	TROAP	PTHR15289	tastin pthr15289						#N/A
Q13113	PDZK1IP1	PTHR15296	membrane-associated protein map17 pthr15296						#N/A
O75264	SMIM24	PTHR15296	membrane-associated protein map17 pthr15296						#N/A
O95976	IGSF6	PTHR15297	immunoglobulin superfamily member 6 pthr15297						#N/A
C9JL84	HHLA1	PTHR15299	herv-h ltr-associating protein 1 pthr15299						#N/A
O15503	INSIG1	PTHR15301	insulin-induced gene 1 pthr15301						#N/A
Q9Y5U4	INSIG2	PTHR15301	insulin-induced gene 1 pthr15301						#N/A
Q9P1T7	MDFIC	PTHR15304	myod family inhibitor pthr15304						#N/A
A0A1B0GVS7	MDFIC2	PTHR15304	myod family inhibitor pthr15304						#N/A
Q99750	MDFI	PTHR15304	myod family inhibitor pthr15304						#N/A
Q16655	MLANA	PTHR15305	melanoma antigen recognized by t-cells 1 pthr15305						#N/A
Q14761	PTPRCAP	PTHR15312	protein tyrosine phosphatase receptor type c-associated protein pthr15312						#N/A
O75817	POP7	PTHR15314	ribonuclease p protein subunit p20 pthr15314						#N/A
P40200	CD96	PTHR15317	t-cell surface protein tactile pthr15317						#N/A
O75794	CDC123	PTHR15323	d123 protein pthr15323						#N/A
Q8IUW3	SPATA2L	PTHR15326	spermatogenesis-associated protein 2/tamozhennic pthr15326						#N/A
P55081	MFAP1	PTHR15327	microfibril-associated protein pthr15327						#N/A
O75971	SNAPC5	PTHR15333	snrna-activating protein complex subunit 5 pthr15333						#N/A
Q92734	TFG	PTHR15335	protein tfg pthr15335						#N/A
A0A096LP55	UQCRHL	PTHR15336	ubiquinol-cytochrome c reductase complex 7.8 kda protein pthr15336						#N/A
P07919	UQCRH	PTHR15336	ubiquinol-cytochrome c reductase complex 7.8 kda protein pthr15336						#N/A
O95881	TXNDC12	PTHR15337	anterior gradient protein-related pthr15337						#N/A
P09564	CD7	PTHR15343	cd7 pthr15343						#N/A
Q13561	DCTN2	PTHR15346	dynactin subunit pthr15346						#N/A
Q96R06	SPAG5	PTHR15347	sperm-associated antigen 5 pthr15347						#N/A
Q9UNN8	PROCR	PTHR15349	endothelial protein c receptor pthr15349						#N/A
Q9H9Q2	COPS7B	PTHR15350	cop9 signalosome complex subunit 7/dendritic cell protein ga17 pthr15350						#N/A
Q7L2H7	EIF3M	PTHR15350	cop9 signalosome complex subunit 7/dendritic cell protein ga17 pthr15350						#N/A
Q9UBW8	COPS7A	PTHR15350	cop9 signalosome complex subunit 7/dendritic cell protein ga17 pthr15350						#N/A
Q12912	IRAG2	PTHR15352	lymphoid-restricted membrane protein, jaw1 pthr15352						#N/A
Q9Y6F6	IRAG1	PTHR15352	lymphoid-restricted membrane protein, jaw1 pthr15352						#N/A
Q15345	LRRC41	PTHR15354	muf1 pthr15354						#N/A
P30990	NTS	PTHR15356	neurotensin/neuromedin n pthr15356						#N/A
P47874	OMP	PTHR15357	olfactory marker protein pthr15357						#N/A
Q15198	PDGFRL	PTHR15360	platelet-derived growth factor receptor like pthr15360						#N/A
P48651	PTDSS1	PTHR15362	phosphatidylinositol synthase pthr15362						#N/A
Q9BVG9	PTDSS2	PTHR15362	phosphatidylinositol synthase pthr15362						#N/A
O15318	POLR3G	PTHR15367	dna-directed rna polymerase iii pthr15367						#N/A
Q9BT43	POLR3GL	PTHR15367	dna-directed rna polymerase iii pthr15367						#N/A
Q99675	CGRRF1	PTHR15379	cell growth regulator with ring finger domain protein 1 pthr15379						#N/A
O95196	CSPG5	PTHR15381	chondroitin sulfate proteoglycan 5 -related pthr15381		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15381
P34910	EVI2B	PTHR15384	protein evi2b pthr15384						#N/A
O95073	FSBP	PTHR15386	fibrinogen silencer-binding protein pthr15386						#N/A
O75884	RBBP9	PTHR15394	serine hydrolase rbbp9 pthr15394						#N/A
Q9H0E9	BRD8	PTHR15398	bromodomain-containing protein 8 pthr15398						#N/A
Q13015	MLLT11	PTHR15404	protein af1q pthr15404						#N/A
Q9NPJ4	PNRC2	PTHR15405	proline-rich nuclear receptor coactivator pthr15405		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15405
Q12796	PNRC1	PTHR15405	proline-rich nuclear receptor coactivator pthr15405		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15405
O75072	FKTN	PTHR15407	fukutin-related pthr15407						#N/A
Q9BW71	HIRIP3	PTHR15410	hira-interacting protein 3 pthr15410						#N/A
Q13438	OS9	PTHR15414	os-9-related pthr15414						#N/A
Q96DZ1	ERLEC1	PTHR15414	os-9-related pthr15414						#N/A
Q16891	IMMT	PTHR15415	mitofilin pthr15415						#N/A
Q13522	PPP1R1A	PTHR15417	protein phosphatase inhibitor and dopamine- and camp-regulated neuronal phosphoprotein pthr15417						#N/A
Q9UD71	PPP1R1B	PTHR15417	protein phosphatase inhibitor and dopamine- and camp-regulated neuronal phosphoprotein pthr15417						#N/A
Q8WVI7	PPP1R1C	PTHR15417	protein phosphatase inhibitor and dopamine- and camp-regulated neuronal phosphoprotein pthr15417						#N/A
O14957	UQCR11	PTHR15420	ubiquinol-cytochrome c reductase complex 6.4 kd protein pthr15420						#N/A
O95971	CD160	PTHR15425	cd160 antigen pthr15425						#N/A
Q9NTK1	DEPP1	PTHR15426	protein depp1 pthr15426						#N/A
P02745	C1QA	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
P02746	C1QB	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9H8L6	MMRN2	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9NT22	EMILIN3	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
P0C862	C1QTNF9	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q96A84	EMID1	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q96A83	COL26A1	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
B2RNN3	C1QTNF9B	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q15848	ADIPOQ	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
P02747	C1QC	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9BXX0	EMILIN2	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9BXJ5	C1QTNF2	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9BXJ2	C1QTNF7	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q9BXJ0	C1QTNF5	PTHR15427	emilin  elastin microfibril interface-located protein   elastin microfibril interfacer pthr15427						#N/A
Q96NB1	CEP20	PTHR15431	fgfr1 oncogene partner/lish domain-containing protein pthr15431						#N/A
O75665	OFD1	PTHR15431	fgfr1 oncogene partner/lish domain-containing protein pthr15431						#N/A
O95684	CEP43	PTHR15431	fgfr1 oncogene partner/lish domain-containing protein pthr15431						#N/A
O75031	HSF2BP	PTHR15434	heat shock factor 2-binding protein pthr15434						#N/A
E9PJI5	NPIPA7	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
F8W0I5	NPIPB12	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
A6NJU9	NPIPB13	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
A6NJ64	NPIPB2	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
A6NHN6	NPIPB15	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
A8MRT5	NPIPB5	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
O75200	NPIPB7	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
Q9UND3	NPIPA1	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
E5RHQ5	NPIPB11	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
C9JG80	NPIPB4	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
Q92617	NPIPB3	PTHR15438	nuclear pore complex interacting protein pthr15438						#N/A
Q6X784	ZPBP2	PTHR15443	zona pellucida binding protein  sp38 pthr15443						#N/A
Q9BS86	ZPBP	PTHR15443	zona pellucida binding protein  sp38 pthr15443						#N/A
Q13103	SPP2	PTHR15444	secreted phosphoprotein 24 pthr15444						#N/A
E5RIL1	UPK3BL2	PTHR15446	uroplakin iii pthr15446						#N/A
O75631	UPK3A	PTHR15446	uroplakin iii pthr15446						#N/A
Q9BT76	UPK3B	PTHR15446	uroplakin iii pthr15446						#N/A
B0FP48	UPK3BL1	PTHR15446	uroplakin iii pthr15446						#N/A
O00453	LST1	PTHR15452	leukocyte-specific transcript 1 protein pthr15452						#N/A
O75896	TUSC2	PTHR15453	tumor suppressor candidate 2 pthr15453						#N/A
Q8N1F8	STK11IP	PTHR15454	nischarin related pthr15454		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15454
Q9C099	LRRCC1	PTHR15454	nischarin related pthr15454		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15454
Q53EV4	LRRC23	PTHR15454	nischarin related pthr15454		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15454
Q6P1K2	PMF1	PTHR15459	polyamine-modulated factor 1 pthr15459						#N/A
Q9Y6I8	PXMP4	PTHR15460	peroxisomal membrane protein 4 pthr15460						#N/A
Q8N3Z0	PRSS35	PTHR15462	serine protease pthr15462						#N/A
O95084	PRSS23	PTHR15462	serine protease pthr15462						#N/A
Q9UMZ2	SYNRG	PTHR15463	ap1 gamma subunit binding protein 1 pthr15463						#N/A
Q9Y242	TCF19	PTHR15464	transcription factor 19 pthr15464						#N/A
O15231	ZNF185	PTHR15468	znf185 pthr15468						#N/A
O95171	SCEL	PTHR15468	znf185 pthr15468						#N/A
O95168	NDUFB4	PTHR15469	nadh-ubiquinone oxidoreductase b15 subunit pthr15469						#N/A
Q53GA4	PHLDA2	PTHR15478	pleckstrin homology-like domain, pq-rich protein pthr15478						#N/A
Q9Y5J5	PHLDA3	PTHR15478	pleckstrin homology-like domain, pq-rich protein pthr15478						#N/A
Q8WV24	PHLDA1	PTHR15478	pleckstrin homology-like domain, pq-rich protein pthr15478						#N/A
Q15020	SART3	PTHR15481	ribonucleic acid binding protein s1 pthr15481						#N/A
Q15287	RNPS1	PTHR15481	ribonucleic acid binding protein s1 pthr15481						#N/A
O15446	POLR1G	PTHR15484	dna-directed rna polymerase i subunit rpa34 pthr15484						#N/A
Q9Y679	AUP1	PTHR15486	ancient ubiquitous protein pthr15486						#N/A
Q9Y2Y0	ARL2BP	PTHR15487	adp-ribosylation factor-like protein 2-binding protein pthr15487						#N/A
Q9ULV3	CIZ1	PTHR15491	family not named pthr15491						#N/A
O95273	CCNDBP1	PTHR15492	cyclin d1-binding protein 1 pthr15492						#N/A
Q4G163	FBXO43	PTHR15493	f-box only protein 5 and 43 pthr15493						#N/A
Q9UKT4	FBXO5	PTHR15493	f-box only protein 5 and 43 pthr15493						#N/A
Q9UKN8	GTF3C4	PTHR15496	general transcription factor 3c polypeptide 4 family pthr15496						#N/A
O43513	MED7	PTHR15498	t-cell immunoglobulin and mucin domain containing  tim pthr15498						#N/A
Q8TDQ0	HAVCR2	PTHR15498	t-cell immunoglobulin and mucin domain containing  tim pthr15498						#N/A
Q86TG7	PEG10	PTHR15503	ldoc1 related pthr15503		in Swiss-Prot 300 protein list		Will be done by Marc		#N/A
Q7L3V2	RTL10	PTHR15503	ldoc1 related pthr15503						#N/A
Q6ZR62	RTL4	PTHR15503	ldoc1 related pthr15503						#N/A
Q8N8U3	RTL3	PTHR15503	ldoc1 related pthr15503						#N/A
A6NKG5	RTL1	PTHR15503	ldoc1 related pthr15503						#N/A
Q9UL16	CFAP45	PTHR15504	nasopharyngeal epithelium specific protein 1 pthr15504						#N/A
Q7Z7H3	CATIP	PTHR15505	riia domain-containing protein 1 pthr15505						#N/A
P04156	PRNP	PTHR15506	doppel prion pthr15506		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15506
Q96S38	RPS6KC1	PTHR15508	ribosomal protein s6 kinase pthr15508		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15508
Q9Y6S9	RPS6KL1	PTHR15508	ribosomal protein s6 kinase pthr15508		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15508
Q9NRS6	SNX15	PTHR15508	ribosomal protein s6 kinase pthr15508		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15508
Q99932	SPAG8	PTHR15510	sperm-associated antigen 8 pthr15510						#N/A
O14836	TNFRSF13B	PTHR15511	tumor necrosis factor receptor superfamily member 13b pthr15511						#N/A
Q9UL63	MKLN1	PTHR15526	muskelin pthr15526						#N/A
Q96B49	TOMM6	PTHR15527	mitochondrial import receptor subunit tom6 homolog pthr15527						#N/A
Q9UJW9	SERTAD3	PTHR15530	serta domain-containing protein 3 pthr15530						#N/A
Q9UHN6	CEMIP2	PTHR15535	transmembrane protein 2-related pthr15535						#N/A
Q8WUJ3	CEMIP	PTHR15535	transmembrane protein 2-related pthr15535						#N/A
Q9UHF0	TAC3	PTHR15536	tachykinin-3 pthr15536						#N/A
P22749	GNLY	PTHR15541	granulysin related pthr15541						#N/A
Q6PID6	TTC33	PTHR15544	osmosis responsive factor pthr15544						#N/A
Q6ZMN7	PDZRN4	PTHR15545	pdz domain containing ring finger protein 3, 4 pthr15545						#N/A
Q76G19	PDZD4	PTHR15545	pdz domain containing ring finger protein 3, 4 pthr15545						#N/A
Q9UHR6	ZNHIT2	PTHR15555	zinc finger hit domain containing protein 2  protein fon -related pthr15555						#N/A
O75575	CRCP	PTHR15561	calcitonin gene-related peptide-receptor component protein pthr15561						#N/A
Q9Y2B4	TP53TG5	PTHR15562	tp53-target gene 5 protein pthr15562						#N/A
Q9C0B6	BRINP2	PTHR15564	macpf domain-containing protein pthr15564						#N/A
O60477	BRINP1	PTHR15564	macpf domain-containing protein pthr15564						#N/A
Q76B58	BRINP3	PTHR15564	macpf domain-containing protein pthr15564						#N/A
Q9NY61	AATF	PTHR15565	aatf protein  apoptosis antagonizing transcription factor pthr15565						#N/A
A6NNC1	A6NNC1	PTHR15566	pom121-like pthr15566		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15566
Q3SYA9	POM121L1P	PTHR15566	pom121-like pthr15566		IGNORE - Lost in Panther19		Will be done by Marc		PTHR15566
