level	id	name	n_annotations	n_genes	n_downgraded	downgrade_pct	n_accept	top_downgraded_terms	example_genes
family	PTHR30522	NUCLEOSIDE TRIPHOSPHATE PYROPHOSPHOHYDROLASE	6	1	1	17	5	GO:0046047 TTP catabolic process (1)	mazG
family	PTHR33202	ZINC UPTAKE REGULATION PROTEIN	6	1	1	17	4	GO:0008270 zinc ion binding (1)	fur
graft_node	PTN000098697		6	1	1	17	4	GO:0008251 tRNA-specific adenosine deaminase activity (1)	ADAR2
graft_node	PTN002412313		6	1	1	17	5	GO:0046047 TTP catabolic process (1)	mazG
graft_node	PTN002431809		6	1	1	17	4	GO:0008270 zinc ion binding (1)	fur
subfamily	PTHR10910:SF62	AT07585P-RELATED	6	1	1	17	4	GO:0008251 tRNA-specific adenosine deaminase activity (1)	ADAR2
subfamily	PTHR23429:SF0	GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE	6	3	1	17	3	GO:0009051 pentose-phosphate shunt, oxidative branch (1)	zwf
subfamily	PTHR30522:SF0	NUCLEOSIDE TRIPHOSPHATE PYROPHOSPHOHYDROLASE	6	1	1	17	5	GO:0046047 TTP catabolic process (1)	mazG
subfamily	PTHR33202:SF2	FERRIC UPTAKE REGULATION PROTEIN	6	1	1	17	4	GO:0008270 zinc ion binding (1)	fur
family	PTHR11808	TRANS-SULFURATION ENZYME FAMILY MEMBER	7	3	1	14	4	GO:0016846 carbon-sulfur lyase activity (1)	metB
family	PTHR22951	CLATHRIN ASSEMBLY PROTEIN	7	1	1	14	4	GO:0008021 synaptic vesicle (1)	AP180
graft_node	PTN000536703		7	1	1	14	4	GO:0008021 synaptic vesicle (1)	AP180
subfamily	PTHR22951:SF5	PHOSPHATIDYLINOSITOL-BINDING CLATHRIN ASSEMBLY PROTEIN LAP	7	1	1	14	4	GO:0008021 synaptic vesicle (1)	AP180
graft_node	PTN002018865		9	2	1	11	8	GO:0030288 outer membrane-bounded periplasmic space (1)	AmiC1
family	PTHR10210	RIBOSE-PHOSPHATE DIPHOSPHOKINASE FAMILY MEMBER	2	1	0	0	0		
family	PTHR10353	GLYCOSYL HYDROLASE	2	2	0	0	2		
family	PTHR10357	ALPHA-AMYLASE FAMILY MEMBER	2	1	0	0	1		
family	PTHR10491	DTDP-4-DEHYDRORHAMNOSE REDUCTASE	5	3	0	0	2		
family	PTHR11070	UVRD / RECB / PCRA DNA HELICASE FAMILY MEMBER	6	2	0	0	2		
family	PTHR11098	NICOTINATE PHOSPHORIBOSYLTRANSFERASE	2	1	0	0	2		
family	PTHR11207	RIBONUCLEASE III	2	1	0	0	1		
family	PTHR11223	EXPORTIN 1/5	5	1	0	0	5		
family	PTHR11252	POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE	2	1	0	0	1		
family	PTHR11404	SUPEROXIDE DISMUTASE 2	3	2	0	0	2		
family	PTHR11406	PHOSPHOGLYCERATE KINASE	4	1	0	0	4		
family	PTHR11407	LYSOZYME C	2	1	0	0	2		
family	PTHR11430	LIPOCALIN	3	3	0	0	3		
family	PTHR11444	ASPARTATEAMMONIA/ARGININOSUCCINATE/ADENYLOSUCCINATE LYASE	2	1	0	0	1		
family	PTHR11465	CATALASE	2	1	0	0	1		
family	PTHR11469	GLUCOSE-6-PHOSPHATE ISOMERASE	6	2	0	0	4		
family	PTHR11604	PROFILIN	2	1	0	0	1		
family	PTHR11647	HYDRANTOINASE/DIHYDROPYRIMIDINASE FAMILY MEMBER	2	1	0	0	1		
family	PTHR11680	SERINE HYDROXYMETHYLTRANSFERASE	2	1	0	0	1		
family	PTHR11703	DEOXYHYPUSINE SYNTHASE	2	1	0	0	2		
family	PTHR11709	MULTI-COPPER OXIDASE	2	2	0	0	0		
family	PTHR11727	DIMETHYLADENOSINE TRANSFERASE	6	4	0	0	6		
family	PTHR11728	GLYCEROL-3-PHOSPHATE DEHYDROGENASE	2	1	0	0	1		
family	PTHR11773	GLYCINE DEHYDROGENASE, DECARBOXYLATING	12	3	0	0	6		
family	PTHR11777	ALANYL-TRNA SYNTHETASE	3	1	0	0	1		
family	PTHR11815	SUCCINYL-COA SYNTHETASE BETA CHAIN	2	1	0	0	1		
family	PTHR11921	SUCCINATE DEHYDROGENASE IRON-SULFUR PROTEIN	5	2	0	0	5		
family	PTHR11934	RIBOSE-5-PHOSPHATE ISOMERASE	2	1	0	0	0		
family	PTHR11995	NADH DEHYDROGENASE	3	1	0	0	2		
family	PTHR12167	C-TYPE NATRIURETIC PEPTIDE	2	1	0	0	2		
family	PTHR12412	CAP BINDING PROTEIN	2	1	0	0	2		
family	PTHR13847	SARCOSINE DEHYDROGENASE-RELATED	3	3	0	0	0		
family	PTHR14269	CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE-RELATED	2	1	0	0	2		
family	PTHR15004	GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE SUBUNIT C, MITOCHONDRIAL	2	1	0	0	1		
family	PTHR20863	ACYL CARRIER PROTEIN	3	1	0	0	1		
family	PTHR21060	ACETATE KINASE	2	1	0	0	2		
family	PTHR21085	CHORISMATE SYNTHASE	2	1	0	0	1		
family	PTHR21089	SHIKIMATE DEHYDROGENASE	10	2	0	0	8		
family	PTHR21091	METHYLTETRAHYDROFOLATE:HOMOCYSTEINE METHYLTRANSFERASE RELATED	2	1	0	0	2		
family	PTHR21139	TRIOSEPHOSPHATE ISOMERASE	3	1	0	0	1		
family	PTHR21225	PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE DAHP SYNTHETASE	2	2	0	0	2		
family	PTHR21248	CARDIOLIPIN SYNTHASE	4	3	0	0	1		
family	PTHR21708	PROBABLE 2-DEHYDROPANTOATE 2-REDUCTASE	2	2	0	0	2		
family	PTHR22855	ACETYL, PROPIONYL, PYRUVATE, AND GLUTACONYL CARBOXYLASE-RELATED	2	1	0	0	2		
family	PTHR23065	PROLINE-SERINE-THREONINE PHOSPHATASE INTERACTING PROTEIN 1	7	1	0	0	5		
family	PTHR23152	2-OXOGLUTARATE DEHYDROGENASE	3	1	0	0	3		
family	PTHR23407	ATPASE INHIBITOR/5-FORMYLTETRAHYDROFOLATE CYCLO-LIGASE	2	1	0	0	1		
family	PTHR23420	ADENOSYLHOMOCYSTEINASE	2	1	0	0	2		
family	PTHR24056	CELL DIVISION PROTEIN KINASE	5	1	0	0	1		
family	PTHR24095	ACETYL-COENZYME A SYNTHETASE	2	2	0	0	2		
family	PTHR30042	POTASSIUM-TRANSPORTING ATPASE C CHAIN	2	1	0	0	2		
family	PTHR30050	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	2	1	0	0	1		
family	PTHR30075	GLYCYL-TRNA SYNTHETASE	2	2	0	0	0		
family	PTHR30115	NITROGEN REGULATORY PROTEIN P-II	2	1	0	0	2		
family	PTHR30231	DNA POLYMERASE III SUBUNIT EPSILON	3	1	0	0	3		
family	PTHR30258	TYPE II SECRETION SYSTEM PROTEIN GSPE-RELATED	4	1	0	0	4		
family	PTHR30346	TRANSCRIPTIONAL DUAL REGULATOR HCAR-RELATED	2	2	0	0	1		
family	PTHR30404	N-ACETYLMURAMOYL-L-ALANINE AMIDASE	7	2	0	0	7		
family	PTHR30419	HTH-TYPE TRANSCRIPTIONAL REGULATOR YBHD	2	2	0	0	1		
family	PTHR30458	PHENYLACETIC ACID DEGRADATION PROTEIN PAA	2	2	0	0	2		
family	PTHR30489	LIPOPROTEIN-RELEASING SYSTEM TRANSMEMBRANE PROTEIN LOLE	4	2	0	0	4		
family	PTHR30543	CHROMATE REDUCTASE	2	1	0	0	0		
family	PTHR30555	HYDROPEROXIDASE I, BIFUNCTIONAL CATALASE-PEROXIDASE	3	1	0	0	1		
family	PTHR30560	TRIGGER FACTOR CHAPERONE AND PEPTIDYL-PROLYL CIS/TRANS ISOMERASE	4	1	0	0	3		
family	PTHR30573	QUINOLINATE SYNTHETASE A	2	1	0	0	2		
family	PTHR30633	CYTOCHROME C-552 RESPIRATORY NITRITE REDUCTASE	2	1	0	0	2		
family	PTHR31637	2,3-BISPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE	2	1	0	0	1		
family	PTHR32063	-	2	2	0	0	2		
family	PTHR32179	NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE [CARBOXYLATING]	6	3	0	0	3		
family	PTHR34182	PROTEIN-EXPORT MEMBRANE PROTEIN SECG	2	1	0	0	2		
family	PTHR34772	RNA-BINDING PROTEIN HFQ	3	1	0	0	3		
family	PTHR34874	PROTEIN YCHN	4	1	0	0	3		
family	PTHR37010	SULFURTRANSFERASE TUSE	2	1	0	0	2		
family	PTHR38761	GLUTAMATE--CYSTEINE LIGASE	2	1	0	0	0		
family	PTHR42681	MALONYL-COA-ACYL CARRIER PROTEIN TRANSACYLASE, MITOCHONDRIAL	2	1	0	0	2		
family	PTHR43069	FUMARYLACETOACETASE	2	1	0	0	2		
family	PTHR43070	-	2	1	0	0	2		
family	PTHR43178	DIHYDROLIPOAMIDE ACETYLTRANSFERASE COMPONENT OF PYRUVATE DEHYDROGENASE COMPLEX	3	1	0	0	1		
family	PTHR43209	TRNA SULFURTRANSFERASE	2	1	0	0	1		
family	PTHR43232	MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN B	2	2	0	0	0		
family	PTHR43344	PHOSPHOSERINE PHOSPHATASE	2	1	0	0	0		
family	PTHR43369	PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE	2	1	0	0	0		
family	PTHR43396	FLAVOHEMOPROTEIN	2	1	0	0	2		
family	PTHR43416	DIHYDROLIPOYLLYSINE-RESIDUE SUCCINYLTRANSFERASE COMPONENT OF 2-OXOGLUTARATE DEHYDROGENASE COMPLEX, MITOCHONDRIAL-RELATED	2	1	0	0	2		
family	PTHR43418	MULTIFUNCTIONAL TRYPTOPHAN BIOSYNTHESIS PROTEIN-RELATED	3	1	0	0	2		
family	PTHR43522	TRANSKETOLASE	2	1	0	0	0		
family	PTHR43661	D-XYLONATE DEHYDRATASE	2	2	0	0	0		
family	PTHR43765	2-DEHYDROPANTOATE 2-REDUCTASE-RELATED	2	1	0	0	1		
family	PTHR43778	PYRUVATE CARBOXYLASE	2	1	0	0	2		
family	PTHR43791	PERMEASE-RELATED	2	2	0	0	2		
family	PTHR43829	AQUAPORIN OR AQUAGLYCEROPORIN RELATED	2	1	0	0	2		
family	PTHR45569	SENSOR PROTEIN KDPD	2	2	0	0	2		
family	PTHR45639	HSC70CB, ISOFORM G-RELATED	3	1	0	0	1		
family	PTHR45745	PHOSPHOMANNOMUTASE 45A	2	1	0	0	0		
family	PTHR45754	METHYLENETETRAHYDROFOLATE REDUCTASE	3	2	0	0	3		
family	PTHR46499	QUEUINE TRNA-RIBOSYLTRANSFERASE	2	1	0	0	1		
family	PTHR46908	CUBILIN-LIKE PROTEIN	2	1	0	0	2		
family	PTHR47219	RAB GTPASE-ACTIVATING PROTEIN 1-LIKE	2	1	0	0	1		
family	PTHR47870	CYTOCHROME C-TYPE BIOGENESIS PROTEIN CCMH	2	2	0	0	2		
family	PTHR47878	OXIDOREDUCTASE FAD/NAD(P)-BINDING DOMAIN PROTEIN	2	1	0	0	0		
family	PTHR47959	ATP-DEPENDENT RNA HELICASE RHLE-RELATED	2	2	0	0	2		
family	PTHR48069	DIHYDROFOLATE REDUCTASE	2	1	0	0	1		
family	PTHR48099	C-1-TETRAHYDROFOLATE SYNTHASE, CYTOPLASMIC-RELATED	2	2	0	0	2		
family	PTHR48111	REGULATOR OF RPOS	14	4	0	0	9		
graft_node	PTN000031316		3	1	0	0	0		
graft_node	PTN000131780		5	1	0	0	5		
graft_node	PTN000150737		2	1	0	0	2		
graft_node	PTN000167324		2	1	0	0	1		
graft_node	PTN000196817		2	1	0	0	2		
graft_node	PTN000197986		4	2	0	0	4		
graft_node	PTN000206607		4	1	0	0	4		
graft_node	PTN000211591		3	1	0	0	1		
graft_node	PTN000255689		2	1	0	0	2		
graft_node	PTN000452919		3	1	0	0	1		
graft_node	PTN000472732		2	1	0	0	2		
graft_node	PTN000501512		2	1	0	0	0		
graft_node	PTN000604558		2	1	0	0	1		
graft_node	PTN000623744		5	1	0	0	1		
graft_node	PTN000724184		4	1	0	0	2		
graft_node	PTN000919750		2	2	0	0	2		
graft_node	PTN001064622		2	1	0	0	0		
graft_node	PTN001074738		3	1	0	0	1		
graft_node	PTN001238482		4	1	0	0	4		
graft_node	PTN001689347		3	1	0	0	3		
graft_node	PTN001821756		2	1	0	0	2		
graft_node	PTN001843603		4	1	0	0	3		
graft_node	PTN002016251		4	1	0	0	4		
graft_node	PTN002024784		2	1	0	0	2		
graft_node	PTN002230601		2	1	0	0	0		
graft_node	PTN002253341		3	1	0	0	1		
graft_node	PTN002254641		2	1	0	0	2		
graft_node	PTN002257160		2	1	0	0	1		
graft_node	PTN002258016		2	1	0	0	1		
graft_node	PTN002261394		4	1	0	0	4		
graft_node	PTN002263072		6	2	0	0	4		
graft_node	PTN002267994		2	1	0	0	1		
graft_node	PTN002269113		2	1	0	0	1		
graft_node	PTN002271201		2	1	0	0	1		
graft_node	PTN002272715		4	1	0	0	1		
graft_node	PTN002272723		4	1	0	0	1		
graft_node	PTN002272811		3	1	0	0	1		
graft_node	PTN002273776		2	1	0	0	2		
graft_node	PTN002273944		2	1	0	0	1		
graft_node	PTN002277013		2	1	0	0	2		
graft_node	PTN002277990		2	1	0	0	0		
graft_node	PTN002279672		3	1	0	0	2		
graft_node	PTN002306877		2	1	0	0	2		
graft_node	PTN002326142		2	1	0	0	1		
graft_node	PTN002326258		2	1	0	0	2		
graft_node	PTN002326603		3	1	0	0	1		
graft_node	PTN002326788		2	1	0	0	1		
graft_node	PTN002327321		2	1	0	0	1		
graft_node	PTN002338188		2	1	0	0	2		
graft_node	PTN002351796		3	1	0	0	3		
graft_node	PTN002361263		2	1	0	0	1		
graft_node	PTN002361476		2	1	0	0	2		
graft_node	PTN002361873		2	1	0	0	1		
graft_node	PTN002403495		3	1	0	0	2		
graft_node	PTN002403572		3	1	0	0	1		
graft_node	PTN002409084		2	1	0	0	1		
graft_node	PTN002409593		2	1	0	0	2		
graft_node	PTN002410414		3	1	0	0	3		
graft_node	PTN002412111		2	1	0	0	2		
graft_node	PTN002412113		2	1	0	0	2		
graft_node	PTN002412671		4	1	0	0	3		
graft_node	PTN002412765		2	1	0	0	2		
graft_node	PTN002420056		2	1	0	0	1		
graft_node	PTN002437140		2	1	0	0	2		
graft_node	PTN002439139		3	1	0	0	3		
graft_node	PTN002439462		4	1	0	0	3		
graft_node	PTN002443910		2	1	0	0	2		
graft_node	PTN002446150		2	1	0	0	0		
graft_node	PTN002449569		2	1	0	0	1		
graft_node	PTN002453800		2	1	0	0	2		
graft_node	PTN002455742		3	1	0	0	1		
graft_node	PTN002456216		2	1	0	0	1		
graft_node	PTN002456466		2	2	0	0	0		
graft_node	PTN002458362		2	1	0	0	0		
graft_node	PTN002458705		2	1	0	0	0		
graft_node	PTN002459120		2	1	0	0	2		
graft_node	PTN002459382		3	1	0	0	2		
graft_node	PTN002459614		3	1	0	0	1		
graft_node	PTN002459630		2	1	0	0	0		
graft_node	PTN002460846		2	1	0	0	0		
graft_node	PTN002464842		2	1	0	0	1		
graft_node	PTN002466301		2	1	0	0	2		
graft_node	PTN002629819		3	1	0	0	3		
graft_node	PTN002720962		2	1	0	0	2		
graft_node	PTN002721176		3	1	0	0	2		
graft_node	PTN002930566		2	1	0	0	2		
graft_node	PTN004151252		2	2	0	0	2		
graft_node	PTN004256478		2	1	0	0	1		
graft_node	PTN004292120		2	1	0	0	2		
graft_node	PTN004359638		2	1	0	0	2		
graft_node	PTN004743948		2	1	0	0	0		
graft_node	PTN004744464		3	1	0	0	1		
graft_node	PTN004927530		2	1	0	0	1		
graft_node	PTN004927531		2	1	0	0	1		
graft_node	PTN004927553		2	1	0	0	1		
graft_node	PTN005125768		2	1	0	0	2		
graft_node	PTN007517786		2	1	0	0	1		
graft_node	PTN007685418		2	1	0	0	2		
graft_node	PTN007729058		7	1	0	0	5		
graft_node	PTN008511651		3	1	0	0	1		
graft_node	PTN008518476		2	1	0	0	1		
graft_node	PTN008946252		3	1	0	0	0		
graft_node	PTN009166675		2	1	0	0	2		
graft_node	PTN009208344		2	1	0	0	1		
subfamily	PTHR10210:SF41	RIBOSE-PHOSPHATE PYROPHOSPHOKINASE 1, CHLOROPLASTIC	2	1	0	0	0		
subfamily	PTHR10353:SF216	BETA-GLUCOSIDASE 18-LIKE ISOFORM X1	2	2	0	0	2		
subfamily	PTHR10357:SF216	MALTOOLIGOSYL TREHALOSE SYNTHASE-RELATED	2	1	0	0	1		
subfamily	PTHR10491:SF4	METHIONINE ADENOSYLTRANSFERASE 2 SUBUNIT BETA	5	3	0	0	2		
subfamily	PTHR11070:SF2	ATP-DEPENDENT DNA HELICASE SRS2	3	1	0	0	1		
subfamily	PTHR11070:SF23	RECBCD ENZYME SUBUNIT RECB	3	1	0	0	1		
subfamily	PTHR11098:SF1	NICOTINATE PHOSPHORIBOSYLTRANSFERASE	2	1	0	0	2		
subfamily	PTHR11207:SF0	RIBONUCLEASE 3	2	1	0	0	1		
subfamily	PTHR11223:SF3	EXPORTIN-5	5	1	0	0	5		
subfamily	PTHR11252:SF0	POLYRIBONUCLEOTIDE NUCLEOTIDYLTRANSFERASE 1, MITOCHONDRIAL	2	1	0	0	1		
subfamily	PTHR11404:SF6	SUPEROXIDE DISMUTASE [MN], MITOCHONDRIAL	3	2	0	0	2		
subfamily	PTHR11406:SF23	PHOSPHOGLYCERATE KINASE 1, CHLOROPLASTIC-RELATED	4	1	0	0	4		
subfamily	PTHR11407:SF28	LYSOZYME C	2	1	0	0	2		
subfamily	PTHR11430:SF76	MAJOR URINARY PROTEIN 1-RELATED	3	3	0	0	3		
subfamily	PTHR11444:SF1	FUMARATE HYDRATASE, MITOCHONDRIAL	2	1	0	0	1		
subfamily	PTHR11458:SF1	DELTA-AMINOLEVULINIC ACID DEHYDRATASE	3	1	0	0	3		
subfamily	PTHR11465:SF61	CATALASE	2	1	0	0	1		
subfamily	PTHR11469:SF1	GLUCOSE-6-PHOSPHATE ISOMERASE	6	2	0	0	4		
subfamily	PTHR11604:SF25	PROFILIN-5	2	1	0	0	1		
subfamily	PTHR11647:SF1	COLLAPSIN RESPONSE MEDIATOR PROTEIN	2	1	0	0	1		
subfamily	PTHR11680:SF35	SERINE HYDROXYMETHYLTRANSFERASE 1	2	1	0	0	1		
subfamily	PTHR11703:SF0	DEOXYHYPUSINE SYNTHASE	2	1	0	0	2		
subfamily	PTHR11709:SF394	FI03373P-RELATED	2	2	0	0	0		
subfamily	PTHR11727:SF7	DIMETHYLADENOSINE TRANSFERASE-RELATED	6	4	0	0	6		
subfamily	PTHR11728:SF1	GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(+)] 2, CHLOROPLASTIC	2	1	0	0	1		
subfamily	PTHR11773:SF1	GLYCINE DEHYDROGENASE (DECARBOXYLATING), MITOCHONDRIAL	8	2	0	0	5		
subfamily	PTHR11773:SF13	GLYCINE DEHYDROGENASE (DECARBOXYLATING)	4	1	0	0	1		
subfamily	PTHR11777:SF9	ALANINE--TRNA LIGASE, CYTOPLASMIC	3	1	0	0	1		
subfamily	PTHR11808:SF15	CYSTATHIONINE GAMMA-LYASE	3	1	0	0	1		
subfamily	PTHR11815:SF10	SUCCINATE--COA LIGASE [GDP-FORMING] SUBUNIT BETA, MITOCHONDRIAL	2	1	0	0	1		
subfamily	PTHR11921:SF29	SUCCINATE DEHYDROGENASE [UBIQUINONE] IRON-SULFUR SUBUNIT, MITOCHONDRIAL	5	2	0	0	5		
subfamily	PTHR11934:SF0	RIBOSE-5-PHOSPHATE ISOMERASE	2	1	0	0	0		
subfamily	PTHR11995:SF14	NADH DEHYDROGENASE [UBIQUINONE] IRON-SULFUR PROTEIN 7, MITOCHONDRIAL	3	1	0	0	2		
subfamily	PTHR12167:SF2	C-TYPE NATRIURETIC PEPTIDE	2	1	0	0	2		
subfamily	PTHR12412:SF2	NUCLEAR CAP-BINDING PROTEIN SUBUNIT 1	2	1	0	0	2		
subfamily	PTHR13847:SF289	GLYCINE OXIDASE	2	2	0	0	0		
subfamily	PTHR14269:SF62	CDP-DIACYLGLYCEROL--GLYCEROL-3-PHOSPHATE 3-PHOSPHATIDYLTRANSFERASE 1, CHLOROPLASTIC	2	1	0	0	2		
subfamily	PTHR15004:SF0	GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE SUBUNIT C, MITOCHONDRIAL	2	1	0	0	1		
subfamily	PTHR20863:SF76	CARRIER DOMAIN-CONTAINING PROTEIN	3	1	0	0	1		
subfamily	PTHR21060:SF21	ACETATE KINASE	2	1	0	0	2		
subfamily	PTHR21085:SF0	CHORISMATE SYNTHASE	2	1	0	0	1		
subfamily	PTHR21089:SF1	BIFUNCTIONAL 3-DEHYDROQUINATE DEHYDRATASE_SHIKIMATE DEHYDROGENASE, CHLOROPLASTIC	6	1	0	0	5		
subfamily	PTHR21089:SF9	SHIKIMATE DEHYDROGENASE-LIKE PROTEIN HI_0607	4	1	0	0	3		
subfamily	PTHR21091:SF169	UROPORPHYRINOGEN DECARBOXYLASE	2	1	0	0	2		
subfamily	PTHR21139:SF42	TRIOSEPHOSPHATE ISOMERASE	3	1	0	0	1		
subfamily	PTHR21248:SF23	CARDIOLIPIN SYNTHASE B	3	2	0	0	1		
subfamily	PTHR21708:SF26	2-DEHYDROPANTOATE 2-REDUCTASE	2	2	0	0	2		
subfamily	PTHR22855:SF13	METHYLCROTONOYL-COA CARBOXYLASE BETA CHAIN, MITOCHONDRIAL	2	1	0	0	2		
subfamily	PTHR23065:SF57	GROWTH ARREST-SPECIFIC PROTEIN 7	7	1	0	0	5		
subfamily	PTHR23152:SF4	2-OXOADIPATE DEHYDROGENASE COMPLEX COMPONENT E1	3	1	0	0	3		
subfamily	PTHR23407:SF1	5-FORMYLTETRAHYDROFOLATE CYCLO-LIGASE	2	1	0	0	1		
subfamily	PTHR23420:SF0	ADENOSYLHOMOCYSTEINASE	2	1	0	0	2		
subfamily	PTHR24056:SF174	CYCLIN-DEPENDENT KINASE 16	5	1	0	0	1		
subfamily	PTHR30042:SF2	POTASSIUM-TRANSPORTING ATPASE KDPC SUBUNIT	2	1	0	0	2		
subfamily	PTHR30050:SF2	CHROMOSOMAL REPLICATION INITIATOR PROTEIN DNAA	2	1	0	0	1		
subfamily	PTHR30075:SF2	GLYCINE--TRNA LIGASE, CHLOROPLASTIC_MITOCHONDRIAL 2	2	2	0	0	0		
subfamily	PTHR30115:SF20	NITROGEN REGULATORY PROTEIN GLNK	2	1	0	0	2		
subfamily	PTHR30231:SF41	DNA POLYMERASE III SUBUNIT EPSILON	3	1	0	0	3		
subfamily	PTHR30258:SF27	BACTERIOPHAGE ADSORPTION PROTEIN B-RELATED	4	1	0	0	4		
subfamily	PTHR30404:SF0	N-ACETYLMURAMOYL-L-ALANINE AMIDASE AMIC	7	2	0	0	7		
subfamily	PTHR30489:SF0	LIPOPROTEIN-RELEASING SYSTEM TRANSMEMBRANE PROTEIN LOLE	4	2	0	0	4		
subfamily	PTHR30543:SF21	NAD(P)H-DEPENDENT FMN REDUCTASE LOT6	2	1	0	0	0		
subfamily	PTHR30555:SF0	CATALASE-PEROXIDASE	3	1	0	0	1		
subfamily	PTHR30560:SF3	TRIGGER FACTOR-LIKE PROTEIN TIG, CHLOROPLASTIC	4	1	0	0	3		
subfamily	PTHR30573:SF0	QUINOLINATE SYNTHASE, CHLOROPLASTIC	2	1	0	0	2		
subfamily	PTHR30633:SF0	CYTOCHROME C-552	2	1	0	0	2		
subfamily	PTHR31637:SF0	2,3-BISPHOSPHOGLYCERATE-INDEPENDENT PHOSPHOGLYCERATE MUTASE	2	1	0	0	1		
subfamily	PTHR32179:SF3	NICOTINATE-NUCLEOTIDE PYROPHOSPHORYLASE [CARBOXYLATING]	6	3	0	0	3		
subfamily	PTHR34182:SF1	PROTEIN-EXPORT MEMBRANE PROTEIN SECG	2	1	0	0	2		
subfamily	PTHR34772:SF1	RNA-BINDING PROTEIN HFQ	3	1	0	0	3		
subfamily	PTHR34874:SF3	SULFURTRANSFERASE TUSD	4	1	0	0	3		
subfamily	PTHR37010:SF1	SULFURTRANSFERASE TUSE	2	1	0	0	2		
subfamily	PTHR38761:SF1	GLUTAMATE--CYSTEINE LIGASE	2	1	0	0	0		
subfamily	PTHR42681:SF1	MALONYL-COA-ACYL CARRIER PROTEIN TRANSACYLASE, MITOCHONDRIAL	2	1	0	0	2		
subfamily	PTHR43069:SF2	FUMARYLACETOACETASE	2	1	0	0	2		
subfamily	PTHR43070:SF5	HOMOSERINE DEHYDROGENASE	2	1	0	0	2		
subfamily	PTHR43178:SF2	DIHYDROLIPOYLLYSINE-RESIDUE ACETYLTRANSFERASE COMPONENT OF PYRUVATE DEHYDROGENASE COMPLEX	3	1	0	0	1		
subfamily	PTHR43209:SF1	TRNA SULFURTRANSFERASE	2	1	0	0	1		
subfamily	PTHR43232:SF2	MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN B	2	2	0	0	0		
subfamily	PTHR43344:SF2	PHOSPHOSERINE PHOSPHATASE	2	1	0	0	0		
subfamily	PTHR43369:SF2	PHOSPHORIBOSYLGLYCINAMIDE FORMYLTRANSFERASE	2	1	0	0	0		
subfamily	PTHR43396:SF3	FLAVOHEMOPROTEIN	2	1	0	0	2		
subfamily	PTHR43416:SF5	DIHYDROLIPOYLLYSINE-RESIDUE SUCCINYLTRANSFERASE COMPONENT OF 2-OXOGLUTARATE DEHYDROGENASE COMPLEX, MITOCHONDRIAL	2	1	0	0	2		
subfamily	PTHR43418:SF4	MULTIFUNCTIONAL TRYPTOPHAN BIOSYNTHESIS PROTEIN	3	1	0	0	2		
subfamily	PTHR43434:SF1	PHOSPHOGLYCOLATE PHOSPHATASE	2	1	0	0	0		
subfamily	PTHR43434:SF24	HYDROLASE-RELATED	3	1	0	0	1		
subfamily	PTHR43522:SF2	TRANSKETOLASE 1-RELATED	2	1	0	0	0		
subfamily	PTHR43765:SF2	2-DEHYDROPANTOATE 2-REDUCTASE	2	1	0	0	1		
subfamily	PTHR43778:SF2	PYRUVATE CARBOXYLASE, MITOCHONDRIAL	2	1	0	0	2		
subfamily	PTHR43829:SF9	AQUAPORIN-9	2	1	0	0	2		
subfamily	PTHR45569:SF1	SENSOR PROTEIN KDPD	2	2	0	0	2		
subfamily	PTHR45639:SF2	HEAT SHOCK PROTEIN 105 KDA	3	1	0	0	1		
subfamily	PTHR45745:SF1	PHOSPHOGLUCOMUTASE 2B-RELATED	2	1	0	0	0		
subfamily	PTHR45754:SF3	METHYLENETETRAHYDROFOLATE REDUCTASE (NADPH)	3	2	0	0	3		
subfamily	PTHR46499:SF1	QUEUINE TRNA-RIBOSYLTRANSFERASE	2	1	0	0	1		
subfamily	PTHR46908:SF4	TUMOR NECROSIS FACTOR-INDUCIBLE GENE 6 PROTEIN	2	1	0	0	2		
subfamily	PTHR47219:SF15	TBC1 DOMAIN FAMILY MEMBER 12 ISOFORM X1	2	1	0	0	1		
subfamily	PTHR47878:SF1	FLAVODOXIN_FERREDOXIN--NADP REDUCTASE	2	1	0	0	0		
subfamily	PTHR48069:SF3	DIHYDROFOLATE REDUCTASE	2	1	0	0	1		
subfamily	PTHR48099:SF5	C-1-TETRAHYDROFOLATE SYNTHASE, CYTOPLASMIC	2	2	0	0	2		
subfamily	PTHR48111:SF1	TWO-COMPONENT RESPONSE REGULATOR ORR33	4	1	0	0	2		
subfamily	PTHR48111:SF22	REGULATOR OF RPOS	3	1	0	0	1		
