organism	gene	uniprot	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental
STAHA	lnuA	P06107	161	2	X-ray	1.82	1.000	0	0	0	0	0
THLAR	TFP	G1FNI6	348	2	X-ray	1.42	1.000	2	1	0	3	1
human	AAAS	Q9NRG9	546	2	EM	12.00	1.000	2	3	8	13	1
human	ABCD3	P28288	659	2	EM	2.96	0.926	23	8	17	48	1
human	ACAD9	Q9H845	621	2	EM	3.10	0.940	13	3	10	26	1
human	ADM2	Q7Z4H4	148	2	EM;X-ray	2.05	0.318	2	5	1	8	1
human	AFG3L2	Q9Y4W6	797	2	EM;NMR	3.00	0.660	19	18	8	45	1
human	AGO3	Q9H9G7	860	2	X-ray	3.28	1.000	15	8	5	28	1
human	AGR2	O95994	175	2	NMR		0.771	104	12	7	123	1
human	AHCTF1	Q8WYP5	2266	2	EM	12.00	1.000	0	2	13	15	1
human	AMBRA1	Q9C0C7	1298	2	EM	3.08	0.804	31	21	10	62	1
human	AREL1	O15033	823	2	X-ray	2.40	0.471	4	5	1	10	1
human	ASCC2	Q9H1I8	757	2	NMR;X-ray	2.70	0.572	6	7	9	22	1
human	ASCC3	Q8N3C0	2202	2	EM;X-ray	2.70	0.818	14	7	10	31	1
human	ATAD1	Q8NBU5	361	2	EM	3.20	0.886	0	1	2	3	1
human	ATL3	Q6DD88	541	2	X-ray	2.10	0.780	8	7	12	27	1
human	ATP6V0A4	Q9HBG4	840	2	EM	3.00	1.000	7	5	8	20	1
human	AUP1	Q9Y679	410	2	NMR;X-ray	1.74	0.132	9	9	14	32	1
human	BACH2	Q9BYV9	841	2	X-ray	2.10	0.144	58	1	2	61	1
human	BAIAP2L1	Q9UHR4	511	2	NMR		0.125	13	2	4	19	1
human	CAMLG	P49069	296	2	EM	3.20	0.378	32	6	8	46	1
human	CAPG	P40121	348	2	X-ray	2.50	1.000	7	0	11	18	1
human	CHMP2A	O43633	222	2	EM	3.30	0.662	36	35	13	84	1
human	CHMP4A	Q9BY43	222	2	X-ray	2.15	0.081	22	28	20	70	1
human	CHMP6	Q96FZ7	201	2	NMR;X-ray	2.00	0.189	19	20	11	50	1
human	CLU	P10909	449	2	X-ray	2.80	0.951	38	37	30	105	1
human	CNOT4	O95628	575	2	NMR		0.136	8	3	1	12	1
human	COP1	Q8NHY2	731	2	X-ray	2.00	0.487	14	5	1	20	1
human	DNAJB8	Q8NHS0	232	2	NMR;X-ray	0.75	0.341	5	2	2	9	1
human	DNAJC1	Q96KC8	554	2	NMR		0.108	17	1	0	18	1
human	DNAJC3	Q13217	504	2	X-ray	3.00	0.847	0	2	0	2	1
human	DNAJC5	Q9H3Z4	198	2	NMR		0.505	2	0	2	4	1
human	DNAJC9	Q8WXX5	260	2	X-ray	1.80	0.304	19	2	8	29	1
human	DPEP1	P16444	411	2	X-ray	2.00	0.898	12	5	3	20	1
human	EDF1	O60869	148	2	EM;NMR	2.90	0.743	19	1	4	24	1
human	EMC9	Q9Y3B6	208	2	EM;X-ray	2.20	1.000	11	5	2	18	1
human	ENPP4	Q9Y6X5	453	2	X-ray	1.50	0.865	1	2	0	3	1
human	ENPP7	Q6UWV6	458	2	X-ray	2.40	0.900	11	5	3	19	1
human	ERO1A	Q96HE7	468	2	X-ray	2.35	0.955	10	3	4	17	1
human	ERP27	Q96DN0	273	2	NMR;X-ray	2.20	0.832	16	0	1	17	1
human	FBXO7	Q9Y3I1	522	2	X-ray	2.00	0.299	32	16	30	78	1
human	GADD45G	O95257	159	2	X-ray	2.30	1.000	40	3	2	45	1
human	GIGYF1	O75420	1035	2	X-ray	1.79	0.069	43	0	1	44	1
human	GLRX5	Q86SX6	157	2	NMR;X-ray	2.40	0.739	5	2	3	10	1
human	GP9	P14770	177	2	EM;X-ray	2.35	0.910	4	3	0	7	1
human	GPC2	Q8N158	579	2	EM;X-ray	3.30	0.969	1	0	1	2	1
human	GSS	P48637	474	2	X-ray	1.59	1.000	9	0	1	10	1
human	HES1	Q14469	280	2	NMR		0.246	3	8	1	12	1
human	HSPB7	Q9UBY9	170	2	X-ray	2.18	0.500	29	0	2	31	1
human	HSPG2	P98160	4391	2	X-ray	1.50	0.044	6	0	0	6	1
human	KCTD12	Q96CX2	325	2	X-ray	1.98	0.388	2	0	0	2	1
human	LTN1	O94822	1766	2	EM	3.00	1.000	4	2	5	11	1
human	NAA30	Q147X3	362	2	EM	3.10	0.420	5	1	7	13	1
human	NAA35	Q5VZE5	725	2	EM	3.10	1.000	6	1	5	12	1
human	NCOA4	Q13772	614	2	EM;X-ray	2.30	0.026	8	1	1	10	1
human	NEMF	O60524	1076	2	EM	3.00	1.000	3	8	5	16	1
human	NFU1	Q9UMS0	254	2	NMR		0.382	26	3	6	35	1
human	NOVA2	Q9UNW9	492	2	X-ray	2.00	0.175	2	3	0	5	1
human	NPLOC4	Q8TAT6	608	2	X-ray	2.72	0.773	20	4	6	30	1
human	PAX6	P26367	422	2	NMR;X-ray	2.50	0.315	102	12	4	118	1
human	PEX3	P56589	373	2	X-ray	2.42	0.893	29	5	9	43	1
human	POLDIP2	Q9Y2S7	368	2	X-ray	2.80	0.864	6	1	4	11	1
human	RAB9A	P51151	201	2	X-ray	1.25	1.000	17	3	3	23	1
human	SAMM50	Q9Y512	469	2	X-ray	1.06	0.034	8	3	7	18	1
human	SCGB1A1	P11684	91	2	X-ray	2.29	0.780	13	0	1	14	1
human	SERP1	Q9Y6X1	66	2	EM	3.20	1.000	43	0	1	44	1
human	SPCS1	Q9Y6A9	169	2	EM	4.90	1.000	7	4	3	14	1
human	SPCS2	Q15005	226	2	EM	4.90	1.000	3	1	2	6	1
human	SPCS3	P61009	180	2	EM	4.90	1.000	12	3	3	18	1
human	THBS2	P35442	1172	2	X-ray	2.60	0.531	1	1	1	3	1
human	TOLLIP	Q9H0E2	274	2	NMR		0.193	93	5	2	100	1
human	TOMM70	O94826	608	2	EM;X-ray	2.20	1.000	19	5	8	32	1
human	TXNDC12	O95881	172	2	NMR;X-ray	1.20	0.872	14	1	2	17	1
human	UCK1	Q9HA47	277	2	X-ray	2.50	0.801	2	2	0	4	1
human	UPF3A	Q9H1J1	476	2	NMR;X-ray	2.95	0.313	14	3	2	19	1
human	USP10	Q14694	798	2	X-ray	2.34	0.029	54	19	11	84	1
mouse	Cdc42	P60766	191	2	X-ray	2.50	1.000	32	29	21	82	1
mouse	Jak1	P52332	1153	2	EM	3.60	1.000	9	10	0	19	1
mouse	Src	P05480	535	2	X-ray	1.95	0.843	45	47	17	109	1
mouse	Syk	P48025	629	2	NMR		0.021	30	60	3	93	1
rat	Alpi	P15693	540	2	X-ray	2.21	0.893	9	1	2	12	1
rat	Gsta1	P00502	222	2	X-ray	2.20	0.995	9	1	1	11	1
rat	Gsta2	P04903	222	2	X-ray	1.60	0.631	3	1	1	5	1
rat	Qdpr	P11348	241	2	X-ray	2.30	1.000	6	8	0	14	1
worm	cgh-1	Q95YF3	430	2	X-ray	1.85	0.533	5	6	7	18	1
worm	cmd-1	O16305	149	2	X-ray	2.11	1.000	1	10	4	15	1
worm	daf-21	Q18688	702	2	X-ray	2.15	0.319	16	12	4	32	1
worm	hsp-1	P09446	640	2	X-ray	3.20	0.155	7	4	3	14	1
worm	hsp-90	Q18688	702	2	X-ray	2.15	0.319	16	12	4	32	1
worm	tir-1	Q86DA5	981	2	EM	2.68	0.725	9	18	4	31	1
yeast	PNC1	P53184	216	2	X-ray	2.71	1.000	1	4	3	8	1
yeast	SET1	P38827	1080	2	EM;X-ray	3.00	0.295	56	25	21	102	1
yeast	SIR2	P06700	562	2	X-ray	1.85	0.847	26	19	7	52	1
yeast	TIM10	P87108	93	2	EM;X-ray	2.50	1.000	10	4	5	19	1
yeast	TIM9	O74700	87	2	EM;X-ray	2.50	1.000	4	6	6	16	1
yeast	VMA22	P38784	181	2	EM	2.60	1.000	2	2	1	5	1
ACET2	P15329	P15329	224	1	X-ray	1.40	0.629	0	0	0	0	0
ACET2	Q01866	Q01866	772	1	X-ray	2.11	0.000	0	0	0	0	0
ACET2	ancA	Q06848	447	1	X-ray	1.95	0.327	0	0	0	0	0
ACET2	celD	A3DDN1	649	1	X-ray	2.90	0.102	0	0	0	0	0
ARATH	AG	P17839	252	1	X-ray	2.40	0.373	13	4	1	18	1
ARATH	AT5G05410	O82132	335	1	NMR		0.054	18	8	4	30	1
ARATH	EIN3	O24606	628	1	X-ray	1.78	0.212	8	6	1	15	1
ARATH	GI	Q9SQI2	1173	1	X-ray	3.50	0.693	22	9	3	34	1
ARATH	HEN1	Q9C5Q8	942	1	X-ray	3.10	1.000	2	8	2	12	1
ARATH	MYC2	Q39204	623	1	X-ray	2.70	0.128	50	16	4	70	1
ARATH	SVP	Q9FVC1	240	1	X-ray	2.21	0.421	20	3	1	24	1
ARATH	TFL1	P93003	177	1	X-ray	1.80	1.000	1	4	6	11	1
ARATH	WRI1	Q6X5Y6	430	1	X-ray	2.35	0.581	3	8	0	11	1
BACSU	aadK	P17585	284	1	X-ray	2.65	0.996	5	3	1	9	1
BACSU	minC	Q01463	226	1	NMR		0.451	1	1	0	2	1
BACSU	sigE	P06222	239	1	X-ray	2.38	0.343	0	0	0	0	0
BACSU	spo0A	P06534	267	1	X-ray	2.30	0.449	0	5	0	5	1
BACSU	spoVAD	P40869	338	1	X-ray	2.50	1.000	0	0	2	2	1
BPT4	37	P03744	1026	1	X-ray	2.20	0.236	0	0	0	0	0
BPT4	48	P13339	364	1	EM	4.11	1.000	0	0	1	1	1
BPT4	54	P13341	320	1	EM	4.11	1.000	0	0	1	1	1
BPT4	arn	P39510	92	1	X-ray	1.90	1.000	0	0	0	0	0
BPT4	denA	P07059	136	1	X-ray	1.90	1.000	0	0	0	0	0
BPT4	frd	P04382	193	1	X-ray	1.70	1.000	1	0	0	1	1
BPZF4	AcrF8	H9C181	92	1	EM	3.42	1.000	0	0	0	0	0
CHLRE	LCI5	Q94ET8	321	1	EM	2.13	0.075	0	0	0	0	0
DANRE	cryaa	Q8UUZ6	173	1	X-ray	1.75	0.613	2	2	0	4	1
DANRE	he1.2	Q1LW01	263	1	X-ray	1.10	0.757	3	3	1	7	1
DORPE	cpx	Q95PA1	152	1	X-ray	2.95	0.487	0	0	0	0	0
ECOLI	RidA	P0AF93	128	1	X-ray	1.20	1.000	3	2	3	8	1
ECOLI	glgX	P15067	657	1	X-ray	2.25	1.000	0	0	0	3	1
ECOLI	lpd	P0A9P0	474	1	X-ray	2.50	1.000	0	0	0	27	1
KLEPN	rmtF	I1YZZ5	259	1	X-ray	1.85	1.000	0	0	0	0	0
MEDTR	NFP	Q0GXS4	595	1	X-ray	2.55	0.370	2	10	2	14	1
METEA	mxaG	P14774	197	1	X-ray	1.60	0.873	0	0	0	0	0
METEA	pqqE	P71517	384	1	X-ray	3.20	0.971	0	0	0	0	0
METEA	xoxJ	C5B122	284	1	X-ray	2.27	1.000	0	0	0	0	0
ORYSJ	HD3A	Q93WI9	179	1	X-ray	2.40	0.922	0	9	0	9	1
POPTR	PRX2	A9PCL4	162	1	X-ray	1.62	1.000	0	0	0	0	0
PSEPK	algK	Q88NC7	484	1	X-ray	2.46	0.934	0	0	0	0	0
PSEPK	aroE	Q88IJ7	272	1	X-ray	1.71	1.000	0	0	0	0	0
PSEPK	earP	Q88LS1	377	1	X-ray	2.29	0.997	1	0	0	1	1
PSEPK	galB	Q88JX8	258	1	X-ray	2.10	0.926	1	1	0	2	1
PSEPK	pcaB	Q88N37	450	1	X-ray	2.60	1.000	0	0	0	0	0
PSEPK	pobA	Q88H28	395	1	X-ray	2.20	1.000	0	0	0	0	0
PSEPK	quiC1	Q88JU3	635	1	X-ray	2.37	1.000	2	0	0	2	1
PSEPK	quiC1_qsuB	Q88JU3	635	1	X-ray	2.37	1.000	2	0	0	2	1
SCHPO	atg101	O13978	184	1	X-ray	3.00	1.000	3	2	3	8	1
SCHPO	atg13	O36019	758	1	X-ray	3.00	0.314	6	3	3	12	1
SCHPO	cdc15	Q09822	927	1	X-ray	3.52	0.317	24	11	21	56	1
SCHPO	dcr1	Q09884	1374	1	NMR		0.073	5	13	18	36	1
SCHPO	mad2	O14417	203	1	X-ray	2.30	1.000	9	9	12	30	1
SCHPO	mid1	P78953	920	1	X-ray	2.80	0.340	12	8	22	42	1
SCHPO	pap1	Q01663	552	1	X-ray	2.00	0.127	31	10	30	71	1
SCHPO	rad21	P30776	628	1	EM	3.94	1.000	3	12	15	30	1
SCHPO	slp1	P78972	488	1	X-ray	2.30	0.822	12	8	3	23	1
SOLLC	PR1B1	P04284	159	1	NMR		0.849	0	0	0	0	0
human	ABCB7	O75027	752	1	EM	3.30	0.904	6	5	3	14	1
human	ACIN1	Q9UKV3	1341	1	X-ray	1.65	0.069	15	5	6	26	1
human	AGK	Q53H12	422	1	EM	3.70	1.000	7	3	11	21	1
human	AGO4	Q9HCK5	861	1	X-ray	1.90	1.000	11	7	5	23	1
human	AGR3	Q8TD06	166	1	X-ray	1.83	0.861	33	0	1	34	1
human	AGRN	O00468	2068	1	EM	3.80	1.000	2	2	2	6	1
human	AKIRIN2	Q53H80	203	1	EM	2.80	1.000	16	3	3	22	1
human	AKTIP	Q9H8T0	292	1	EM	3.20	1.000	26	7	6	39	1
human	ANKS6	Q68DC2	871	1	X-ray	1.50	0.080	27	0	0	27	1
human	AP4B1	Q9Y6B7	739	1	NMR		0.176	3	0	4	7	1
human	APIP	Q96GX9	242	1	X-ray	2.00	0.921	33	6	1	40	1
human	ARSB	P15848	533	1	X-ray	2.50	0.923	2	3	0	5	1
human	ASAH2	Q9NR71	780	1	X-ray	2.58	0.874	9	18	4	31	1
human	ASCC1	Q8N9N2	400	1	X-ray	2.80	0.470	4	1	6	11	1
human	ATF4	P18848	351	1	X-ray	2.60	0.177	131	35	15	181	1
human	BOLA3	Q53S33	107	1	NMR		0.757	12	0	2	14	1
human	CAND2	O75155	1236	1	EM	3.49	1.000	6	0	1	7	1
human	CCDC47	Q96A33	483	1	EM	3.84	1.000	15	5	8	28	1
human	CFAP61	Q8NHU2	1237	1	EM	4.10	1.000	0	3	3	6	1
human	CGRRF1	Q99675	332	1	NMR		0.166	28	0	2	30	1
human	CHIC2	Q9UKJ5	165	1	X-ray	1.63	0.073	64	0	1	65	1
human	CHMP2B	Q9UQN3	213	1	NMR		0.089	13	28	16	57	1
human	CIAO1	O76071	339	1	X-ray	1.70	1.000	42	3	7	52	1
human	COMP	P49747	757	1	X-ray	3.15	0.704	27	4	2	33	1
human	COPG1	Q9Y678	874	1	X-ray	1.90	0.305	0	0	1	1	1
human	COX4I1	P13073	169	1	EM	3.60	0.852	9	0	5	14	1
human	COX5B	P10606	129	1	EM	3.60	0.760	44	0	3	47	1
human	COX6A1	P12074	109	1	EM	3.60	0.688	3	0	4	7	1
human	COX6B1	P14854	86	1	EM	3.60	0.953	0	0	4	4	1
human	CPT1C	Q8TCG5	803	1	NMR		0.062	2	0	1	3	1
human	CRISP2	P16562	243	1	NMR		0.148	0	0	0	0	0
human	DNAJA2	O60884	412	1	EM	6.90	1.000	15	1	1	17	1
human	DNAJB13	P59910	316	1	EM	4.10	1.000	12	1	5	18	1
human	DNAJB2	P25686	324	1	NMR		0.281	15	12	3	30	1
human	DNAJC12	Q9UKB3	198	1	NMR		0.500	3	0	1	4	1
human	DNAJC17	Q9NVM6	304	1	NMR		0.286	3	0	0	3	1
human	DNAJC24	Q6P3W2	149	1	NMR		0.993	3	1	0	4	1
human	DNAJC27	Q9NZQ0	273	1	NMR		0.282	2	0	0	2	1
human	DNAJC30	Q96LL9	226	1	NMR		0.381	25	0	1	26	1
human	DSCAM	O60469	2012	1	X-ray	1.85	0.144	8	2	0	10	1
human	ENDOU	P21128	410	1	X-ray	1.65	1.000	5	4	1	10	1
human	ENPP5	Q9UJA9	477	1	X-ray	2.60	0.851	2	0	0	2	1
human	ERLIN1	O75477	348	1	EM	3.00	0.994	22	6	5	33	1
human	ERLIN2	O94905	339	1	EM	3.00	1.000	15	6	7	28	1
human	FAF2	Q96CS3	445	1	NMR		0.121	18	4	7	29	1
human	FBXL3	Q9UKT7	428	1	X-ray	2.70	1.000	10	2	2	14	1
human	FBXO30	Q8TB52	745	1	NMR		0.117	2	0	0	2	1
human	FBXO41	Q8TF61	875	1	X-ray	1.98	0.008	0	0	0	0	0
human	FBXW8	Q8N3Y1	598	1	EM	2.80	1.000	12	7	11	30	1
human	GADD45A	P24522	165	1	NMR		1.000	25	11	4	40	1
human	GLMN	Q92990	594	1	X-ray	3.00	1.000	16	11	4	31	1
human	GMFG	O60234	142	1	X-ray	1.90	0.944	0	0	0	0	0
human	GMNC	A6NCL1	334	1	X-ray	2.20	0.254	1	0	0	1	1
human	HSCB	Q8IWL3	235	1	X-ray	3.00	0.877	28	1	4	33	1
human	HSPA1L	P34931	641	1	X-ray	1.80	0.602	9	2	2	13	1
human	HSPA6	P17066	643	1	X-ray	2.20	0.591	26	4	4	34	1
human	HSPB2	Q16082	182	1	X-ray	3.90	1.000	25	0	3	28	1
human	HSPB3	Q12988	150	1	X-ray	3.90	0.993	0	0	3	3	1
human	HSPB8	Q9UJY1	196	1	X-ray	1.95	0.418	36	2	6	44	1
human	IFIT2	P09913	472	1	X-ray	2.80	1.000	11	5	3	19	1
human	IFIT3	O14879	490	1	X-ray	2.54	0.090	37	4	6	47	1
human	IFNL4	K9M1U5	179	1	EM	3.26	0.888	1	2	2	5	1
human	IGFBP3	P17936	291	1	EM	3.60	0.907	13	7	3	23	1
human	INTU	Q9ULD6	942	1	EM	3.35	0.999	4	3	4	11	1
human	KCTD8	Q6ZWB6	473	1	X-ray	2.80	0.258	2	0	0	2	1
human	LRPPRC	P42704	1394	1	EM	2.85	1.000	17	2	11	30	1
human	MAP7	Q14244	749	1	EM	3.30	1.000	8	0	2	10	1
human	MLEC	Q14165	292	1	EM	3.50	1.000	7	0	0	7	1
human	MVB12A	Q96EY5	273	1	X-ray	2.19	0.084	8	3	8	19	1
human	MVB12B	Q9H7P6	319	1	X-ray	1.34	0.458	6	3	8	17	1
human	NAA38	Q9BRA0	125	1	EM	3.64	1.000	7	1	6	14	1
human	NDUFA4	O00483	81	1	EM	3.60	0.975	4	0	4	8	1
human	OLA1	Q9NTK5	396	1	X-ray	2.70	1.000	3	1	3	7	1
human	OTUD3	Q5T2D3	398	1	X-ray	1.55	0.397	11	14	3	28	1
human	PARD6A	Q9NPB6	346	1	X-ray	1.50	0.237	36	3	5	44	1
human	PDGFA	P04085	211	1	X-ray	2.40	0.763	11	26	4	41	1
human	PGRMC1	O00264	195	1	X-ray	1.95	0.636	33	3	0	36	1
human	PHF23	Q9BUL5	403	1	X-ray	2.90	0.139	9	3	2	14	1
human	PLD4	Q96BZ4	506	1	X-ray	3.00	0.883	0	0	0	0	0
human	PPP2R1B	P30154	601	1	EM	3.20	1.000	27	2	1	30	1
human	PTS	Q03393	145	1	X-ray	2.30	0.959	23	0	2	25	1
human	RAB9B	Q9NP90	201	1	X-ray	2.20	0.891	4	1	1	6	1
human	RFXAP	O00287	272	1	NMR		0.217	13	3	4	20	1
human	RUBCN	Q92622	972	1	X-ray	2.80	0.258	38	4	5	47	1
human	RUNX3	Q13761	415	1	X-ray	2.80	0.022	17	4	6	27	1
human	SCN1A	P35498	2009	1	EM	3.30	1.000	4	2	4	10	1
human	SCO2	O43819	266	1	NMR		0.628	8	2	3	13	1
human	SDHC	Q99643	169	1	EM	2.86	1.000	5	0	1	6	1
human	SDHD	O14521	159	1	EM	2.86	1.000	1	1	2	4	1
human	SEC11A	P67812	179	1	EM	4.90	1.000	8	2	3	13	1
human	SEC11C	Q9BY50	192	1	EM	4.90	1.000	30	2	3	35	1
human	SEC62	Q99442	399	1	X-ray	2.00	0.040	2	3	2	7	1
human	SOCS4	Q8WXH5	440	1	X-ray	2.55	0.373	15	1	0	16	1
human	SOX9	P48436	509	1	X-ray	2.77	0.165	21	36	7	64	1
human	SPDL1	Q96EA4	605	1	X-ray	2.80	0.165	14	4	3	21	1
human	SPNS1	Q9H2V7	528	1	EM	3.22	0.896	2	1	2	5	1
human	SRPRB	Q9Y5M8	271	1	EM	3.20	1.000	3	0	4	7	1
human	SSR1	P43307	286	1	EM	7.60	1.000	7	0	1	8	1
human	SSR2	P43308	183	1	EM	7.60	1.000	1	0	0	1	1
human	STOM	P27105	288	1	NMR		0.378	81	0	7	88	1
human	STX12	Q86Y82	276	1	NMR		0.424	52	3	7	62	1
human	SYCE3	A1L190	88	1	X-ray	1.90	1.000	11	0	0	11	1
human	SYN3	O14994	580	1	X-ray	1.90	0.590	2	0	0	2	1
human	TIMM22	Q9Y584	194	1	EM	3.70	1.000	5	4	6	15	1
human	TIMM44	O43615	452	1	X-ray	1.90	0.414	9	0	5	14	1
human	TMEM67	Q5HYA8	995	1	EM	3.34	1.000	10	4	5	19	1
human	TPM3	P06753	285	1	X-ray	2.40	0.260	64	0	1	65	1
human	USO1	O60763	962	1	X-ray	2.22	0.600	6	0	1	7	1
human	UVRAG	Q9P2Y5	699	1	EM	9.80	1.000	48	12	10	70	1
human	VPS28	Q9UK41	221	1	X-ray	2.19	0.552	41	4	14	59	1
human	VPS37A	Q8NEZ2	397	1	NMR		0.322	25	1	6	32	1
human	VPS37B	Q9H9H4	285	1	X-ray	2.19	0.249	47	2	11	60	1
human	ZFYVE26	Q68DK2	2539	1	EM	4.02	1.000	13	7	10	30	1
mouse	Ang2	Q64438	145	1	X-ray	1.64	0.834	1	10	0	11	1
mouse	Brca1	P48754	1812	1	NMR		0.029	3	8	8	19	1
mouse	Cbl	P22682	913	1	NMR		0.044	25	9	4	38	1
mouse	F2rl2	O08675	369	1	X-ray	2.00	0.035	2	2	1	5	1
mouse	Frmpd2	A0A140LI67	1392	1	X-ray	1.80	0.068	0	0	0	0	0
mouse	Fyn	P39688	537	1	X-ray	1.98	0.304	52	47	11	110	1
mouse	Hras	Q61411	189	1	X-ray	3.30	0.884	10	29	0	39	1
mouse	Hspa8	P63017	646	1	X-ray	2.30	0.590	20	25	30	75	1
mouse	Rab7	P51150	207	1	X-ray	2.14	0.850	11	5	25	41	1
rat	Oaz1	P54370	227	1	NMR		0.555	3	7	2	12	1
rat	Ppp3r1	P63100	170	1	X-ray	3.00	0.994	0	0	0	0	0
rat	Rnase1	P00684	152	1	X-ray	2.50	0.809	0	0	0	0	0
worm	car-1	Q9XW17	340	1	X-ray	3.03	0.250	2	1	15	18	1
worm	epg-5	Q18892	2352	1	X-ray	1.60	0.005	0	2	1	3	1
worm	hsp-4	P20163	657	1	X-ray	1.85	0.227	1	4	1	6	1
worm	hsp-6	P11141	657	1	X-ray	1.72	0.225	0	2	1	3	1
worm	lbp-8	O02324	137	1	X-ray	1.30	1.000	3	1	2	6	1
worm	mex-5	Q9XUB2	468	1	NMR		0.075	6	2	4	12	1
worm	pgl-1	Q9TZQ3	730	1	X-ray	3.60	0.333	5	5	4	14	1
worm	skn-1	P34707	623	1	X-ray	2.50	0.135	12	39	7	58	1
yeast	CPR7	P47103	393	1	X-ray	1.80	1.000	22	1	1	24	1
yeast	ERG19	P32377	396	1	X-ray	2.27	1.000	4	2	0	6	1
yeast	HDA1	P53973	706	1	X-ray	2.72	0.343	17	5	4	26	1
yeast	HSP26	P15992	214	1	EM	7.80	1.000	31	2	3	36	1
yeast	SSA4	P22202	642	1	X-ray	1.60	0.011	12	4	2	18	1
yeast	SSZ1	P38788	538	1	EM	6.00	1.000	54	7	1	62	1
yeast	TIM22	Q12328	207	1	EM	3.83	0.995	5	5	4	14	1
yeast	TSA1	P34760	196	1	X-ray	2.80	1.000	17	30	3	50	1
yeast	UBP3	Q01477	912	1	X-ray	1.69	0.048	19	16	4	39	1
yeast	YAR1	P46683	200	1	X-ray	2.84	1.000	4	8	2	14	1
