scope	accession	gene	organism	caution_pmid	n_pos	positive_mf_terms
net_new	P40939	HADHA	Homo sapiens (Human)	8163672	1	GO:0016509 long-chain (3S)-3-hydrox(EXP)
net_new	P40999	pmt1	Schizosaccharomyces pombe (s	23074192	5	GO:0000049 tRNA binding(IC); GO:0016428 tRNA (cytidine-N5)-methy(IDA); GO:0016428 tRNA (cytidine-N5)-methy(IDA); GO:0016428 tRNA (cytidine-N5)-methy(IDA); GO:0016428 tRNA (cytidine-N5)-methy(IDA)
net_new	P41180	CASR	Homo sapiens (Human)	34194040	1	GO:0004930 G protein-coupled recept(IDA)
net_new	P41251	Slc11a1	Mus musculus (Mouse)	9730978	3	GO:0005381 iron ion transmembrane t(IDA); GO:0005384 manganese ion transmembr(IDA); GO:0051139 metal cation:proton anti(IDA)
net_new	P41407	azoR	Escherichia coli (strain K12	11583992	3	GO:0010181 FMN binding(IDA); GO:0042803 protein homodimerization(IDA); GO:0050446 azobenzene reductase (NA(IDA)
net_new	P41800	MMM1	Saccharomyces cerevisiae (st	19556461	1	GO:0140474 mitochondrion-endoplasmi(IDA)
net_new	P41958	ced-9	Caenorhabditis elegans	21949250	1	GO:0005515 protein binding(IPI)
net_new	P42677	RPS27	Homo sapiens (Human)	8407955	1	GO:0008270 zinc ion binding(NAS)
net_new	P42935	ELP2	Saccharomyces cerevisiae (st	11689709	5	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P42935	ELP2	Saccharomyces cerevisiae (st	15138274	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P43587	YPI1	Saccharomyces cerevisiae (st	14506263	2	GO:0004865 protein serine/threonine(IDA); GO:0004865 protein serine/threonine(IMP)
net_new	P43587	YPI1	Saccharomyces cerevisiae (st	18172024	2	GO:0072542 protein phosphatase acti(IGI); GO:0072542 protein phosphatase acti(IGI)
net_new	P45748	tsaC	Escherichia coli (strain K12	23072323	2	GO:0016779 nucleotidyltransferase a(IDA); GO:0061710 L-threonylcarbamoyladeny(IDA)
net_new	P46089	GPR3	Homo sapiens (Human)	12220620	1	GO:0038036 sphingosine-1-phosphate (TAS)
net_new	P46095	GPR6	Homo sapiens (Human)	12220620	1	GO:0038036 sphingosine-1-phosphate (TAS)
net_new	P46686	Tulp2	Mus musculus (Mouse)	7509194	1	GO:0008081 phosphoric diester hydro(ISS)
net_new	P46923	torZ	Escherichia coli (strain K12	8919859	1	GO:0043546 molybdopterin cofactor b(RCA)
net_new	P46948	SKI6	Saccharomyces cerevisiae (st	17173052	9	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	P47775	GPR12	Homo sapiens (Human)	12220620	1	GO:0038036 sphingosine-1-phosphate (TAS)
net_new	P47817	wee2-a	Xenopus laevis (African claw	7749193	1	GO:0004713 protein tyrosine kinase (IDA)
net_new	P48016	ATH1	Saccharomyces cerevisiae (st	19703229	1	GO:0004555 alpha,alpha-trehalase ac(IMP)
net_new	P48240	MTR3	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	P48962	Slc25a4	Mus musculus (Mouse)	11809823	1	GO:0005515 protein binding(IPI)
net_new	P49682	CXCR3	Homo sapiens (Human)	12782716	1	GO:0016493 C-C chemokine receptor a(IDA)
net_new	P49753	ACOT2	Homo sapiens (Human)	10944470	1	GO:0047617 fatty acyl-CoA hydrolase(IDA)
net_new	P49753	ACOT2	Homo sapiens (Human)	16940157	1	GO:0047617 fatty acyl-CoA hydrolase(IDA)
net_new	P49863	GZMK	Homo sapiens (Human)	39814882	2	GO:0004252 serine-type endopeptidas(IDA); GO:0004252 serine-type endopeptidas(IDA)
net_new	P51659	HSD17B4	Homo sapiens (Human)	9482850	3	GO:0004300 enoyl-CoA hydratase acti(IDA); GO:0018812 3-hydroxyacyl-CoA dehydr(IDA); GO:0106386 (3R)-3-hydroxyacyl-CoA d(IDA)
net_new	P52002	mexB	Pseudomonas aeruginosa (stra	9973347	1	GO:0015562 efflux transmembrane tra(IMP)
net_new	P52026	polA	Geobacillus stearothermophil	9016716	1	GO:0034061 DNA polymerase activity(EXP)
net_new	P52283	CVJIR	Paramecium bursaria Chlorell	8692682	1	GO:0009036 type II site-specific de(EXP)
net_new	P52477	mexA	Pseudomonas aeruginosa (stra	9973347	1	GO:0015562 efflux transmembrane tra(IMP)
net_new	P52789	HK2	Homo sapiens (Human)	26985301	1	GO:0004396 hexokinase activity(IDA)
net_new	P52789	HK2	Homo sapiens (Human)	29298880	2	GO:0004340 glucokinase activity(IDA); GO:0004396 hexokinase activity(EXP)
net_new	P53112	PEX14	Saccharomyces cerevisiae (st	9094717	4	GO:0030674 protein-macromolecule ad(IDA); GO:0030674 protein-macromolecule ad(IPI); GO:0030674 protein-macromolecule ad(IPI); GO:0030674 protein-macromolecule ad(IPI)
net_new	P53256	RRP46	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	P53859	CSL4	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	P53960	?	Saccharomyces cerevisiae (st	20010690	1	GO:0002196 Ser-tRNA(Ala) deacylase (IDA)
net_new	P53981	PYP1	Saccharomyces cerevisiae (st	30240188	3	GO:0043136 sn-glycerol 3-phosphatas(IDA); GO:0050286 sorbitol-6-phosphatase a(IDA); GO:0110130 ribitol-5-phosphatase ac(IDA)
net_new	P54582	betP	Corynebacterium glutamicum (	19262666	1	GO:0042802 identical protein bindin(IPI)
net_new	P54582	betP	Corynebacterium glutamicum (	22940865	1	GO:0042802 identical protein bindin(IPI)
net_new	P55316	FOXG1	Homo sapiens (Human)	7959731	1	GO:0003677 DNA binding(TAS)
net_new	P56511	ldh	Lactiplantibacillus pentosus	1425707	1	GO:0004459 L-lactate dehydrogenase (EXP)
net_new	P57737	CORO7	Homo sapiens (Human)	21130766	1	GO:0005515 protein binding(IPI)
net_new	P58416	comE	Methanocaldococcus jannaschi	10940029	2	GO:0030976 thiamine pyrophosphate b(IDA); GO:0050545 sulfopyruvate decarboxyl(IDA)
net_new	P58801	Ripk2	Mus musculus (Mouse)	19473975	2	GO:0004674 protein serine/threonine(IDA); GO:0106310 protein serine kinase ac(EXP)
net_new	P59103	DAOA	Homo sapiens (Human)	12364586	1	GO:0005515 protein binding(IPI)
net_new	P59103	DAOA	Homo sapiens (Human)	21679769	1	GO:0005515 protein binding(IPI)
net_new	P59326	Ythdf1	Mus musculus (Mouse)	30401835	1	GO:1990247 N6-methyladenosine-conta(IDA)
net_new	P59326	Ythdf1	Mus musculus (Mouse)	30728504	1	GO:1990247 N6-methyladenosine-conta(IDA)
net_new	P59326	Ythdf1	Mus musculus (Mouse)	30843071	1	GO:1990247 N6-methyladenosine-conta(IDA)
net_new	P60008	H1-9P	Homo sapiens (Human)	12920187	2	GO:0003676 nucleic acid binding(IDA); GO:0042393 histone binding(IDA)
net_new	P61366	OSTN	Homo sapiens (Human)	27830782	1	GO:0005179 hormone activity(IDA)
net_new	P62344	CDPK1	Plasmodium falciparum (isola	28680058	3	GO:0005515 protein binding(IPI); GO:0009931 calcium-dependent protei(IDA); GO:0106310 protein serine kinase ac(EXP)
net_new	P67910	hldD	Escherichia coli (strain K12	7929099	1	GO:0008712 ADP-glyceromanno-heptose(IDA)
net_new	P69795	chbB	Escherichia coli (strain K12	2092358	1	GO:0090566 protein-phosphocysteine-(RCA)
net_new	P70288	Hdac2	Mus musculus (Mouse)	18754010	4	GO:0003682 chromatin binding(IDA); GO:0004407 histone deacetylase acti(IDA); GO:0033558 protein lysine deacetyla(IDA); GO:0141221 histone deacetylase acti(EXP)
net_new	P70288	Hdac2	Mus musculus (Mouse)	20972425	1	GO:0019899 enzyme binding(IPI)
net_new	P71451	inlC	Listeria monocytogenes serot	24332715	1	GO:0005515 protein binding(IPI)
net_new	P75960	cobB	Escherichia coli (strain K12	10381378	1	GO:0003950 NAD+ poly-ADP-ribosyltra(IDA)
net_new	P76318	yedK	Escherichia coli (strain K12	30554877	3	GO:0003697 single-stranded DNA bind(IDA); GO:0160129 protein-DNA covalent cro(IDA); GO:0160129 protein-DNA covalent cro(IDA)
net_new	P76536	yfeX	Escherichia coli (strain K12	19564607	1	GO:0020037 heme binding(IDA)
net_new	P76536	yfeX	Escherichia coli (strain K12	22068980	2	GO:0004601 peroxidase activity(IDA); GO:0020037 heme binding(IDA)
net_new	P76773	ompL	Escherichia coli (strain K12	11080145	1	GO:0015288 porin activity(IDA)
net_new	P77243	prpD	Escherichia coli (strain K12	12473114	2	GO:0003994 aconitate hydratase acti(EXP); GO:0047547 2-methylcitrate dehydrat(IDA)
net_new	P78344	EIF4G2	Homo sapiens (Human)	9049310	1	GO:0008135 translation factor activ(TAS)
net_new	P78735	pepA	Penicillium janthinellum (Pe	10850809	1	GO:0004190 aspartic-type endopeptid(EXP)
net_new	P81299	cdc-14	Caenorhabditis elegans	12213836	2	GO:0004725 protein tyrosine phospha(TAS); GO:0016791 phosphatase activity(IDA)
net_new	P81299	cdc-14	Caenorhabditis elegans	15247923	1	GO:0004725 protein tyrosine phospha(TAS)
net_new	P81786	?	Moraxella sp. (strain TAE123	9660191	2	GO:0008106 alcohol dehydrogenase (N(IDA); GO:0008270 zinc ion binding(TAS)
net_new	P83221	cyp18	Streptomyces antibioticus	10400660	2	GO:0000287 magnesium ion binding(TAS); GO:0004519 endonuclease activity(IDA)
net_new	P85498	?	Albizia kalkora (Kalkora mim	18368297	1	GO:0004867 serine-type endopeptidas(IDA)
net_new	P86687	?	Polybia paulista (Neotropica	22519534	1	GO:0004415 hyalurononglucosaminidas(IDA)
net_new	P86702	?	Nautilus macromphalus (Belly	21585656	1	GO:0008061 chitin binding(IDA)
net_new	P86834	?	Hediste japonica (Polychaete	21276864	1	GO:0004252 serine-type endopeptidas(IDA)
net_new	P95989	rpo3	Saccharolobus solfataricus (	18235446	1	GO:0005515 protein binding(IPI)
net_new	P97480	Eya3	Mus musculus (Mouse)	14628042	2	GO:0004725 protein tyrosine phospha(EXP); GO:0008138 protein tyrosine/serine/(IDA)
net_new	P97610	Syt12	Rattus norvegicus (Rat)	17190793	1	GO:0005515 protein binding(IPI)
net_new	P9WGE7	sodB	Mycobacterium tuberculosis (	1904126	1	GO:0004784 superoxide dismutase act(IDA)
net_new	P9WGE7	sodB	Mycobacterium tuberculosis (	9933629	1	GO:0004784 superoxide dismutase act(EXP)
net_new	P9WIA9	plcD	Mycobacterium tuberculosis (	12100560	1	GO:0034480 phosphatidylcholine phos(IMP)
net_new	P9WIA9	plcD	Mycobacterium tuberculosis (	20736081	1	GO:0034480 phosphatidylcholine phos(EXP)
net_new	P9WIS5	kgd	Mycobacterium tuberculosis (	21867916	2	GO:0004149 dihydrolipoyllysine-resi(EXP); GO:0004591 oxoglutarate dehydrogena(EXP)
net_new	P9WIU5	arfA	Mycobacterium tuberculosis (	12366842	1	GO:0015288 porin activity(IMP)
net_new	P9WJA7	higA1	Mycobacterium tuberculosis (	19016878	1	GO:0097351 toxin sequestering activ(IPI)
net_new	P9WJB7	espR	Mycobacterium tuberculosis (	18685700	1	GO:0003677 DNA binding(IDA)
net_new	P9WLL7	?	Mycobacterium tuberculosis (	16880544	1	GO:0005515 protein binding(IPI)
net_new	P9WNB9	nei1	Mycobacterium tuberculosis (	18457574	1	GO:0003906 DNA-(apurinic or apyrimi(IDA)
net_new	P9WNL1	eno	Mycobacterium tuberculosis (	37385399	1	GO:0004634 phosphopyruvate hydratas(EXP)
net_new	P9WPG7	pgsA1	Mycobacterium tuberculosis (	10889206	1	GO:0003881 CDP-diacylglycerol-inosi(IDA)
net_new	P9WQ35	cya	Mycobacterium tuberculosis (	16403515	1	GO:0004016 adenylate cyclase activi(EXP)
net_new	P9WQ35	cya	Mycobacterium tuberculosis (	25295175	1	GO:0004016 adenylate cyclase activi(EXP)
net_new	P9WQ55	fadD10	Mycobacterium tuberculosis (	22451903	1	GO:0008922 long-chain fatty acid [a(EXP)
net_new	P9WQ55	fadD10	Mycobacterium tuberculosis (	23625916	1	GO:0008922 long-chain fatty acid [a(EXP)
net_new	P9WQJ7	irtB	Mycobacterium tuberculosis (	18461140	1	GO:0015343 siderophore-iron transme(IDA)
net_new	P9WQJ9	irtA	Mycobacterium tuberculosis (	18461140	1	GO:0015343 siderophore-iron transme(IDA)
net_new	Q01167	FOXK2	Homo sapiens (Human)	12402362	2	GO:0003700 DNA-binding transcriptio(NAS); GO:0043565 sequence-specific DNA bi(IDA)
net_new	Q01167	FOXK2	Homo sapiens (Human)	16624804	2	GO:0000287 magnesium ion binding(IDA); GO:0043565 sequence-specific DNA bi(IDA)
net_new	Q01469	FABP5	Homo sapiens (Human)	24531463	1	GO:0042802 identical protein bindin(IDA)
net_new	Q01523	DEFA5	Homo sapiens (Human)	17088326	1	GO:0042803 protein homodimerization(IDA)
net_new	Q01523	DEFA5	Homo sapiens (Human)	22573326	1	GO:0042803 protein homodimerization(IDA)
net_new	Q01523	DEFA5	Homo sapiens (Human)	25782105	1	GO:0042803 protein homodimerization(IDA)
net_new	Q01578	gnl	Zymomonas mobilis subsp. mob	1482681	1	GO:0004341 gluconolactonase activit(IDA)
net_new	Q01721	Gas1	Mus musculus (Mouse)	11572986	1	GO:0005515 protein binding(IPI)
net_new	Q01721	Gas1	Mus musculus (Mouse)	21664576	1	GO:0140597 protein carrier activity(IMP)
net_new	Q01721	Gas1	Mus musculus (Mouse)	33038332	1	GO:0140597 protein carrier activity(IDA)
net_new	Q01804	OTUD4	Homo sapiens (Human)	23827681	1	GO:0004843 cysteine-type deubiquiti(IDA)
net_new	Q01804	OTUD4	Homo sapiens (Human)	25944111	2	GO:0004843 cysteine-type deubiquiti(EXP); GO:0060090 molecular adaptor activi(IDA)
net_new	Q01804	OTUD4	Homo sapiens (Human)	29395066	2	GO:0004843 cysteine-type deubiquiti(EXP); GO:0061578 K63-linked deubiquitinas(IDA)
net_new	Q01886	HTS1	Cochliobolus carbonum (Maize	1281482	1	GO:0016881 acid-amino acid ligase a(IDA)
net_new	Q01974	ROR2	Homo sapiens (Human)	17717073	1	GO:0004713 protein tyrosine kinase (EXP)
net_new	Q02094	RHAG	Homo sapiens (Human)	19273840	2	GO:0008519 ammonium channel activit(IDA); GO:0035379 carbon dioxide transmemb(IDA)
net_new	Q02094	RHAG	Homo sapiens (Human)	26354748	1	GO:0008519 ammonium channel activit(IDA)
net_new	Q02884	ELP4	Saccharomyces cerevisiae (st	11689709	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q02884	ELP4	Saccharomyces cerevisiae (st	15138274	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q02908	ELP3	Saccharomyces cerevisiae (st	11689709	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q03248	Upb1	Rattus norvegicus (Rat)	8449931	2	GO:0003837 beta-ureidopropionase ac(IDA); GO:0008270 zinc ion binding(IDA)
net_new	Q04013	YHM2	Saccharomyces cerevisiae (st	9742088	1	GO:0003677 DNA binding(IDA)
net_new	Q04235	TRM12	Saccharomyces cerevisiae (st	16005430	1	GO:0008757 S-adenosylmethionine-dep(IDA)
net_new	Q04311	VMS1	Saccharomyces cerevisiae (st	29632312	1	GO:0004045 peptidyl-tRNA hydrolase (IDA)
net_new	Q04311	VMS1	Saccharomyces cerevisiae (st	31189955	2	GO:0004521 RNA endonuclease activit(IDA); GO:0140101 catalytic activity, acti(IDA)
net_new	Q04868	ELP6	Saccharomyces cerevisiae (st	11689709	5	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q05513	PRKCZ	Homo sapiens (Human)	15084291	1	GO:0106310 protein serine kinase ac(EXP)
net_new	Q05513	PRKCZ	Homo sapiens (Human)	15324659	1	GO:0106310 protein serine kinase ac(EXP)
net_new	Q05584	GLO2	Saccharomyces cerevisiae (st	9261170	3	GO:0004416 hydroxyacylglutathione h(IDA); GO:0004416 hydroxyacylglutathione h(IMP); GO:0004416 hydroxyacylglutathione h(IGI)
net_new	Q05636	RRP45	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	Q05927	NT5E	Bos taurus (Bovine)	10825541	2	GO:0008253 5'-nucleotidase activity(IDA); GO:0042802 identical protein bindin(IDA)
net_new	Q06010	STE23	Saccharomyces cerevisiae (st	19750477	1	GO:0004222 metalloendopeptidase act(IDA)
net_new	Q06518	Nos2	Rattus norvegicus (Rat)	9851365	1	GO:0004517 nitric-oxide synthase ac(TAS)
net_new	Q06706	IKI3	Saccharomyces cerevisiae (st	11689709	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q07471	THI3	Saccharomyces cerevisiae (st	10753893	1	GO:0047433 branched-chain-2-oxoacid(EXP)
net_new	Q07532	IWR1	Saccharomyces cerevisiae (st	21504834	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q08162	DIS3	Saccharomyces cerevisiae (st	17173052	3	GO:0000175 3'-5'-RNA exonuclease ac(IDA); GO:0000175 3'-5'-RNA exonuclease ac(IMP); GO:0005515 protein binding(IPI)
net_new	Q08285	RRP40	Saccharomyces cerevisiae (st	17173052	1	GO:0005515 protein binding(IPI)
net_new	Q09349	ufd-2	Caenorhabditis elegans	15294159	4	GO:0031625 ubiquitin protein ligase(IPI); GO:0034450 ubiquitin-ubiquitin liga(IDA); GO:0051087 protein-folding chaperon(IPI); GO:0061630 ubiquitin protein ligase(EXP)
net_new	Q09349	ufd-2	Caenorhabditis elegans	29396393	1	GO:0061630 ubiquitin protein ligase(EXP)
net_new	Q0P5V9	Slc45a4	Mus musculus (Mouse)	25164149	1	GO:0008506 sucrose:proton symporter(IDA)
net_new	Q0P5V9	Slc45a4	Mus musculus (Mouse)	40836097	1	GO:0015203 polyamine transmembrane (IDA)
net_new	Q0WLB5	CHC2	Arabidopsis thaliana (Mouse-	21187379	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0042802 identical protein bindin(IPI)
net_new	Q10154	rtf2	Schizosaccharomyces pombe (s	19416828	1	GO:0005515 protein binding(IPI)
net_new	Q10274	teb1	Schizosaccharomyces pombe (s	10572167	1	GO:0043565 sequence-specific DNA bi(IDA)
net_new	Q12219	CIM1	Saccharomyces cerevisiae (st	37850632	1	GO:0003677 DNA binding(ISS)
net_new	Q12320	GLO4	Saccharomyces cerevisiae (st	9261170	3	GO:0004416 hydroxyacylglutathione h(IDA); GO:0004416 hydroxyacylglutathione h(IMP); GO:0004416 hydroxyacylglutathione h(IGI)
net_new	Q13107	USP4	Homo sapiens (Human)	25404403	1	GO:0004843 cysteine-type deubiquiti(EXP)
net_new	Q13153	PAK1	Homo sapiens (Human)	16278681	2	GO:0004674 protein serine/threonine(IDA); GO:0005515 protein binding(IPI)
net_new	Q13287	NMI	Homo sapiens (Human)	26342464	1	GO:0005515 protein binding(IPI)
net_new	Q13426	XRCC4	Homo sapiens (Human)	25934149	1	GO:0005515 protein binding(IPI)
net_new	Q13432	UNC119	Homo sapiens (Human)	21642972	1	GO:0008289 lipid binding(IDA)
net_new	Q13432	UNC119	Homo sapiens (Human)	22085962	5	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0008289 lipid binding(IDA)
net_new	Q13563	PKD2	Homo sapiens (Human)	27214281	1	GO:0005262 calcium channel activity(IDA)
net_new	Q13563	PKD2	Homo sapiens (Human)	27768895	1	GO:0042802 identical protein bindin(IPI)
net_new	Q13572	ITPK1	Homo sapiens (Human)	15762844	1	GO:0047325 inositol-3,4,5,6-tetraki(EXP)
net_new	Q13613	MTMR1	Homo sapiens (Human)	11733541	1	GO:0004438 phosphatidylinositol-3-p(IDA)
net_new	Q13615	MTMR3	Homo sapiens (Human)	10733931	3	GO:0004722 protein serine/threonine(IDA); GO:0004725 protein tyrosine phospha(IDA); GO:0008138 protein tyrosine/serine/(IDA)
net_new	Q13615	MTMR3	Homo sapiens (Human)	11676921	2	GO:0004438 phosphatidylinositol-3-p(IDA); GO:0052629 phosphatidylinositol-3,5(IDA)
net_new	Q13686	ALKBH1	Homo sapiens (Human)	27745969	1	GO:1990984 tRNA demethylase activit(IDA)
net_new	Q13686	ALKBH1	Homo sapiens (Human)	30017583	2	GO:0035516 broad specificity oxidat(IDA); GO:0141131 DNA N6-methyladenine dem(EXP)
net_new	Q14508	WFDC2	Homo sapiens (Human)	23139753	2	GO:0004867 serine-type endopeptidas(IDA); GO:0019828 aspartic-type endopeptid(IDA)
net_new	Q14676	MDC1	Homo sapiens (Human)	30898438	1	GO:0140566 histone reader activity(IDA)
net_new	Q14849	STARD3	Homo sapiens (Human)	28377464	4	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0120020 cholesterol transfer act(IDA); GO:0120020 cholesterol transfer act(IDA)
net_new	Q15652	JMJD1C	Homo sapiens (Human)	24240613	2	GO:0005515 protein binding(IPI); GO:0140457 protein demethylase acti(IMP)
net_new	Q15652	JMJD1C	Homo sapiens (Human)	32034158	1	GO:0032454 histone H3K9 demethylase(IMP)
net_new	Q16719	KYNU	Homo sapiens (Human)	11985583	2	GO:0030429 kynureninase activity(IDA); GO:0042803 protein homodimerization(IDA)
net_new	Q16769	QPCT	Homo sapiens (Human)	18072935	1	GO:0016603 glutaminyl-peptide cyclo(EXP)
net_new	Q16769	QPCT	Homo sapiens (Human)	21288892	2	GO:0008270 zinc ion binding(IDA); GO:0016603 glutaminyl-peptide cyclo(IDA)
net_new	Q16851	UGP2	Homo sapiens (Human)	8354390	1	GO:0003983 UTP:glucose-1-phosphate (TAS)
net_new	Q16851	UGP2	Homo sapiens (Human)	8631325	1	GO:0003983 UTP:glucose-1-phosphate (TAS)
net_new	Q17990	lite-1	Caenorhabditis elegans	18687026	2	GO:0004888 transmembrane signaling (ISS); GO:0009882 blue light photoreceptor(IMP)
net_new	Q17990	lite-1	Caenorhabditis elegans	27863243	1	GO:0009882 blue light photoreceptor(IDA)
net_new	Q17R98	ZNF827	Homo sapiens (Human)	25150861	6	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0120325 NuRD complex binding(IDA)
net_new	Q1A3B0	Cers3	Mus musculus (Mouse)	22038835	1	GO:0050291 sphingosine N-acyltransf(IDA)
net_new	Q1K8B6	gh61-4	Neurospora crassa (strain AT	31431506	2	GO:0004497 monooxygenase activity(IDA); GO:0016705 oxidoreductase activity,(IDA)
net_new	Q1PSW8	Trim71	Mus musculus (Mouse)	19898466	2	GO:0005515 protein binding(IPI); GO:0061630 ubiquitin protein ligase(IDA)
net_new	Q1PSW8	Trim71	Mus musculus (Mouse)	22508726	3	GO:0004842 ubiquitin-protein transf(IDA); GO:0005515 protein binding(IPI); GO:0061630 ubiquitin protein ligase(IDA)
net_new	Q1PSW8	Trim71	Mus musculus (Mouse)	22735451	2	GO:0005515 protein binding(IPI); GO:0035198 miRNA binding(IDA)
net_new	Q22707	pir-1	Caenorhabditis elegans	33378643	1	GO:0050355 inorganic triphosphate p(IDA)
net_new	Q2EG98	Pkd1l3	Mus musculus (Mouse)	16891422	5	GO:0005261 monoatomic cation channe(IDA); GO:0008324 monoatomic cation transm(IDA); GO:0033040 sour taste receptor acti(IDA); GO:0005515 protein binding(IPI); GO:0044325 transmembrane transporte(IPI)
net_new	Q2EG98	Pkd1l3	Mus musculus (Mouse)	20406802	1	GO:0160128 pH-gated monoatomic ion (IDA)
net_new	Q2Q5T5	Mymx	Mus musculus (Mouse)	28386024	1	GO:0005515 protein binding(IPI)
net_new	Q2QKR2	Fbxw7-as1	Mus musculus (Mouse)	16293765	3	GO:0004962 endothelin receptor acti(IDA); GO:0005021 vascular endothelial gro(IDA); GO:0038085 vascular endothelial gro(IDA)
net_new	Q2VG86	?	Bombyx mori (Silk moth)	16399077	1	GO:0004175 endopeptidase activity(IDA)
net_new	Q3KNA1	Mrgprb2	Mus musculus (Mouse)	25517090	1	GO:1990595 mast cell secretagogue r(IDA)
net_new	Q3TXX4	Slc17a7	Mus musculus (Mouse)	29273736	1	GO:0005254 chloride channel activit(IDA)
net_new	Q3U6K5	Spata6	Mus musculus (Mouse)	25605924	1	GO:0032027 myosin light chain bindi(IPI)
net_new	Q3UIK4	Mettl14	Mus musculus (Mouse)	24394384	3	GO:0001734 mRNA m(6)A methyltransfe(IDA); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	Q3ULF4	Spg7	Mus musculus (Mouse)	19656850	1	GO:0005515 protein binding(IPI)
net_new	Q3V050	Slc47a2	Mus musculus (Mouse)	17715386	2	GO:0022857 transmembrane transporte(IDA); GO:0140968 polyspecific organic cat(IDA)
net_new	Q42541	UBC13	Arabidopsis thaliana (Mouse-	16339806	1	GO:0004842 ubiquitin-protein transf(IDA)
net_new	Q45087	pehA	Trinickia caryophylli (Parab	20133613	1	GO:0042802 identical protein bindin(IPI)
net_new	Q46824	ygfX	Escherichia coli (strain K12	22239607	1	GO:0005515 protein binding(IPI)
net_new	Q4GZD1	DHSp	Trypanosoma brucei brucei (s	23525104	4	GO:0034038 deoxyhypusine synthase a(IDA); GO:0008047 enzyme activator activit(IDA); GO:0019899 enzyme binding(IPI); GO:0042803 protein homodimerization(IDA)
net_new	Q4JK59	Tet2	Mus musculus (Mouse)	21817016	1	GO:0070579 DNA 5-methylcytosine dio(IDA)
net_new	Q4JK71	?	Dermatophagoides pteronyssin	27548813	1	GO:0008061 chitin binding(IDA)
net_new	Q4QTJ1	NCS2	Papaver somniferum (Opium po	11722126	1	GO:0050474 (S)-norcoclaurine syntha(IDA)
net_new	Q4QTJ2	NCS1	Papaver somniferum (Opium po	11722126	1	GO:0050474 (S)-norcoclaurine syntha(IDA)
net_new	Q4VBT1	fabp1b.1	Danio rerio (Zebrafish) (Bra	16857010	1	GO:0005504 fatty acid binding(ISS)
net_new	Q4WAW6	ftmD	Aspergillus fumigatus (strai	23649274	1	GO:0008171 O-methyltransferase acti(IDA)
net_new	Q504N2	Slc22a15	Mus musculus (Mouse)	33124720	1	GO:0015199 amino-acid betaine trans(IDA)
net_new	Q54GP3	sprA	Dictyostelium discoideum (So	10987137	1	GO:0004757 sepiapterin reductase (N(IDA)
net_new	Q587J8	KHDC3L	Homo sapiens (Human)	31609975	1	GO:0005515 protein binding(IPI)
net_new	Q58820	comC	Methanocaldococcus jannaschi	10850983	3	GO:0030060 L-malate dehydrogenase ((EXP); GO:0050545 sulfopyruvate decarboxyl(IDA); GO:0102443 L-2-hydroxycarboxylate d(EXP)
net_new	Q5AD07	SOD5	Candida albicans (strain SC5	24711423	2	GO:0004784 superoxide dismutase act(IDA); GO:0005507 copper ion binding(IDA)
net_new	Q5BKX6	SLC45A4	Homo sapiens (Human)	40836097	4	GO:0000297 spermine transmembrane t(IDA); GO:0015203 polyamine transmembrane (IDA); GO:0015489 putrescine transmembrane(IDA); GO:0015606 spermidine transmembrane(IDA)
